Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	640427130	Chlorobium phaeovibrioides DSM 265	
Bacteria	Finished	641522655	Thermoanaerobacter pseudethanolicus 39E, ATCC 33223	
Bacteria	Finished	641522656	Thermoanaerobacter sp. X514	
Bacteria	Finished	642487181	Thermotoga sp. RQ2	
Bacteria	Permanent Draft	642791610	Acetivibrio thermocellus JW20	
Bacteria	Finished	643348527	Chloroflexus aggregans DSM 9485	
Bacteria	Permanent Draft	642979359	Lachnoclostridium hylemonae DSM 15053	
Bacteria	Finished	646311964	Thermotoga naphthophila RKU-10	
Bacteria	Permanent Draft	645951866	Fusobacterium gonidiaformans 3-1-5R	
Bacteria	Finished	650377936	Eubacterium rectale DSM 17629	
Bacteria	Finished	650377958	Megamonas hypermegale ART12/1	
Bacteria	Finished	650377969	Ruminococcus sp. 18P13	
Bacteria	Permanent Draft	649990026	Treponema phagedenis F0421	
Bacteria	Finished	650716094	Tepidanaerobacter sp. Re1	
Bacteria	Finished	650377937	Eubacterium rectale M104/1	
Bacteria	Finished	2510065086	Mesotoga prima MesG1AG4.2	
Bacteria	Permanent Draft	645058833	Fusobacterium nucleatum animalis D11	
Bacteria	Finished	2511231057	Candidatus Arthromitus sp. SFB-rat-Yit	
Bacteria	Permanent Draft	2513237260	Lachnospiraceae bacterium bacterium oral taxon 082 F0431	
Bacteria	Permanent Draft	2513237275	Hungatella hathewayi WAL-18680	
Bacteria	Permanent Draft	2513237330	Fusobacterium necrophorum funduliforme 1_1_36S	
Bacteria	Permanent Draft	2515154010	Streptococcus merionis DSM 19192	
Bacteria	Permanent Draft	2501651209	Carnobacterium sp. AT7	
Bacteria	Permanent Draft	2515154120	Leptotrichia wadei DSM 19758	
Bacteria	Permanent Draft	2503538027	Thermoanaerobacter ethanolicus JW 200	
Bacteria	Permanent Draft	2517572021	Thermotoga sp. Mc24	
Bacteria	Permanent Draft	2517572083	Thermotoga sp. TBGT1766	
Bacteria	Permanent Draft	2519899694	Brachyspira innocens ATCC 29796	
Bacteria	Permanent Draft	2522125157	Salinimicrobium terrae DSM 17865	
Bacteria	Permanent Draft	2523533606	Flavobacterium filum DSM 17961	
Bacteria	Permanent Draft	2524614691	Butyrivibrio sp. VCD2006	
Bacteria	Permanent Draft	2524614697	Butyrivibrio hungatei NK4A153	
Bacteria	Permanent Draft	2524614716	Butyrivibrio sp. VCB2001	
Bacteria	Permanent Draft	2524614717	Lachnobacterium bovis NK4B19	
Bacteria	Permanent Draft	2524614766	Leptotrichia hofstadii DSM 21651	
Bacteria	Permanent Draft	2524614797	Acetivibrio clariflavus 4-2a	
Bacteria	Permanent Draft	2524614838	Lachnoclostridium indolis DSM 755	
Bacteria	Permanent Draft	2524614855	Acidaminococcus intestini DSM 21505	
Bacteria	Permanent Draft	2529292891	Veillonella atypica KON, ATCC 17744	
Bacteria	Permanent Draft	2531839010	Lachnoclostridium bolteae 90B3	
Bacteria	Permanent Draft	2531839014	Lachnoclostridium clostridioforme 90A1	
Bacteria	Permanent Draft	2531839125	Thermosipho africanus H17ap60334	
Bacteria	Permanent Draft	2531839273	Selenomonas sp. FOBRC9	
Bacteria	Permanent Draft	2534682205	Lachnoclostridium clostridioforme CM201	
Bacteria	Permanent Draft	2537562033	Candidatus Arthromitus sp. SFB-mouse-SU	
Bacteria	Permanent Draft	2540341239	Caldicoprobacter oshimai DSM 21659	
Bacteria	Permanent Draft	2541046969	Aminobacterium mobile DSM 12262	
Bacteria	Permanent Draft	2541046975	Treponema medium ATCC 700293	
Bacteria	Permanent Draft	2541047021	Propionibacterium sp. oral taxon 192 F0372	
Bacteria	Permanent Draft	2545555826	Ruminococcus gnavus AGR2154	
Bacteria	Permanent Draft	2546825535	Thermoanaerobacter thermocopriae ATCC 51646	
Bacteria	Permanent Draft	2548876979	Ruminococcus sp. JC304	
Bacteria	Permanent Draft	2548877031	Marinilabilia salmonicolor JCM 21150	
Bacteria	Permanent Draft	2554235040	Fusobacterium nucleatum animalis ChDC F324	
Bacteria	Finished	2554235311	Fusobacterium nucleatum animalis 4_8	
Bacteria	Permanent Draft	2558309003	Alkaliphilus transvaalensis ATCC 700919	
Bacteria	Permanent Draft	2558860140	Lachnospiraceae bacterium AB2028	
Bacteria	Permanent Draft	2558860360	Mediterraneibacter lactaris CC59_002D	
Bacteria	Permanent Draft	2558860924	Fusobacterium sp. CM21	
Bacteria	Permanent Draft	2558860925	Fusobacterium sp. CM1	
Bacteria	Permanent Draft	2558860926	Fusobacterium sp. CM22	
Bacteria	Permanent Draft	2561511066	Lachnoclostridium phytofermentans KNHs212	
Bacteria	Permanent Draft	2562617029	Lachnospiraceae bacterium P6A3	
Bacteria	Permanent Draft	2563366722	Butyrivibrio sp. AE2005	
Bacteria	Permanent Draft	2563367225	Butyrivibrio sp. AE3003	
Bacteria	Permanent Draft	2565956769	Fusobacterium nucleatum CTI-7	
Bacteria	Permanent Draft	2574179702	Propionigenium maris DSM 9537	
Bacteria	Permanent Draft	2576861697	Fusobacterium necrophorum BL	
Bacteria	Permanent Draft	2576861706	Fusobacterium necrophorum BFTR-2	
Bacteria	Draft	2582580651	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.111	
Bacteria	Draft	2582580694	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.5247	
Bacteria	Permanent Draft	2585427813	Clostridiales bacterium VE202-14	
Bacteria	Permanent Draft	2588253866	Fusobacterium necrophorum funduliforme B35	
Bacteria	Permanent Draft	2588253902	Lachnospiraceae bacterium COE1	
Bacteria	Permanent Draft	2593339147	Lachnoclostridium clostidiforme ATCC 25537	
Bacteria	Permanent Draft	2593339149	Ruminococcus sp. YE71	
Bacteria	Permanent Draft	2593339224	Butyrivibrio sp. INlla14	
Bacteria	Permanent Draft	2596583654	Lachnoclostridium phytofermentans KNHs219	
Bacteria	Permanent Draft	2599185173	Propionivibrio dicarboxylicus DSM 5885	
Bacteria	Permanent Draft	2599185174	Clostridium paradoxum DSM 7308	
Bacteria	Permanent Draft	2599185234	Acidaminobacter hydrogenoformans DSM 2784	
Bacteria	Permanent Draft	2600254991	Leptotrichia wadei F0279	
Bacteria	Permanent Draft	2600255103	Clostridiales Family XI. Incertae Sedis sp. S5-A11	
Bacteria	Permanent Draft	2602041582	Peptoniphilus mikwangii ChDC B134	
Bacteria	Permanent Draft	2606217762	Butyrivibrio sp. OB235	
Bacteria	Permanent Draft	2617270839	Thermosipho melanesiensis 430	
Bacteria	Permanent Draft	2617270840	Thermosipho sp. 1063	
Bacteria	Finished	2617270855	Thermosipho affectus 1070	
Bacteria	Permanent Draft	2617270894	Thermosipho melanesiensis 434	
Bacteria	Permanent Draft	2617271308	Clostridium sp. NCR	
Bacteria	Permanent Draft	2619619036	Fervidobacterium changbaicum DSM 17883	
Bacteria	Permanent Draft	2619619282	Desulfobulbus sp. Tol-SR	
Bacteria	Permanent Draft	2623620476	Lachnoclostridium citroniae NLAE-zl-G70	
Bacteria	Finished	2627853919	Thermoanaerobacter kivui DSM 2030	
Bacteria	Finished	2630968392	Treponema sp. OMZ 838	
Bacteria	Permanent Draft	2634166349	Asaccharospora irregularis DSM 2635	
Bacteria	Finished	2634166401	Fusobacterium nucleatum nucleatum ChDC F130	
Bacteria	Permanent Draft	2636415582	Candidatus Dorea massiliensis AP6	
Bacteria	Permanent Draft	2636416028	Pelosinus propionicus DSM 13327	
Bacteria	Permanent Draft	2642422549	Halanaerobium congolense WG1	
Bacteria	Finished	2648501675	Peptoniphilus sp. ING2-D1G	
Bacteria	Permanent Draft	2651870364	Lachnospiraceae bacterium KHCPX20	
Bacteria	Finished	2654588030	Clostridium carboxidivorans P7	
Bacteria	Permanent Draft	2657244956	Paeniclostridium sordellii R32668	
Bacteria	Permanent Draft	2657245020	Paeniclostridium sordellii UMC4401	
Bacteria	Permanent Draft	2657245167	Thermotogales bacterium EBM-19	
Bacteria	Permanent Draft	2657245451	Clostridiales bacterium SIT11	
Bacteria	Permanent Draft	2660238717	Paeniclostridium sordellii E204	
Bacteria	Permanent Draft	2671180116	Dethiosulfovibrio salsuginis USBA 82	
Bacteria	Permanent Draft	2671180540	Ruminococcaceae bacterium GD1	
Bacteria	Permanent Draft	2681813065	Fusobacterium nucleatum MJR7757B	
Bacteria	Permanent Draft	2681813374	Brachyspira hyodysenteriae NSW5	
Bacteria	Finished	2687453633	Selenomonas sp. F0592	
Bacteria	Permanent Draft	2687453780	Lacrimispora sphenoides DSM 4024	
Bacteria	Permanent Draft	2693429896	Lutibacter oricola DSM 24956	
