Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000001	Candidatus Koribacter versatilis Ellin345	
Bacteria	Finished	637000082	Corynebacterium diphtheriae bv. Gravis	
Bacteria	Finished	637000215	Cutibacterium acnes KPA171202	
Bacteria	Finished	639633020	Chlorobium phaeobacteroides DSM 266	
Bacteria	Finished	639633046	Nocardioides sp. JS614	
Bacteria	Finished	639633050	Pelobacter propionicus DSM 2379	
Bacteria	Finished	639633060	Candidatus Solibacter usitatus Ellin6076	
Bacteria	Finished	642555129	Geobacter bemidjiensis Bem, DSM 16622	
Bacteria	Permanent Draft	642979306	Corynebacterium amycolatum SK46	
Bacteria	Finished	643692019	Corynebacterium kroppenstedtii DSM 44385	
Bacteria	Permanent Draft	643886137	Corynebacterium glucuronolyticum ATCC 51866	
Bacteria	Permanent Draft	643886147	Corynebacterium glucuronolyticum ATCC 51867	
Bacteria	Permanent Draft	643886207	Corynebacterium matruchotii ATCC 33806	
Bacteria	Finished	644736345	Corynebacterium efficiens YS-314, DSM 44549	
Bacteria	Finished	644736371	Geobacter sp. M21	
Bacteria	Permanent Draft	645951802	Selenomonas sputigena ATCC 35185	
Bacteria	Permanent Draft	645951842	Corynebacterium efficiens YS-314, DSM 44549	
Bacteria	Finished	646564561	Cutibacterium acnes SK137	
Bacteria	Permanent Draft	647000296	Cutibacterium acnes J139	
Bacteria	Permanent Draft	647000297	Cutibacterium acnes J165	
Bacteria	Permanent Draft	647000298	Cutibacterium acnes SK187	
Bacteria	Finished	648028019	Corynebacterium pseudotuberculosis FRC41	
Bacteria	Finished	648231702	Corynebacterium pseudotuberculosis sv. Ovis 1002	
Bacteria	Finished	648231703	Corynebacterium pseudotuberculosis C231	
Bacteria	Permanent Draft	648276634	Corynebacterium matruchotii ATCC 14266	
Bacteria	Finished	649633058	Isosphaera pallida IS1B, ATCC 43644	
Bacteria	Finished	649633084	Propionibacterium freudenreichii shermanii CIRM-BIA1	
Bacteria	Finished	650377927	Corynebacterium pseudotuberculosis I19	
Bacteria	Finished	650377958	Megamonas hypermegale ART12/1	
Bacteria	Finished	650716030	Corynebacterium ulcerans BR-AD22	
Bacteria	Finished	651053019	Corynebacterium ulcerans 809	
Bacteria	Finished	651053058	Cutibacterium acnes 266	
Bacteria	Finished	651053059	Cutibacterium acnes 6609	
Bacteria	Permanent Draft	651324091	Propionibacterium sp. 409-HC1	
Bacteria	Permanent Draft	651324092	Propionibacterium sp. 434-HC2	
Bacteria	Permanent Draft	2501846309	Chlorobaculum limnaeum DSM 1677	
Bacteria	Finished	2504557006	Selenomonas sputigena DSM 20758	
Bacteria	Permanent Draft	2511231051	Chlorobaculum limnaeum RK-j-1	
Bacteria	Finished	2511231059	Corynebacterium diphtheriae HC03	
Bacteria	Finished	2511231063	Cutibacterium acnes TypeIA2 P.acn33	
Bacteria	Finished	2511231067	Corynebacterium pseudotuberculosis sv. Ovis 3/99-5	
Bacteria	Finished	2511231075	Corynebacterium diphtheriae 31A	
Bacteria	Finished	2511231083	Corynebacterium diphtheriae HC01	
Bacteria	Finished	2511231084	Corynebacterium diphtheriae HC04	
Bacteria	Finished	2511231088	Corynebacterium diphtheriae INCA 402	
Bacteria	Finished	2511231089	Corynebacterium diphtheriae C7 (beta)	
Bacteria	Finished	2511231091	Corynebacterium diphtheriae HC02	
Bacteria	Finished	2511231095	Cutibacterium acnes TypeIA2 P.acn31	
Bacteria	Finished	2511231099	Corynebacterium diphtheriae BH8	
Bacteria	Finished	2511231107	Corynebacterium diphtheriae VA01	
Bacteria	Finished	2511231111	Corynebacterium diphtheriae PW8	
Bacteria	Finished	2511231115	Corynebacterium diphtheriae CDCE 8392	
Bacteria	Finished	2511231125	Cutibacterium acnes TypeIA2 P.acn17	
Bacteria	Finished	2511231126	Corynebacterium diphtheriae 241	
Bacteria	Finished	2511231142	Corynebacterium pseudotuberculosis 1/06-A	
Bacteria	Finished	2511231153	Corynebacterium pseudotuberculosis sv. II CIP52.97	
Bacteria	Finished	2511231154	Corynebacterium pseudotuberculosis PAT10	
Bacteria	Finished	2511231212	Corynebacterium pseudotuberculosis 42/02-A	
Bacteria	Finished	2511231219	Cutibacterium acnes ATCC 11828	
Bacteria	Permanent Draft	2512047045	Cutibacterium granulosum VPI 0507	
Bacteria	Permanent Draft	2512047068	Propionibacterium sp. CC003-HC2	
Bacteria	Finished	2512564036	Corynebacterium pseudotuberculosis 316	
Bacteria	Finished	2512564058	Corynebacterium pseudotuberculosis sv. Ovis P54B96	
Bacteria	Permanent Draft	2513237117	Acidipropionibacterium acidipropionici DSM 4900	
Bacteria	Finished	2513237213	Selenomonas ruminantium lactilytica TAM6421	
Bacteria	Finished	2513237214	Corynebacterium pseudotuberculosis 267	
Bacteria	Permanent Draft	2513237258	Mobilicoccus pelagius NBRC 104925	
Bacteria	Permanent Draft	2513237388	Propionibacterium sp. 5_U_42AFAA	
Bacteria	Permanent Draft	2513237389	Cutibacterium avidum VPI 0179	
Bacteria	Permanent Draft	2513237399	Megamonas funiformis YIT 11815	
Bacteria	Permanent Draft	2515154014	Corynebacterium ciconiae DSM 44920	
Bacteria	Permanent Draft	2515154214	Cutibacterium acnes DSM 1897	
Bacteria	Permanent Draft	2516143011	Cutibacterium acnes PRP-38	
