Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000316	Syntrophomonas wolfei wolfei Goettingen	
Bacteria	Finished	640753017	Clostridium botulinum sv. A BoNT/A1	
Bacteria	Permanent Draft	642791606	Clostridioides difficile CIP 107932	
Bacteria	Permanent Draft	642791610	Acetivibrio thermocellus JW20	
Bacteria	Finished	643348557	Halothermothrix orenii H 168	
Bacteria	Finished	643692016	Clostridium botulinum BoNT/A2 Kyoto-F	
Bacteria	Permanent Draft	643886055	Anaerococcus tetradius ATCC 35098	
Bacteria	Permanent Draft	643886203	Anaerobutyricum hallii DSM 3353	
Bacteria	Finished	644736371	Geobacter sp. M21	
Bacteria	Permanent Draft	645951855	Jonquetella anthropi E3_33 E1	
Bacteria	Permanent Draft	645951866	Fusobacterium gonidiaformans 3-1-5R	
Bacteria	Permanent Draft	645951869	Treponema vincentii ATCC 35580	
Bacteria	Finished	646564525	Deferribacter desulfuricans SSM1	
Bacteria	Finished	646862320	Clostridium botulinum F 230613	
Bacteria	Finished	648028002	Acetohalobium arabaticum Z-7288, DSM 5501	
Bacteria	Finished	648028022	Dehalogenimonas lykanthroporepellens BL-DC-9	
Bacteria	Finished	648231707	Geobacter sulfurreducens KN400	
Bacteria	Permanent Draft	648276675	Finegoldia magna ATCC 53516	
Bacteria	Permanent Draft	649989971	Megasphaera micronuciformis F0359	
Bacteria	Permanent Draft	649990026	Treponema phagedenis F0421	
Bacteria	Finished	2507149019	Desulfitobacterium dichloroeliminans LMG P-21439	
Bacteria	Permanent Draft	2503982046	Peptoniphilus asaccharolyticus UW 228, DSM 20463	
Bacteria	Permanent Draft	651324084	Parasutterella excrementihominis YIT 11859	
Bacteria	Permanent Draft	645058833	Fusobacterium nucleatum animalis D11	
Bacteria	Finished	2512047040	Acetobacterium woodii WB1, DSM 1030	
Bacteria	Permanent Draft	2512047057	Clostridioides difficile ATCC 43255	
Bacteria	Finished	2512564091	Desulfurella acetivorans A63, DSM 5264	
Bacteria	Permanent Draft	2512875014	Desulfitobacterium sp. PCE1, DSM 10344	
Bacteria	Permanent Draft	2513237149	Desulfitobacterium hafniense PCP-1	
Bacteria	Permanent Draft	2513237260	Lachnospiraceae bacterium bacterium oral taxon 082 F0431	
Bacteria	Permanent Draft	2513237298	Campylobacter sp. 10_1_50	
Bacteria	Permanent Draft	2513237306	Oribacterium asaccharolyticum ACB7	
Bacteria	Permanent Draft	2513237330	Fusobacterium necrophorum funduliforme 1_1_36S	
Bacteria	Permanent Draft	2513237343	Dorea formicigenerans 4_6_53AFAA	
Bacteria	Permanent Draft	2516143112	Clostridium sp. URNW	
Bacteria	Permanent Draft	2511231048	Desulfosporosinus sp. Sv. Desulfo HCS1	
Bacteria	Permanent Draft	2510065048	Clostridium sp. URNW	
Bacteria	Permanent Draft	2264867134	Hydrogenedentes bacterium JGI 0000077-D07 (contamination screened)	
Bacteria	Permanent Draft	2264867257	Cloacimonetes bacterium JGI 0000039-I17 (contamination screened)	
Bacteria	Permanent Draft	2264867264	Cloacimonetes bacterium JGI 0000014-D06 (contamination screened)	
Bacteria	Permanent Draft	2517572005	Clostridium sp. ASF356	
Bacteria	Permanent Draft	2517572248	Campylobacter curvus DSM 6644	
Bacteria	Permanent Draft	2518645585	Aromatoleum toluclasticum ATCC 700605	
Bacteria	Permanent Draft	2519899574	Clostridium botulinum CFSAN001627	
Bacteria	Permanent Draft	2519899647	Clostridium sporosphaeroides DSM 1294	
Bacteria	Permanent Draft	2519899694	Brachyspira innocens ATCC 29796	
Bacteria	Finished	2521172702	Thermacetogenium phaeum PB, DSM 12270	
Bacteria	Permanent Draft	2523533604	Clostridium tyrobutyricum DSM 2637	
Bacteria	Permanent Draft	2524023211	Clostridium sp. MSTE9	
Bacteria	Permanent Draft	2524023228	Bradyrhizobium sp. Th.b2	
Bacteria	Permanent Draft	2524614548	Desulfovibrio desulfuricans desulfuricans DSM 642	
Bacteria	Permanent Draft	2524614716	Butyrivibrio sp. VCB2001	
Bacteria	Permanent Draft	2524614762	Desulfogranum japonicum DSM 18378	
Bacteria	Permanent Draft	2524614797	Acetivibrio clariflavus 4-2a	
Bacteria	Permanent Draft	2524614838	Lachnoclostridium indolis DSM 755	
Bacteria	Permanent Draft	2524614855	Acidaminococcus intestini DSM 21505	
Bacteria	Permanent Draft	2526164528	Desulfotignum balticum DSM 7044	
Bacteria	Permanent Draft	2529292986	Treponema denticola AL-2	
Bacteria	Permanent Draft	2529293059	Finegoldia magna HMS01	
Bacteria	Permanent Draft	2531839010	Lachnoclostridium bolteae 90B3	
