Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000104	Escherichia coli sv. O6:K15:H31 536	
Bacteria	Finished	637000038	Bradyrhizobium japonicum USDA 110	
Bacteria	Finished	637000040	Brucella melitensis bv. 1 16M	
Bacteria	Finished	637000284	Staphylococcus saprophyticus saprophyticus ATCC 15305	
Bacteria	Finished	639633035	Listeria welshimeri sv. 6b, SLCC5334	
Bacteria	Finished	639633051	Polaromonas naphthalenivorans CJ2	
Bacteria	Finished	639633056	Roseobacter denitrificans OCh 114	
Bacteria	Finished	639633065	Verminephrobacter eiseniae EF01-2	
Bacteria	Permanent Draft	640612220	Roseobacter sp. SK209-2-6	
Bacteria	Finished	641228481	Brucella suis ATCC 23445	
Bacteria	Permanent Draft	641736143	Clostridium perfringens type C - JGS1495	
Bacteria	Finished	642555110	Brucella abortus S19	
Bacteria	Finished	642555113	Paraburkholderia phytofirmans PsJN	
Bacteria	Finished	643348548	Escherichia coli O127:H6 E2348/69 (EPEC)	
Bacteria	Finished	643348555	Gluconacetobacter diazotrophicus PA1 5	
Bacteria	Finished	644736321	Acetobacter pasteurianus IFO 3283-01	
Bacteria	Finished	644736333	Candidatus Accumulibacter phosphatis Type IIA UW-1	
Bacteria	Finished	644736347	Cupriavidus taiwanensis LMG 19424	
Bacteria	Finished	644736387	Methylorubrum extorquens DM4	
Bacteria	Permanent Draft	645058811	Staphylococcus aureus aureus TCH130	
Bacteria	Permanent Draft	645058839	Brucella abortus bv. 2 86/8/59	
Bacteria	Finished	646311908	Alkalihalophilus pseudofirmus OF4	
Bacteria	Finished	646311931	Geodermatophilus obscurus G-20, DSM 43160	
Bacteria	Permanent Draft	645951823	Staphylococcus aureus A6300	
Bacteria	Permanent Draft	645951867	Staphylococcus aureus A9781	
Bacteria	Finished	646564525	Deferribacter desulfuricans SSM1	
Bacteria	Finished	646862342	Staphylococcus aureus 04-02981	
Bacteria	Finished	646862343	Staphylococcus aureus aureus ST398	
Bacteria	Permanent Draft	647000314	Staphylococcus aureus A10102	
Bacteria	Permanent Draft	647000342	Vibrio orientalis CIP 102891	
Bacteria	Permanent Draft	647533118	Brucella melitensis bv. 1 16M	
Bacteria	Permanent Draft	647533120	Brucella suis bv. 4 40	
Bacteria	Permanent Draft	647533228	Staphylococcus aureus aureus WBG10049	
Bacteria	Finished	648028034	Hyphomicrobium denitrificans ATCC 51888	
Bacteria	Permanent Draft	648276657	Escherichia coli MS 185-1	
Bacteria	Permanent Draft	648276665	Escherichia coli MS 78-1	
Bacteria	Finished	649633066	Mesorhizobium ciceri bv. biserrulae WSM1271	
Bacteria	Finished	649633095	Staphylococcus pseudintermedius HKU10-03	
Bacteria	Finished	650377935	Faecalitalea cylindroides T2-87	
Bacteria	Finished	650716094	Tepidanaerobacter sp. Re1	
Bacteria	Permanent Draft	651324073	Methyloversatilis universalis FAM5	
Bacteria	Permanent Draft	2508501050	Microvirga lupini Lut6	
Bacteria	Finished	651053022	Escherichia coli NA114	
Bacteria	Finished	2504136000	Hippea maritima MH2, DSM 10411	
Bacteria	Permanent Draft	645058833	Fusobacterium nucleatum animalis D11	
Bacteria	Finished	646862307	Acetobacter pasteurianus IFO 3283-32	
Bacteria	Finished	650377974	Staphylococcus pseudintermedius ED99	
Bacteria	Permanent Draft	2510461076	Rhizobium leguminosarum bv. trifolii TA1	
Bacteria	Finished	2511231087	Brucella canis HSK A52141	
Bacteria	Finished	2511231098	Listeria ivanovii ivanovii PAM 55	
Bacteria	Finished	2511231179	Brucella pinnipedialis B2/94	
Bacteria	Finished	2511231196	Staphylococcus aureus aureus 11819-97	
Bacteria	Finished	2511231199	Klebsiella pneumoniae pneumoniae HS11286	
Bacteria	Finished	2511231203	Listeria monocytogenes Finland 1988	
Bacteria	Finished	2512047040	Acetobacterium woodii WB1, DSM 1030	
Bacteria	Finished	2512564091	Desulfurella acetivorans A63, DSM 5264	
Bacteria	Permanent Draft	2513237084	Rhizobium leguminosarum bv. viciae UPM1131	
Bacteria	Permanent Draft	2513237113	Budvicia aquatica DSM 5075, ATCC 35567	
Bacteria	Permanent Draft	2513237143	Sinorhizobium meliloti Mlalz-1	
Bacteria	Permanent Draft	2513237153	Bradyrhizobium sp. WSM2254	
Bacteria	Permanent Draft	2513237156	Sinorhizobium medicae WSM1369	
Bacteria	Finished	2513237219	Escherichia coli P12b	
Bacteria	Permanent Draft	2513237290	Rhodococcus imtechensis RKJ300	
Bacteria	Permanent Draft	2513237330	Fusobacterium necrophorum funduliforme 1_1_36S	
Bacteria	Permanent Draft	2513237340	Cupriavidus basilensis OR16	
Bacteria	Permanent Draft	2513237359	Olsenella sp. oral taxon 809 F0356	
Bacteria	Permanent Draft	2516143091	Staphylococcus aureus aureus DR10	
Bacteria	Permanent Draft	2516143027	Escherichia coli SCI-07	
