Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000102	Pectobacterium atrosepticum SCRI1043	
Bacteria	Finished	637000104	Escherichia coli sv. O6:K15:H31 536	
Bacteria	Permanent Draft	638341080	Enterococcus faecium DO	
Bacteria	Finished	640427143	Shigella sonnei Ss046	
Bacteria	Permanent Draft	640963023	Bacteroides caccae ATCC 43185	
Bacteria	Permanent Draft	641736111	Salmonella enterica enterica sv. Newport SL317	
Bacteria	Permanent Draft	641736198	Erysipelatoclostridium ramosum DSM 1402	
Bacteria	Permanent Draft	641736221	Escherichia coli O157:H7 EC4113	
Bacteria	Permanent Draft	641736222	Escherichia coli O157:H7 EC4486	
Bacteria	Finished	643348548	Escherichia coli O127:H6 E2348/69 (EPEC)	
Bacteria	Permanent Draft	642979334	Bacteroides eggerthii DSM 20697	
Bacteria	Finished	643692035	Salmonella enterica sv. Paratyphi C RKS4594	
Bacteria	Permanent Draft	643886108	Mobiluncus mulieris ATCC 35243	
Bacteria	Permanent Draft	643886203	Anaerobutyricum hallii DSM 3353	
Bacteria	Finished	646311947	Pectobacterium wasabiae WPP163	
Bacteria	Permanent Draft	646206272	Bacteroides thetaiotaomicron 1_1_6	
Bacteria	Finished	646564512	Bifidobacterium longum longum JDM301	
Bacteria	Finished	646862322	Escherichia coli O44:H18 042 (EAEC)	
Bacteria	Finished	646862341	Shigella flexneri sv. Fxv 2002017	
Bacteria	Permanent Draft	647533111	Bacteroides sp. 2_1_22	
Bacteria	Permanent Draft	647533127	Enterococcus casseliflavus EC10	
Bacteria	Permanent Draft	647533129	Enterococcus casseliflavus EC30	
Bacteria	Permanent Draft	647533193	Parascardovia denticolens F0305	
Bacteria	Finished	648028016	Clostridium cellulovorans 743B, ATCC 35296	
Bacteria	Finished	648276605	Actinobacillus pleuropneumoniae sv. 1 4074 GCA_000178495.1	
Bacteria	Permanent Draft	648276609	Actinobacillus pleuropneumoniae sv. 13 N273	
Bacteria	Permanent Draft	648276615	Actinobacillus pleuropneumoniae sv. 9 CVJ13261	
Bacteria	Permanent Draft	648276648	Escherichia coli M718	
Bacteria	Permanent Draft	648276657	Escherichia coli MS 185-1	
Bacteria	Permanent Draft	648276665	Escherichia coli MS 78-1	
Bacteria	Permanent Draft	648276671	Escherichia coli TA280	
Bacteria	Finished	650377934	Escherichia coli W, ATCC 9637	
Bacteria	Finished	650377936	Eubacterium rectale DSM 17629	
Bacteria	Finished	650377958	Megamonas hypermegale ART12/1	
Bacteria	Permanent Draft	649989948	Escherichia coli MS 145-7	
Bacteria	Permanent Draft	649989980	Parascardovia denticolens DSM 10105	
Bacteria	Finished	650377937	Eubacterium rectale M104/1	
Bacteria	Finished	2506520037	Escherichia coli W	
Bacteria	Finished	651053022	Escherichia coli NA114	
Bacteria	Finished	649633042	Erwinia billingiae Eb661	
Bacteria	Finished	643348516	Bifidobacterium longum infantis ATCC 15697	
Bacteria	Finished	2511231199	Klebsiella pneumoniae pneumoniae HS11286	
Bacteria	Permanent Draft	2513237113	Budvicia aquatica DSM 5075, ATCC 35567	
Bacteria	Finished	2513237219	Escherichia coli P12b	
Bacteria	Permanent Draft	2513237260	Lachnospiraceae bacterium bacterium oral taxon 082 F0431	
Bacteria	Permanent Draft	2513237275	Hungatella hathewayi WAL-18680	
Bacteria	Permanent Draft	2513237306	Oribacterium asaccharolyticum ACB7	
Bacteria	Permanent Draft	2513237343	Dorea formicigenerans 4_6_53AFAA	
Bacteria	Permanent Draft	2513237359	Olsenella sp. oral taxon 809 F0356	
Bacteria	Permanent Draft	2503754033	Bifidobacterium longum longum UCD303	
Bacteria	Permanent Draft	2515154047	Candidatus Gilliamella apicola wkB1	
Bacteria	Permanent Draft	2503754030	Bifidobacterium longum infantis UCD304	
Bacteria	Permanent Draft	2516143027	Escherichia coli SCI-07	
Bacteria	Permanent Draft	2513020025	Bacteroides xylanisolvens NLAE-zl-C29	
Bacteria	Finished	2513237173	Bifidobacterium breve JCM 7019	
Bacteria	Permanent Draft	2503754051	Phocaeicola vulgatus 274-1D4	
Bacteria	Permanent Draft	2510065013	Enterococcus faecium GS5791	
Bacteria	Permanent Draft	2510065006	Enterococcus faecium VRE16	
Bacteria	Permanent Draft	2513020041	Escherichia coli K12	
Bacteria	Permanent Draft	2517572195	Mannheimia haemolytica sv. 1 L024A	
Bacteria	Permanent Draft	2517572219	Mannheimia haemolytica sv. 6 L038A	
Bacteria	Finished	2518645560	Salmonella enterica enterica sv. Heidelberg B182	
Bacteria	Permanent Draft	2519103024	Escherichia coli HM605	
Bacteria	Permanent Draft	2519103063	Enterococcus faecium 515	
Bacteria	Permanent Draft	2519103066	Enterococcus faecium C621	
Bacteria	Permanent Draft	2519103197	Bacteroides ovatus NLAE-zl-H73	
Bacteria	Permanent Draft	2519899564	Escherichia coli O26:H11 CVM9952	
Bacteria	Permanent Draft	2519899591	Bifidobacterium bifidum IF10/10	
Bacteria	Permanent Draft	2519899595	Salmonella enterica enterica sv. Heidelberg CFSAN00325	
Bacteria	Permanent Draft	2519899616	Salmonella enterica enterica sv. Enteritidis 622731-39	
Bacteria	Permanent Draft	2519899618	Salmonella enterica enterica sv. Enteritidis 640631	
Bacteria	Permanent Draft	2519899624	Citrobacter sp. A1	
Bacteria	Permanent Draft	2519899626	Salmonella enterica enterica sv. Newport Levine 1	
Bacteria	Permanent Draft	2519899689	Megamonas rupellensis DSM 19944	
Bacteria	Permanent Draft	2519899694	Brachyspira innocens ATCC 29796	
Bacteria	Permanent Draft	2519899724	Salmonella enterica enterica sv. Enteritidis 639672-50	
Bacteria	Permanent Draft	2519899725	Salmonella enterica enterica sv. Enteritidis 629164-26	
Bacteria	Permanent Draft	2519899742	Escherichia coli O104:H4 C227-11	
Bacteria	Finished	2519899780	Escherichia coli O104:H4 2009EL-2071	
Bacteria	Permanent Draft	2521172733	Escherichia coli DEC15D	
Bacteria	Permanent Draft	2521172734	Escherichia coli DEC15C	
Bacteria	Finished	2522572021	Escherichia coli O145:H28 RM13514	
Bacteria	Permanent Draft	2522572164	Escherichia coli O104:H4 Ec11-9941	
Bacteria	Permanent Draft	2523533515	Escherichia coli O104:H4 Ec11-4988	
Bacteria	Permanent Draft	2523533516	Escherichia coli O104:H4 Ec11-5603	
