Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	639633035	Listeria welshimeri sv. 6b, SLCC5334	
Bacteria	Finished	640427143	Shigella sonnei Ss046	
Bacteria	Finished	641522656	Thermoanaerobacter sp. X514	
Bacteria	Finished	643348548	Escherichia coli O127:H6 E2348/69 (EPEC)	
Bacteria	Finished	643692035	Salmonella enterica sv. Paratyphi C RKS4594	
Bacteria	Permanent Draft	643886203	Anaerobutyricum hallii DSM 3353	
Bacteria	Permanent Draft	643886206	Clostridium methylpentosum R2, DSM 5476	
Bacteria	Finished	646311947	Pectobacterium wasabiae WPP163	
Bacteria	Permanent Draft	647000296	Cutibacterium acnes J139	
Bacteria	Permanent Draft	2503982046	Peptoniphilus asaccharolyticus UW 228, DSM 20463	
Bacteria	Permanent Draft	645058833	Fusobacterium nucleatum animalis D11	
Bacteria	Finished	2511231098	Listeria ivanovii ivanovii PAM 55	
Bacteria	Finished	2511231199	Klebsiella pneumoniae pneumoniae HS11286	
Bacteria	Finished	2511231203	Listeria monocytogenes Finland 1988	
Bacteria	Finished	2512047040	Acetobacterium woodii WB1, DSM 1030	
Bacteria	Permanent Draft	2513237113	Budvicia aquatica DSM 5075, ATCC 35567	
Bacteria	Permanent Draft	2516143027	Escherichia coli SCI-07	
Bacteria	Permanent Draft	2516143112	Clostridium sp. URNW	
Bacteria	Permanent Draft	2510065048	Clostridium sp. URNW	
Bacteria	Permanent Draft	2503538027	Thermoanaerobacter ethanolicus JW 200	
Bacteria	Finished	2518645560	Salmonella enterica enterica sv. Heidelberg B182	
Bacteria	Permanent Draft	2519103024	Escherichia coli HM605	
Bacteria	Permanent Draft	2519899595	Salmonella enterica enterica sv. Heidelberg CFSAN00325	
Bacteria	Permanent Draft	2519899616	Salmonella enterica enterica sv. Enteritidis 622731-39	
Bacteria	Permanent Draft	2519899618	Salmonella enterica enterica sv. Enteritidis 640631	
Bacteria	Permanent Draft	2519899624	Citrobacter sp. A1	
Bacteria	Permanent Draft	2519899626	Salmonella enterica enterica sv. Newport Levine 1	
Bacteria	Permanent Draft	2519899647	Clostridium sporosphaeroides DSM 1294	
Bacteria	Permanent Draft	2519899694	Brachyspira innocens ATCC 29796	
Bacteria	Permanent Draft	2519899724	Salmonella enterica enterica sv. Enteritidis 639672-50	
Bacteria	Permanent Draft	2519899725	Salmonella enterica enterica sv. Enteritidis 629164-26	
Bacteria	Permanent Draft	2524023211	Clostridium sp. MSTE9	
Bacteria	Permanent Draft	2524614762	Desulfogranum japonicum DSM 18378	
Bacteria	Finished	2526164720	Listeria monocytogenes sv. 3b SLCC 2540	
Bacteria	Permanent Draft	2529292741	Klebsiella pneumoniae pneumoniae JC2877	
Bacteria	Permanent Draft	2529292764	Klebsiella pneumoniae pneumoniae KPNIH16	
Bacteria	Permanent Draft	2529292922	Escherichia coli DEC1C	
Bacteria	Finished	2529292938	Salmonella enterica enterica sv. Pomona ATCC 10729 GCA_000240905	
Bacteria	Permanent Draft	2529293061	Escherichia coli P0302308.14	
Bacteria	Permanent Draft	2531839014	Lachnoclostridium clostridioforme 90A1	
Bacteria	Permanent Draft	2531839150	Listeria monocytogenes sv. 1/2b FSL R2-503	
Bacteria	Permanent Draft	2531839380	Salmonella enterica enterica sv. Newport CVM 35188	
Bacteria	Permanent Draft	2531839382	Salmonella enterica enterica sv. Newport CVM 21539	
Bacteria	Permanent Draft	2531839383	Salmonella enterica enterica sv. Newport CVM 33953	
