Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	641736111	Salmonella enterica enterica sv. Newport SL317	
Bacteria	Finished	643692035	Salmonella enterica sv. Paratyphi C RKS4594	
Bacteria	Finished	2511231199	Klebsiella pneumoniae pneumoniae HS11286	
Bacteria	Finished	2518645560	Salmonella enterica enterica sv. Heidelberg B182	
Bacteria	Permanent Draft	2519899595	Salmonella enterica enterica sv. Heidelberg CFSAN00325	
Bacteria	Permanent Draft	2519899616	Salmonella enterica enterica sv. Enteritidis 622731-39	
Bacteria	Permanent Draft	2519899618	Salmonella enterica enterica sv. Enteritidis 640631	
Bacteria	Permanent Draft	2519899624	Citrobacter sp. A1	
Bacteria	Permanent Draft	2519899626	Salmonella enterica enterica sv. Newport Levine 1	
Bacteria	Permanent Draft	2519899724	Salmonella enterica enterica sv. Enteritidis 639672-50	
Bacteria	Permanent Draft	2519899725	Salmonella enterica enterica sv. Enteritidis 629164-26	
Bacteria	Permanent Draft	2529292741	Klebsiella pneumoniae pneumoniae JC2877	
Bacteria	Permanent Draft	2529292764	Klebsiella pneumoniae pneumoniae KPNIH16	
Bacteria	Finished	2529292938	Salmonella enterica enterica sv. Pomona ATCC 10729 GCA_000240905	
Bacteria	Permanent Draft	2531839380	Salmonella enterica enterica sv. Newport CVM 35188	
Bacteria	Permanent Draft	2531839382	Salmonella enterica enterica sv. Newport CVM 21539	
Bacteria	Permanent Draft	2531839383	Salmonella enterica enterica sv. Newport CVM 33953	
Bacteria	Finished	2531839384	Salmonella enterica enterica sv. Newport CVM 21550 GCA_000272715	
Bacteria	Permanent Draft	2531839628	Salmonella enterica enterica sv. Montevideo 2009083312	
Bacteria	Permanent Draft	2534681867	Salmonella enterica enterica sv. Baildon R6-199	
Bacteria	Permanent Draft	2534681871	Salmonella enterica enterica sv. Inverness R8-3668	
Bacteria	Permanent Draft	2534681875	Salmonella enterica enterica sv. Rubislaw A4-653	
Bacteria	Permanent Draft	2534681896	Klebsiella quasipneumoniae 700603	
Bacteria	Finished	2537561639	Salmonella enterica enterica sv. Newport CVM N1543 GCA_000272835	
