job	filter	gene_id	description	genome_id
ko_K17489	KO:K17489	2968635835	methylmalonyl-CoA carboxyltransferase large subunit	2968633430	
ko_K17489	KO:K17489	2511589278	methylmalonyl-CoA carboxyltransferase 12S subunit	2511231084	
ko_K17489	KO:K17489	2523856971	methylmalonyl-CoA carboxyltransferase 12S subunit	2523533584	
ko_K17489	KO:K17489	2513795295	methylmalonyl-CoA carboxyltransferase 12S subunit	2513237117	
ko_K17489	KO:K17489	2859559383	methylmalonyl-CoA carboxyltransferase large subunit	2859558775	
ko_K17489	KO:K17489	2859559384	methylmalonyl-CoA carboxyltransferase large subunit	2859558775	
ko_K17489	KO:K17489	2867486818	methylmalonyl-CoA carboxyltransferase large subunit	2867484473	
ko_K17489	KO:K17489	2848161101	methylmalonyl-CoA carboxyltransferase large subunit	2848159128	
ko_K17489	KO:K17489	2511675521	methylmalonyl-CoA carboxyltransferase 12S subunit	2511231111	
ko_K17489	KO:K17489	2866180212	methylmalonyl-CoA carboxyltransferase large subunit	2866179177	
ko_K17489	KO:K17489	2851546051	methylmalonyl-CoA carboxyltransferase large subunit	2851545357	
ko_K17489	KO:K17489	2531832025	methylmalonyl-CoA carboxyltransferase 12S subunit	2529293281	
ko_K17489	KO:K17489	2688453884	methylmalonyl-CoA carboxyltransferase 12S subunit	2687453358	
ko_K17489	KO:K17489	2662247599	 methylmalonyl-CoA carboxyltransferase 12S subunit	2660238400	
ko_K17489	KO:K17489	2633275947	methylmalonyl-CoA carboxyltransferase 12S subunit	2630968795	
ko_K17489	KO:K17489	2920130319	methylmalonyl-CoA carboxyltransferase large subunit	2920125314	
ko_K17489	KO:K17489	2877193778	methylmalonyl-CoA carboxyltransferase large subunit	2877193178	
ko_K17489	KO:K17489	2559734960	methylmalonyl-CoA carboxyltransferase 12S subunit	2558860403	
ko_K17489	KO:K17489	2511722816	methylmalonyl-CoA carboxyltransferase 12S subunit	2511231126	
ko_K17489	KO:K17489	2511722817	hypothetical protein	2511231126	
ko_K17489	KO:K17489	2512790595	methylmalonyl-CoA carboxyltransferase 12S subunit	2512564058	
ko_K17489	KO:K17489	2869742284	methylmalonyl-CoA carboxyltransferase large subunit	2869740637	
ko_K17489	KO:K17489	2847121339	methylmalonyl-CoA carboxyltransferase large subunit	2847120807	
ko_K17489	KO:K17489	2902682429	methylmalonyl-CoA carboxyltransferase large subunit	2902680501	
ko_K17489	KO:K17489	2511645426	methylmalonyl-CoA carboxyltransferase 12S subunit	2511231099	
ko_K17489	KO:K17489	2661861415	methylmalonyl-CoA carboxyltransferase 12S subunit	2660238308	
ko_K17489	KO:K17489	2858982649	methylmalonyl-CoA carboxyltransferase large subunit	2858981065	
ko_K17489	KO:K17489	2546819625	methylmalonyl-CoA carboxyltransferase 12S subunit	2545824790	
ko_K17489	KO:K17489	2511586966	hypothetical protein	2511231083	
ko_K17489	KO:K17489	2968653086	methylmalonyl-CoA carboxyltransferase large subunit	2968652349	
ko_K17489	KO:K17489	2844399635	methylmalonyl-CoA carboxyltransferase large subunit	2844399035	
ko_K17489	KO:K17489	2813501948	methylmalonyl-CoA carboxyltransferase large subunit	2811995216	
ko_K17489	KO:K17489	2635685282	hypothetical protein	2634166441	
ko_K17489	KO:K17489	2533046449	methylmalonyl-CoA carboxyltransferase 12S subunit	2531839313	
ko_K17489	KO:K17489	2869748191	methylmalonyl-CoA carboxyltransferase large subunit	2869747592	
ko_K17489	KO:K17489	2869745935	methylmalonyl-CoA carboxyltransferase large subunit	2869745315	
ko_K17489	KO:K17489	2813622957	methylmalonyl-CoA carboxyltransferase large subunit	2811995256	
ko_K17489	KO:K17489	2859551935	methylmalonyl-CoA carboxyltransferase large subunit	2859551338	
ko_K17489	KO:K17489	2923455409	methylmalonyl-CoA carboxyltransferase large subunit	2923453845	
ko_K17489	KO:K17489	2887566663	methylmalonyl-CoA carboxyltransferase large subunit	2887565955	
ko_K17489	KO:K17489	2887069783	methylmalonyl-CoA carboxyltransferase large subunit	2887065130	
ko_K17489	KO:K17489	2820820682	methylmalonyl-CoA carboxyltransferase large subunit	2820820509	
ko_K17489	KO:K17489	2874041840	methylmalonyl-CoA carboxyltransferase large subunit	2874040344	
ko_K17489	KO:K17489	2719037257	methylmalonyl-CoA carboxyltransferase 12S subunit	2718217849	
ko_K17489	KO:K17489	2721576971	methylmalonyl-CoA carboxyltransferase 12S subunit	2718218466	
ko_K17489	KO:K17489	2869743632	methylmalonyl-CoA carboxyltransferase large subunit	2869742882	
ko_K17489	KO:K17489	2538210077	methylmalonyl-CoA carboxyltransferase 12S subunit	2537561675	
ko_K17489	KO:K17489	2968677172	methylmalonyl-CoA carboxyltransferase large subunit	2968675283	
ko_K17489	KO:K17489	2842968423	methylmalonyl-CoA carboxyltransferase large subunit	2842967777	
ko_K17489	KO:K17489	2784407123	methylmalonyl-CoA carboxyltransferase large subunit	2784132096	
ko_K17489	KO:K17489	2533470355	methylmalonyl-CoA carboxyltransferase 12S subunit	2531839425	
