job	filter	gene_id	description	genome_id
ko_K13919_pduD	KO:K13919	2969038771	propanediol dehydratase medium subunit	2969034731	
ko_K13919_pduD	KO:K13919	2969045585	propanediol dehydratase medium subunit	2969040553	
ko_K13919_pduD	KO:K13919	2969459358	propanediol dehydratase medium subunit	2969457202	
ko_K13919_pduD	KO:K13919	2748301348	 propanediol dehydratase medium subunit	2747842587	
ko_K13919_pduD	KO:K13919	2869943905	propanediol dehydratase medium subunit	2869942097	
ko_K13919_pduD	KO:K13919	2588782080	propanediol dehydratase, medium subunit	2588253803	
ko_K13919_pduD	KO:K13919	2906136282	propanediol dehydratase medium subunit	2906134359	
ko_K13919_pduD	KO:K13919	2683957580	 propanediol dehydratase, medium subunit	2681813368	
ko_K13919_pduD	KO:K13919	2751248476	 propanediol dehydratase medium subunit	2751185213	
ko_K13919_pduD	KO:K13919	2917873581	propanediol dehydratase medium subunit	2917870735	
ko_K13919_pduD	KO:K13919	2742880101	 propanediol dehydratase medium subunit	2740892293	
ko_K13919_pduD	KO:K13919	2693035266	 propanediol dehydratase, medium subunit	2690316286	
ko_K13919_pduD	KO:K13919	2712313707	 propanediol dehydratase, medium subunit	2711768112	
ko_K13919_pduD	KO:K13919	2632812523	 propanediol dehydratase, medium subunit	2630968682	
ko_K13919_pduD	KO:K13919	2582114482	propanediol dehydratase, medium subunit	2579779060	
ko_K13919_pduD	KO:K13919	2780081561	propanediol dehydratase medium subunit 	2778261428	
ko_K13919_pduD	KO:K13919	2564335798	propanediol dehydratase, medium subunit	2563366852	
ko_K13919_pduD	KO:K13919	2751589339	 propanediol dehydratase medium subunit	2751185284	
ko_K13919_pduD	KO:K13919	2749593387	 propanediol dehydratase medium subunit	2747842856	
ko_K13919_pduD	KO:K13919	2639311965	 propanediol dehydratase, medium subunit	2636416105	
ko_K13919_pduD	KO:K13919	2545467494	propanediol dehydratase, medium subunit	2541047987	
ko_K13919_pduD	KO:K13919	2702240115	 propanediol dehydratase, medium subunit	2700989342	
ko_K13919_pduD	KO:K13919	2749741608	 propanediol dehydratase medium subunit	2747842887	
ko_K13919_pduD	KO:K13919	2728370842	propanediol dehydratase medium subunit	2728368900	
ko_K13919_pduD	KO:K13919	2747039989	 propanediol dehydratase medium subunit	2744055124	
ko_K13919_pduD	KO:K13919	2748808056	 propanediol dehydratase medium subunit	2747842693	
