job	filter	gene_id	description	genome_id
ko_K19697_pduW	KO:K19697	2969006618	propionate kinase	2969005613	
ko_K19697_pduW	KO:K19697	2637185139	 acetate kinase	2636415590	
ko_K19697_pduW	KO:K19697	2637481104	 acetate kinase	2636415662	
ko_K19697_pduW	KO:K19697	2688573548	propionate kinase	2687453387	
ko_K19697_pduW	KO:K19697	2969018080	propionate kinase	2969017016	
ko_K19697_pduW	KO:K19697	2969425678	propionate kinase	2969421702	
ko_K19697_pduW	KO:K19697	2969459374	propionate kinase	2969457202	
ko_K19697_pduW	KO:K19697	2606176653	acetate kinase	2603880211	
ko_K19697_pduW	KO:K19697	2694314991	 acetate kinase	2693429710	
ko_K19697_pduW	KO:K19697	2749955723	 acetate kinase	2747842932	
ko_K19697_pduW	KO:K19697	2917350208	propionate kinase	2917347978	
ko_K19697_pduW	KO:K19697	651550384	acetate kinase	651324045	
ko_K19697_pduW	KO:K19697	2751007938	 acetate kinase	2747843151	
ko_K19697_pduW	KO:K19697	2747494248	 acetate kinase	2744055219	
ko_K19697_pduW	KO:K19697	2969473713	propionate kinase	2969471931	
ko_K19697_pduW	KO:K19697	2543908790	acetate kinase	2541047673	
ko_K19697_pduW	KO:K19697	2724153870	propionate kinase	2721755833	
ko_K19697_pduW	KO:K19697	2634015704	 acetate kinase	2630968980	
ko_K19697_pduW	KO:K19697	2749593402	 acetate kinase	2747842856	
ko_K19697_pduW	KO:K19697	2748680054	 acetate kinase	2747842666	
ko_K19697_pduW	KO:K19697	2748363960	 acetate kinase	2747842600	
ko_K19697_pduW	KO:K19697	2588782571	acetate kinase	2588253803	
ko_K19697_pduW	KO:K19697	2661141297	 acetate kinase	2660238127	
ko_K19697_pduW	KO:K19697	2663160901	 acetate kinase	2660238631	
ko_K19697_pduW	KO:K19697	2693180041	propionate kinase	2690316320	
ko_K19697_pduW	KO:K19697	2665839992	 acetate kinase	2663763147	
ko_K19697_pduW	KO:K19697	2663174799	propionate kinase	2660238634	
ko_K19697_pduW	KO:K19697	2886111005	propionate kinase	2886107907	
ko_K19697_pduW	KO:K19697	2748808071	 acetate kinase	2747842693	
ko_K19697_pduW	KO:K19697	2689159500	 acetate kinase	2687453532	
ko_K19697_pduW	KO:K19697	2722681059	propionate kinase	2721755476	
ko_K19697_pduW	KO:K19697	2747403821	 acetate kinase	2744055200	
ko_K19697_pduW	KO:K19697	2697187717	propionate kinase	2695420717	
ko_K19697_pduW	KO:K19697	2742980924	propionate kinase	2740892311	
ko_K19697_pduW	KO:K19697	2750805370	 acetate kinase	2747843110	
ko_K19697_pduW	KO:K19697	2824553161	propionate kinase	2824549803	
ko_K19697_pduW	KO:K19697	2630707320	acetate kinase	2627854225	
ko_K19697_pduW	KO:K19697	2720131036	 acetate kinase	2718218110	
ko_K19697_pduW	KO:K19697	2714380080	 acetate kinase	2713896813	
ko_K19697_pduW	KO:K19697	2793886934	propionate kinase	2791355392	
ko_K19697_pduW	KO:K19697	2689103226	 acetate kinase	2687453519	
ko_K19697_pduW	KO:K19697	2703318395	propionate kinase	2700989576	
ko_K19697_pduW	KO:K19697	2694340310	propionate kinase	2693429716	
ko_K19697_pduW	KO:K19697	2693726292	 acetate kinase	2693429572	
ko_K19697_pduW	KO:K19697	2697035409	propionate kinase	2695420679	
ko_K19697_pduW	KO:K19697	2750108395	 acetate kinase	2747842964	
ko_K19697_pduW	KO:K19697	2750443099	 acetate kinase	2747843034	
ko_K19697_pduW	KO:K19697	2638058298	 acetate kinase	2636415798	
ko_K19697_pduW	KO:K19697	2570215204	acetate kinase	2568526506	
ko_K19697_pduW	KO:K19697	2880009309	propionate kinase	2880004798	
ko_K19697_pduW	KO:K19697	2662628774	propionate kinase	2660238497	
ko_K19697_pduW	KO:K19697	2655336310	 acetate kinase	2654587675	
ko_K19697_pduW	KO:K19697	2825476327	propionate kinase	2825473869	
ko_K19697_pduW	KO:K19697	2550094374	acetate kinase	2548876846	
ko_K19697_pduW	KO:K19697	2906209171	propionate kinase	2906208971	
ko_K19697_pduW	KO:K19697	2750271361	 acetate kinase	2747842998	
ko_K19697_pduW	KO:K19697	2695607794	 acetate kinase	2695420350	
ko_K19697_pduW	KO:K19697	2720813412	 acetate kinase	2718218281	
ko_K19697_pduW	KO:K19697	2747217449	 acetate kinase	2744055161	
ko_K19697_pduW	KO:K19697	2751579553	 acetate kinase	2751185282	
ko_K19697_pduW	KO:K19697	2541734514	acetate kinase	2541047076	
ko_K19697_pduW	KO:K19697	2665171379	propionate kinase	2663762979	
ko_K19697_pduW	KO:K19697	2748445852	 acetate kinase	2747842617	
ko_K19697_pduW	KO:K19697	2752014181	 acetate kinase	2751185370	
ko_K19697_pduW	KO:K19697	2610886210	acetate kinase	2609459969	
ko_K19697_pduW	KO:K19697	2569091543	acetate kinase	2568526162	
ko_K19697_pduW	KO:K19697	2619460011	acetate kinase	2617271300	
ko_K19697_pduW	KO:K19697	2726551971	propionate kinase	2724679364	
ko_K19697_pduW	KO:K19697	2695662584	propionate kinase	2695420362	
ko_K19697_pduW	KO:K19697	2720319161	propionate kinase	2718218153	
ko_K19697_pduW	KO:K19697	2923243354	propionate kinase	2923239602	
ko_K19697_pduW	KO:K19697	2903353174	propionate kinase	2903352716	
ko_K19697_pduW	KO:K19697	2747782595	 acetate kinase	2744055279	
ko_K19697_pduW	KO:K19697	2750912988	 acetate kinase	2747843132	
ko_K19697_pduW	KO:K19697	2663150870	propionate kinase	2660238627	
ko_K19697_pduW	KO:K19697	2903371713	propionate kinase	2903368219	
ko_K19697_pduW	KO:K19697	2534231045	acetate kinase	2531839626	
ko_K19697_pduW	KO:K19697	2606070510	acetate kinase	2603880184	
ko_K19697_pduW	KO:K19697	2652988861	 acetate kinase	2651869821	
ko_K19697_pduW	KO:K19697	2693041551	propionate kinase	2690316288	
ko_K19697_pduW	KO:K19697	2749989150	 acetate kinase	2747842939	
ko_K19697_pduW	KO:K19697	2610595539	acetate kinase	2609459916	
ko_K19697_pduW	KO:K19697	2657935560	 acetate kinase	2657245061	
ko_K19697_pduW	KO:K19697	2750504805	 acetate kinase	2747843047	
ko_K19697_pduW	KO:K19697	2724769116	 acetate kinase	2724678952	
ko_K19697_pduW	KO:K19697	2610390794	acetate kinase	2609459878	
ko_K19697_pduW	KO:K19697	2712311405	 acetate kinase	2711768111	
ko_K19697_pduW	KO:K19697	2851466289	propionate kinase	2851465294	
ko_K19697_pduW	KO:K19697	2720302001	propionate kinase	2718218149	
ko_K19697_pduW	KO:K19697	2674972828	 acetate kinase	2671180974	
ko_K19697_pduW	KO:K19697	2746977678	 acetate kinase	2744055111	
ko_K19697_pduW	KO:K19697	2903306990	propionate kinase	2903302487	
ko_K19697_pduW	KO:K19697	2749440440	 acetate kinase	2747842824	
ko_K19697_pduW	KO:K19697	2583660209	acetate kinase	2582580858	
ko_K19697_pduW	KO:K19697	2749908152	 acetate kinase	2747842922	
ko_K19697_pduW	KO:K19697	2869429287	propionate kinase	2869428216	
ko_K19697_pduW	KO:K19697	2588819181	acetate kinase	2588253811	
ko_K19697_pduW	KO:K19697	2697477141	propionate kinase	2695420787	
ko_K19697_pduW	KO:K19697	2674847914	 acetate kinase	2671180944	
ko_K19697_pduW	KO:K19697	2563107194	acetate kinase	2562617120	
ko_K19697_pduW	KO:K19697	2666731466	 acetate kinase	2663763363	
ko_K19697_pduW	KO:K19697	2906203153	propionate kinase	2906199207	
ko_K19697_pduW	KO:K19697	2714986407	 acetate kinase	2713896951	
ko_K19697_pduW	KO:K19697	2631477669	acetate kinase	2630968357	
ko_K19697_pduW	KO:K19697	2552266502	acetate kinase	2551306195	
ko_K19697_pduW	KO:K19697	2543890190	acetate kinase	2541047669	
ko_K19697_pduW	KO:K19697	2674877283	 acetate kinase	2671180952	
ko_K19697_pduW	KO:K19697	2640635926	 acetate kinase	2639762763	
ko_K19697_pduW	KO:K19697	2537782340	acetate kinase	2537561559	
ko_K19697_pduW	KO:K19697	2569018074	acetate kinase	2568526140	
ko_K19697_pduW	KO:K19697	2732493536	propionate kinase	2731957630	
ko_K19697_pduW	KO:K19697	2641007119	acetate kinase	2639762855	
ko_K19697_pduW	KO:K19697	2746944815	 acetate kinase	2744055104	
ko_K19697_pduW	KO:K19697	2657951334	 acetate kinase	2657245064	
ko_K19697_pduW	KO:K19697	2558739646	acetate kinase	2558309121	
ko_K19697_pduW	KO:K19697	2580279220	acetate kinase	2579778619	
ko_K19697_pduW	KO:K19697	2749650833	 acetate kinase	2747842868	
ko_K19697_pduW	KO:K19697	2925481331	propionate kinase	2925480332	
ko_K19697_pduW	KO:K19697	2747447027	 acetate kinase	2744055209	
ko_K19697_pduW	KO:K19697	2656004694	 acetate kinase	2654587849	
ko_K19697_pduW	KO:K19697	2749053442	 acetate kinase	2747842743	
ko_K19697_pduW	KO:K19697	2751302771	 acetate kinase	2751185224	
ko_K19697_pduW	KO:K19697	2880326778	propionate kinase	2880324937	
ko_K19697_pduW	KO:K19697	2581497212	acetate kinase	2579778908	
ko_K19697_pduW	KO:K19697	2750686077	 acetate kinase	2747843085	
ko_K19697_pduW	KO:K19697	2752017939	 acetate kinase	2751185371	
ko_K19697_pduW	KO:K19697	2546387380	acetate kinase	2545824681	
ko_K19697_pduW	KO:K19697	2569719535	acetate kinase	2568526353	
ko_K19697_pduW	KO:K19697	2659942399	 acetate kinase	2657245681	
ko_K19697_pduW	KO:K19697	2662188756	propionate kinase	2660238386	
ko_K19697_pduW	KO:K19697	2747685464	 acetate kinase	2744055259	
