"","strain","hit_score.pduW","hit_score.pduP","hit_score.fucO","hit_score.pduL","hit_score.pduC","hit_score.pduD","hit_score.pduE"
"84","Blautia-wexlerae-DSM-19850-MAF-2",457.9,536.3,599.3,207,NA,NA,NA
"113","Enterocloster-asparagiformis-DSM-15981-MAF-2",452.8,495,595.8,208,NA,NA,NA
"117","Enterocloster-bolteae-ATCC-BAA-613-MAF-2",497.8,592.4,598.8,215.8,NA,NA,NA
"162","Roseburia-inulinivorans-strain-AF28-15",464.6,528.6,609.2,200.9,NA,NA,NA
"173","Salmonella-enterica-subsp-enterica-serovar-Typhimurium-str-LT2",870.7,993.1,817.7,437.8,1306.5,492.9,372.4
"184","Veillonella-sp-3-1-44-MAF-2",532.2,637.9,592.1,268.2,1014.6,NA,NA
