job	filter	gene_id	description	genome_id
ko_K17490	KO:K17490	2968645194	methylmalonyl-CoA carboxyltransferase small subunit	2968643666	
ko_K17490	KO:K17490	2968654996	methylmalonyl-CoA carboxyltransferase small subunit	2968654791	
ko_K17490	KO:K17490	2968662982	methylmalonyl-CoA carboxyltransferase small subunit	2968662335	
ko_K17490	KO:K17490	2538766452	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2537561822	
ko_K17490	KO:K17490	2876300710	biotin carboxyl carrier protein	2876299533	
ko_K17490	KO:K17490	2525875073	methylmalonyl-CoA carboxyltransferase 1.3S subunit (EC 2.1.3.1)	2524614803	
ko_K17490	KO:K17490	2534026128	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2531839572	
ko_K17490	KO:K17490	2719602614	Biotin-requiring enzyme	2718217980	
ko_K17490	KO:K17490	2812988654	methylmalonyl-CoA carboxyltransferase small subunit	2811995057	
ko_K17490	KO:K17490	2523162123	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2522572173	
ko_K17490	KO:K17490	2745922760	 methylmalonyl-CoA carboxyltransferase 1.3S subunit	2744054862	
ko_K17490	KO:K17490	2721500636	 methylmalonyl-CoA carboxyltransferase 1.3S subunit	2718218444	
ko_K17490	KO:K17490	2865305998	biotin carboxyl carrier protein	2865304215	
ko_K17490	KO:K17490	2511530743	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2511231063	
ko_K17490	KO:K17490	2531832024	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2529293281	
ko_K17490	KO:K17490	2858982648	biotin carboxyl carrier protein	2858981065	
ko_K17490	KO:K17490	2928325534	methylmalonyl-CoA carboxyltransferase small subunit	2928325203	
ko_K17490	KO:K17490	2633275948	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2630968795	
ko_K17490	KO:K17490	2523902071	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2523533600	
ko_K17490	KO:K17490	2537856895	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2537561581	
ko_K17490	KO:K17490	2756407240	biotin-dependent enzyme	2756170169	
ko_K17490	KO:K17490	2659238216	 methylmalonyl-CoA carboxyltransferase 1.3S subunit	2657245502	
ko_K17490	KO:K17490	2649569180	oxaloacetate decarboxylase, alpha subunit	2648501352	
ko_K17490	KO:K17490	2791257423	methylmalonyl-CoA carboxyltransferase small subunit	2788500598	
ko_K17490	KO:K17490	2869748192	biotin carboxyl carrier protein	2869747592	
ko_K17490	KO:K17490	2888214103	biotin carboxyl carrier protein	2888212034	
ko_K17490	KO:K17490	2869100081	biotin carboxyl carrier protein	2869098794	
ko_K17490	KO:K17490	2923455411	biotin carboxyl carrier protein	2923453845	
ko_K17490	KO:K17490	644737197	putative biotin carboxyl carrier protein	644736345	
ko_K17490	KO:K17490	2740063092	methylmalonyl-CoA carboxyltransferase small subunit	2739367875	
ko_K17490	KO:K17490	2512026782	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2511231219	
ko_K17490	KO:K17490	2533466498	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2531839424	
ko_K17490	KO:K17490	2641347202	methylmalonyl-CoA carboxyltransferase 1.3S subunit	2639762940	
