job	filter	gene_id	description	genome_id
ec_5_1_99_1	EC:5.1.99.1	638033004	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000171	
ec_5_1_99_1	EC:5.1.99.1	638914655	methylmalonyl-CoA epimerase (EC 5.1.99.1)	638341081	
ec_5_1_99_1	EC:5.1.99.1	639743353	methylmalonyl-CoA epimerase (EC 5.1.99.1)	639633041	
ec_5_1_99_1	EC:5.1.99.1	637713432	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000193	
ec_5_1_99_1	EC:5.1.99.1	639721132	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	639633036	
ec_5_1_99_1	EC:5.1.99.1	639754559	methylmalonyl-CoA epimerase (EC 5.1.99.1)	639633050	
ec_5_1_99_1	EC:5.1.99.1	637058170	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000020	
ec_5_1_99_1	EC:5.1.99.1	637138697	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000169	
ec_5_1_99_1	EC:5.1.99.1	637302292	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000014	
ec_5_1_99_1	EC:5.1.99.1	637435071	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000236	
ec_5_1_99_1	EC:5.1.99.1	637462915	hypothetical protein	637000207	
ec_5_1_99_1	EC:5.1.99.1	637575913	methylmalonyl-CoA/ethylmalonyl-CoA epimerase	637000198	
ec_5_1_99_1	EC:5.1.99.1	637749917	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000204	
ec_5_1_99_1	EC:5.1.99.1	637753664	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000060	
ec_5_1_99_1	EC:5.1.99.1	637832062	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000128	
ec_5_1_99_1	EC:5.1.99.1	637913327	methylmalonyl-CoA epimerase (EC 5.1.99.1)	637000093	
ec_5_1_99_1	EC:5.1.99.1	638641762	methylmalonyl-CoA epimerase (EC 5.1.99.1)	638341015	
ec_5_1_99_1	EC:5.1.99.1	638938022	methylmalonyl-CoA epimerase (EC 5.1.99.1)	638341115	
ec_5_1_99_1	EC:5.1.99.1	639062299	methylmalonyl-CoA epimerase (EC 5.1.99.1)	638341014	
ec_5_1_99_1	EC:5.1.99.1	639634641	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	639633056	
ec_5_1_99_1	EC:5.1.99.1	640875092	methylmalonyl-CoA epimerase (EC 5.1.99.1)	640753026	
ec_5_1_99_1	EC:5.1.99.1	641542203	methylmalonyl-CoA epimerase (EC 5.1.99.1)	641522656	
ec_5_1_99_1	EC:5.1.99.1	641259297	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	641228476	
ec_5_1_99_1	EC:5.1.99.1	642892032	methylmalonyl-CoA epimerase (EC 5.1.99.1)	642791603	
ec_5_1_99_1	EC:5.1.99.1	642981322	methylmalonyl-CoA epimerase (EC 5.1.99.1)	642979338	
ec_5_1_99_1	EC:5.1.99.1	640481920	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	640427138	
ec_5_1_99_1	EC:5.1.99.1	640606112	methylmalonyl-CoA epimerase (EC 5.1.99.1)	640427123	
ec_5_1_99_1	EC:5.1.99.1	640623456	methylmalonyl-CoA epimerase (EC 5.1.99.1)	640612200	
ec_5_1_99_1	EC:5.1.99.1	641003018	methylmalonyl-CoA epimerase (EC 5.1.99.1)	640963023	
ec_5_1_99_1	EC:5.1.99.1	641142586	methylmalonyl-CoA epimerase (EC 5.1.99.1)	640963037	
ec_5_1_99_1	EC:5.1.99.1	641242107	hypothetical protein	641228492	
ec_5_1_99_1	EC:5.1.99.1	641359557	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	641228481	
ec_5_1_99_1	EC:5.1.99.1	641408586	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase	641380420	
ec_5_1_99_1	EC:5.1.99.1	642410244	methylmalonyl-CoA epimerase (EC 5.1.99.1)	641736155	
ec_5_1_99_1	EC:5.1.99.1	643638129	methylmalonyl-CoA epimerase (EC 5.1.99.1)	643348554	
ec_5_1_99_1	EC:5.1.99.1	642660937	methylmalonyl-CoA epimerase (EC 5.1.99.1)/ethylmalonyl-CoA epimerase	642555110	
ec_5_1_99_1	EC:5.1.99.1	642888770	methylmalonyl-CoA epimerase (EC 5.1.99.1)	642791610	
ec_5_1_99_1	EC:5.1.99.1	642983011	methylmalonyl-CoA epimerase (EC 5.1.99.1)	642979338	
ec_5_1_99_1	EC:5.1.99.1	643773829	methylmalonyl-CoA epimerase (EC 5.1.99.1)	643692024	
ec_5_1_99_1	EC:5.1.99.1	643631579	methylmalonyl-CoA epimerase (EC 5.1.99.1)	643348514	
