job	filter	gene_id	description	genome_id
ko_K01604	KO:K01604	2968274037	acetyl-CoA carboxylase carboxyltransferase component	2968271532	
ko_K01604	KO:K01604	2968506554	acetyl-CoA carboxylase carboxyltransferase component	2968504877	
ko_K01604	KO:K01604	2968334481	acetyl-CoA carboxylase carboxyltransferase component	2968332768	
ko_K01604	KO:K01604	2968513825	acetyl-CoA carboxylase carboxyltransferase component	2968512913	
ko_K01604	KO:K01604	2968307366	acetyl-CoA carboxylase carboxyltransferase component	2968304271	
ko_K01604	KO:K01604	2968471329	acetyl-CoA carboxylase carboxyltransferase component	2968470064	
ko_K01604	KO:K01604	2968530931	acetyl-CoA carboxylase carboxyltransferase component	2968529325	
ko_K01604	KO:K01604	2968982006	acetyl-CoA carboxylase carboxyltransferase component	2968981055	
ko_K01604	KO:K01604	2968300018	acetyl-CoA carboxylase carboxyltransferase component	2968299498	
ko_K01604	KO:K01604	2968990127	acetyl-CoA carboxylase carboxyltransferase component	2968989179	
ko_K01604	KO:K01604	2968969641	acetyl-CoA carboxylase carboxyltransferase component	2968968689	
ko_K01604	KO:K01604	2969120302	acetyl-CoA carboxylase carboxyltransferase component	2969118198	
ko_K01604	KO:K01604	2838794617	acetyl-CoA carboxylase carboxyltransferase component	2838794330	
ko_K01604	KO:K01604	2969176426	acetyl-CoA carboxylase carboxyltransferase component	2969174363	
ko_K01604	KO:K01604	2515676997	Acetyl-CoA carboxylase, carboxyltransferase component	2515154121	
ko_K01604	KO:K01604	2930521068	acetyl-CoA carboxylase carboxyltransferase component	2930516275	
ko_K01604	KO:K01604	2681986779	Acetyl-CoA carboxylase, carboxyltransferase component	2681812863	
ko_K01604	KO:K01604	2705964705	Acetyl-CoA carboxylase, carboxyltransferase component	2703719222	
ko_K01604	KO:K01604	2758704198	acetyl-CoA carboxylase carboxyltransferase component	2758568037	
ko_K01604	KO:K01604	2644716027	Acetyl-CoA carboxylase, carboxyltransferase component	2643221731	
ko_K01604	KO:K01604	2636901655	Acetyl-CoA carboxylase, carboxyltransferase component	2636415518	
ko_K01604	KO:K01604	2863390338	acetyl-CoA carboxylase carboxyltransferase component	2863389319	
ko_K01604	KO:K01604	2789989812	acetyl-CoA carboxylase carboxyltransferase component	2788500244	
ko_K01604	KO:K01604	2857934469	acetyl-CoA carboxylase carboxyltransferase component	2857928996	
ko_K01604	KO:K01604	2561488067	Acetyl-CoA carboxylase, carboxyltransferase component	2558860987	
ko_K01604	KO:K01604	2547913952	Acetyl-CoA carboxylase, carboxyltransferase component	2547132229	
ko_K01604	KO:K01604	2922565351	acetyl-CoA carboxylase carboxyltransferase component	2922560948	
ko_K01604	KO:K01604	2886404556	acetyl-CoA carboxylase carboxyltransferase component	2886402059	
ko_K01604	KO:K01604	2794026830	acetyl-CoA carboxylase carboxyltransferase subunit beta /acetyl-CoA carboxylase carboxyltransferase subunit alpha 	2791355413	
ko_K01604	KO:K01604	2912899798	acetyl-CoA carboxylase carboxyltransferase component	2912898282	
ko_K01604	KO:K01604	2817073727	acetyl-CoA carboxylase carboxyltransferase subunit beta /acetyl-CoA carboxylase carboxyltransferase subunit alpha 	2816332218	
ko_K01604	KO:K01604	2537448706	Acetyl-CoA carboxylase, carboxyltransferase component	2534682340	
ko_K01604	KO:K01604	2725818033	methylmalonyl-CoA decarboxylase alpha subunit	2724679194	
ko_K01604	KO:K01604	2775383150	propionyl-CoA carboxylase carboxyltransferase subunit 	2773858059	
ko_K01604	KO:K01604	651368283	hypothetical protein	651324050	
ko_K01604	KO:K01604	2800606076	acetyl-CoA carboxylase carboxyltransferase component	2799112787	
ko_K01604	KO:K01604	2820525418	acetyl-CoA carboxylase carboxyltransferase component	2820525019	
ko_K01604	KO:K01604	2916993726	acetyl-CoA carboxylase carboxyltransferase component	2916991840	
ko_K01604	KO:K01604	2854593370	acetyl-CoA carboxylase carboxyltransferase component	2854592043	
ko_K01604	KO:K01604	2637976927	Acetyl-CoA carboxylase, carboxyltransferase component	2636415776	
ko_K01604	KO:K01604	2672058983	Acetyl-CoA carboxylase, carboxyltransferase component	2671180266	
ko_K01604	KO:K01604	2601105821	Acetyl-CoA carboxylase, carboxyltransferase component	2600255156	
ko_K01604	KO:K01604	2877766343	acetyl-CoA carboxylase carboxyltransferase component	2877764096	
ko_K01604	KO:K01604	2822222549	acetyl-CoA carboxylase carboxyltransferase component	2822219949	
ko_K01604	KO:K01604	2809657310	acetyl-CoA carboxylase carboxyltransferase component	2808606540	
ko_K01604	KO:K01604	2562560125	Acetyl-CoA carboxylase, carboxyltransferase component	2561511230	
ko_K01604	KO:K01604	2914704120	acetyl-CoA carboxylase carboxyltransferase component	2914702566	
ko_K01604	KO:K01604	2834294827	methylmalonyl-CoA decarboxylase alpha subunit	2834293421	
ko_K01604	KO:K01604	2533134153	methylmalonyl-CoA decarboxylase alpha subunit	2531839339	
ko_K01604	KO:K01604	2835685223	acetyl-CoA carboxylase carboxyltransferase component	2835682289	
ko_K01604	KO:K01604	2808369558	acetyl-CoA carboxylase carboxyltransferase component	2806311002	
