job	filter	gene_id	description	genome_id
ko_K23351	KO:K23351	2968283050	biotin carboxyl carrier protein	2968281716	
ko_K23351	KO:K23351	2968311554	biotin carboxyl carrier protein	2968310650	
ko_K23351	KO:K23351	2968317209	biotin carboxyl carrier protein	2968314991	
ko_K23351	KO:K23351	2969374231	biotin carboxyl carrier protein	2969373201	
ko_K23351	KO:K23351	2969399597	biotin carboxyl carrier protein	2969398605	
ko_K23351	KO:K23351	2969619010	biotin carboxyl carrier protein	2969617662	
ko_K23351	KO:K23351	2567356017	Biotin carboxyl carrier protein	2565956853	
ko_K23351	KO:K23351	2560601344	Biotin carboxyl carrier protein	2558860675	
ko_K23351	KO:K23351	2793802595	biotin carboxyl carrier protein	2791355363	
ko_K23351	KO:K23351	2596742728	Biotin-requiring enzyme	2596583532	
ko_K23351	KO:K23351	2517121888	Acetyl/propionyl-CoA carboxylase, alpha subunit	2517093006	
ko_K23351	KO:K23351	2549174813	Biotin carboxyl carrier protein	2548876613	
ko_K23351	KO:K23351	645969179	biotin carboxyl carrier protein	645951804	
ko_K23351	KO:K23351	2858035966	biotin carboxyl carrier protein	2858035524	
ko_K23351	KO:K23351	2725818035	Biotin-requiring enzyme	2724679194	
ko_K23351	KO:K23351	2903620857	biotin carboxyl carrier protein	2903620348	
ko_K23351	KO:K23351	2595170616	Biotin carboxyl carrier protein	2593339154	
ko_K23351	KO:K23351	2562560127	Acetyl/propionyl-CoA carboxylase, alpha subunit	2561511230	
ko_K23351	KO:K23351	2601105823	Biotin-requiring enzyme	2600255156	
ko_K23351	KO:K23351	2526110515	Acetyl/propionyl-CoA carboxylase, alpha subunit	2524614871	
ko_K23351	KO:K23351	2547515760	Acetyl/propionyl-CoA carboxylase, alpha subunit	2547132133	
ko_K23351	KO:K23351	2844273835	biotin carboxyl carrier protein	2844268031	
ko_K23351	KO:K23351	2709438364	Biotin-requiring enzyme	2708742679	
ko_K23351	KO:K23351	2898225217	biotin carboxyl carrier protein	2898222270	
ko_K23351	KO:K23351	2894479873	biotin carboxyl carrier protein	2894477724	
ko_K23351	KO:K23351	2712431282	Biotin carboxyl carrier protein	2711768143	
ko_K23351	KO:K23351	2554121760	Acetyl/propionyl-CoA carboxylase, alpha subunit	2551306696	
ko_K23351	KO:K23351	2915450383	biotin carboxyl carrier protein	2915449350	
ko_K23351	KO:K23351	2805746126	biotin carboxyl carrier protein	2802429558	
ko_K23351	KO:K23351	2790094103	biotin-dependent enzyme	2788500270	
ko_K23351	KO:K23351	2839422630	glutaconyl-CoA decarboxylase	2839420503	
ko_K23351	KO:K23351	645957937	oxaloacetate decarboxylase	645951834	
ko_K23351	KO:K23351	2574849661	Biotin carboxyl carrier protein	2574179878	
ko_K23351	KO:K23351	2534025835	Biotin-requiring enzyme	2531839572	
ko_K23351	KO:K23351	2849522133	biotin carboxyl carrier protein	2849519894	
ko_K23351	KO:K23351	2800453764	biotin-dependent enzyme	2799112728	
ko_K23351	KO:K23351	2800757578	biotin-dependent enzyme	2799112855	
ko_K23351	KO:K23351	2581962740	Biotin-requiring enzyme	2579779022	
ko_K23351	KO:K23351	2587219832	Biotin-requiring enzyme	2585427924	
ko_K23351	KO:K23351	2700417213	Biotin carboxyl carrier protein	2698536812	
ko_K23351	KO:K23351	2898227382	biotin carboxyl carrier protein	2898225294	
ko_K23351	KO:K23351	2829161506	biotin carboxyl carrier protein	2829159915	
ko_K23351	KO:K23351	2870923918	biotin carboxyl carrier protein	2870922992	
ko_K23351	KO:K23351	2580892413	Biotin carboxyl carrier protein	2579778764	
ko_K23351	KO:K23351	2882121112	biotin carboxyl carrier protein	2882121104	
ko_K23351	KO:K23351	2598424393	Biotin-requiring enzyme	2597490128	
ko_K23351	KO:K23351	2634655821	Biotin-requiring enzyme	2634166178	
ko_K23351	KO:K23351	2596284575	Biotin-requiring enzyme	2595698217	
ko_K23351	KO:K23351	2596285347	Biotin-requiring enzyme	2595698217	
ko_K23351	KO:K23351	2894076057	biotin carboxyl carrier protein	2894075862	
ko_K23351	KO:K23351	2698112313	Biotin-requiring enzyme	2695420931	
ko_K23351	KO:K23351	2930063185	biotin carboxyl carrier protein	2930057488	
ko_K23351	KO:K23351	2787663898	oxaloacetate decarboxylase alpha subunit	2786546614	
ko_K23351	KO:K23351	2754356368	biotin carboxyl carrier protein	2751186035	
ko_K23351	KO:K23351	2800134786	biotin carboxyl carrier protein	2799112587	
ko_K23351	KO:K23351	2539061882	Biotin carboxyl carrier protein	2537561888	
ko_K23351	KO:K23351	2510426382	biotin carboxyl carrier protein	2510065091	
ko_K23351	KO:K23351	2520173720	Biotin carboxyl carrier protein	2519899571	
ko_K23351	KO:K23351	2885363103	biotin carboxyl carrier protein	2885360797	
ko_K23351	KO:K23351	2801067331	biotin-dependent enzyme	2799112992	
ko_K23351	KO:K23351	2578806570	Biotin carboxyl carrier protein	2576861553	
ko_K23351	KO:K23351	2506502944	Biotin-requiring enzyme	2506485007	
ko_K23351	KO:K23351	2565724727	intein N-terminal splicing region	2563367176	
ko_K23351	KO:K23351	2580719631	Biotin-requiring enzyme	2579778723	
ko_K23351	KO:K23351	2837508095	biotin carboxyl carrier protein	2837506649	
ko_K23351	KO:K23351	2549057537	Biotin carboxyl carrier protein	2548876551	
ko_K23351	KO:K23351	2900566593	biotin carboxyl carrier protein	2900564547	
ko_K23351	KO:K23351	2599293519	Biotin carboxyl carrier protein	2599185146	
ko_K23351	KO:K23351	2820752245	biotin carboxyl carrier protein	2820751898	
ko_K23351	KO:K23351	646221982	biotin carboxyl carrier protein	646206266	
ko_K23351	KO:K23351	2716650625	Biotin-requiring enzyme	2713897381	
ko_K23351	KO:K23351	2820742183	biotin carboxyl carrier protein	2820741847	
ko_K23351	KO:K23351	2876638662	biotin carboxyl carrier protein	2876637642	
ko_K23351	KO:K23351	2576080698	Biotin-requiring enzyme	2574180233	
ko_K23351	KO:K23351	2718651713	Biotin-requiring enzyme	2718217731	
ko_K23351	KO:K23351	2559531270	Biotin carboxyl carrier protein	2558860323	
ko_K23351	KO:K23351	2913589229	biotin carboxyl carrier protein	2913588957	
ko_K23351	KO:K23351	2889582487	biotin carboxyl carrier protein	2889582158	
ko_K23351	KO:K23351	2756750494	biotin-dependent enzyme	2756170264	
ko_K23351	KO:K23351	2832236591	biotin carboxyl carrier protein	2832234917	
ko_K23351	KO:K23351	2776986859	biotin-dependent enzyme	2775507066	
ko_K23351	KO:K23351	2882605134	biotin carboxyl carrier protein	2882604495	
ko_K23351	KO:K23351	2793207113	biotin-dependent enzyme	2791355227	
ko_K23351	KO:K23351	2589926601	Biotin carboxyl carrier protein	2588254074	
ko_K23351	KO:K23351	2920449754	glutaconyl-CoA decarboxylase	2920449518	
ko_K23351	KO:K23351	2580090470	Biotin-requiring enzyme	2579778576	
ko_K23351	KO:K23351	2914122786	biotin carboxyl carrier protein	2914121168	
ko_K23351	KO:K23351	2632892996	Biotin-requiring enzyme	2630968701	
ko_K23351	KO:K23351	2924852308	biotin carboxyl carrier protein	2924848468	
ko_K23351	KO:K23351	2752641344	biotin-dependent enzyme	2751185605	
ko_K23351	KO:K23351	2656893158	 biotin carboxyl carrier protein	2654588098	
ko_K23351	KO:K23351	2800477905	biotin-dependent enzyme	2799112738	
ko_K23351	KO:K23351	2635359691	Biotin-requiring enzyme	2634166358	
ko_K23351	KO:K23351	2799814542	biotin-dependent enzyme	2799112437	
ko_K23351	KO:K23351	2857973447	biotin carboxyl carrier protein	2857971645	
ko_K23351	KO:K23351	2603153850	Biotin-requiring enzyme	2602041923	
ko_K23351	KO:K23351	2800015052	biotin-dependent enzyme	2799112530	
ko_K23351	KO:K23351	2519001055	Acetyl/propionyl-CoA carboxylase, alpha subunit	2518645603	
ko_K23351	KO:K23351	2709757288	Biotin carboxyl carrier protein	2708742809	
ko_K23351	KO:K23351	2705724332	Biotin-requiring enzyme	2703719136	
ko_K23351	KO:K23351	2833355034	biotin carboxyl carrier protein	2833354111	
ko_K23351	KO:K23351	2657069067	Biotin-requiring enzyme	2654588145	
ko_K23351	KO:K23351	2914021870	glutaconyl-CoA decarboxylase	2914020768	
ko_K23351	KO:K23351	2903610687	biotin carboxyl carrier protein	2903608451	
ko_K23351	KO:K23351	2882126630	glutaconyl-CoA decarboxylase	2882124210	
ko_K23351	KO:K23351	2885358940	biotin carboxyl carrier protein	2885358051	
ko_K23351	KO:K23351	2532352916	Biotin carboxyl carrier protein	2531839133	
ko_K23351	KO:K23351	2563313260	Biotin-requiring enzyme	2562617183	
ko_K23351	KO:K23351	2525872653	Acetyl/propionyl-CoA carboxylase, alpha subunit	2524614802	
ko_K23351	KO:K23351	2801040724	biotin-dependent enzyme	2799112981	
ko_K23351	KO:K23351	2708595809	Biotin carboxyl carrier protein	2706795019	
ko_K23351	KO:K23351	2560704433	Biotin carboxyl carrier protein	2558860707	
ko_K23351	KO:K23351	2915402786	biotin carboxyl carrier protein	2915401650	
ko_K23351	KO:K23351	2725902433	Biotin-requiring enzyme	2724679214	
ko_K23351	KO:K23351	2725902771	Biotin-requiring enzyme	2724679214	
ko_K23351	KO:K23351	2818032411	biotin-dependent enzyme	2816332479	
ko_K23351	KO:K23351	2742640783	biotin-dependent enzyme	2740892240	
ko_K23351	KO:K23351	2563675899	Biotin carboxyl carrier protein	2563366592	
ko_K23351	KO:K23351	2890025805	biotin carboxyl carrier protein	2890025288	
ko_K23351	KO:K23351	2648294157	Biotin-requiring enzyme	2645728094	
ko_K23351	KO:K23351	2832114642	biotin carboxyl carrier protein	2832112221	
ko_K23351	KO:K23351	2560744979	Biotin carboxyl carrier protein	2558860720	
ko_K23351	KO:K23351	2799903481	biotin carboxyl carrier protein 	2799112477	
ko_K23351	KO:K23351	2631345873	Biotin-requiring enzyme	2630968326	
ko_K23351	KO:K23351	2854171486	biotin carboxyl carrier protein	2854167260	
ko_K23351	KO:K23351	2857895578	biotin carboxyl carrier protein	2857894125	
ko_K23351	KO:K23351	2774745835	biotin-dependent enzyme	2773857890	
ko_K23351	KO:K23351	2855284163	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	2855282144	
ko_K23351	KO:K23351	2799699985	glutaconyl-CoA decarboxylase	2799112383	
ko_K23351	KO:K23351	2846416784	biotin carboxyl carrier protein	2846414276	
ko_K23351	KO:K23351	2665925638	Biotin carboxyl carrier protein	2663763167	
ko_K23351	KO:K23351	2712839297	Biotin-requiring enzyme	2711768314	
ko_K23351	KO:K23351	2921144105	biotin carboxyl carrier protein	2921141724	
ko_K23351	KO:K23351	2599139862	Biotin-requiring enzyme	2597490366	
ko_K23351	KO:K23351	2723892081	Biotin carboxyl carrier protein	2721755767	
ko_K23351	KO:K23351	2905210945	biotin carboxyl carrier protein	2905209995	
ko_K23351	KO:K23351	2505298707	Pyruvate carboxylase	2505119046	
ko_K23351	KO:K23351	2705907895	Biotin-requiring enzyme	2703719207	
ko_K23351	KO:K23351	2765623582	glutaconyl-CoA decarboxylase gamma subunit 	2765235859	
ko_K23351	KO:K23351	2908536719	biotin carboxyl carrier protein	2908536416	
ko_K23351	KO:K23351	2787327254	biotin-dependent enzyme	2786546471	
ko_K23351	KO:K23351	2887554931	biotin carboxyl carrier protein	2887554069	
ko_K23351	KO:K23351	2549064764	Biotin carboxyl carrier protein	2548876555	
ko_K23351	KO:K23351	2825915824	biotin carboxyl carrier protein	2825915717	
ko_K23351	KO:K23351	2800461868	biotin carboxyl carrier protein	2799112732	
ko_K23351	KO:K23351	2738429414	Biotin-requiring enzyme	2737472004	
ko_K23351	KO:K23351	2535647654	Biotin-requiring enzyme	2534681837	
ko_K23351	KO:K23351	2566947186	Biotin carboxyl carrier protein	2565956748	
ko_K23351	KO:K23351	2565507891	Biotin carboxyl carrier protein	2563367121	
ko_K23351	KO:K23351	2687290526	Biotin-requiring enzyme	2684623233	
ko_K23351	KO:K23351	2835176286	glutaconyl-CoA decarboxylase	2835173708	
ko_K23351	KO:K23351	2685621330	Biotin-requiring enzyme	2684622767	
ko_K23351	KO:K23351	2608458813	Biotin carboxyl carrier protein	2606217752	
ko_K23351	KO:K23351	2800959985	biotin-dependent enzyme	2799112948	
ko_K23351	KO:K23351	2856192964	biotin carboxyl carrier protein	2856191474	
ko_K23351	KO:K23351	2879812959	biotin carboxyl carrier protein	2879810500	
ko_K23351	KO:K23351	2800450817	biotin-dependent enzyme	2799112727	
ko_K23351	KO:K23351	2868555056	biotin carboxyl carrier protein	2868553257	
ko_K23351	KO:K23351	2684181899	Biotin-requiring enzyme	2681813453	
ko_K23351	KO:K23351	2549033594	Biotin carboxyl carrier protein	2548876538	
ko_K23351	KO:K23351	2894054832	biotin carboxyl carrier protein	2894053425	
ko_K23351	KO:K23351	2559574776	Biotin carboxyl carrier protein	2558860345	
ko_K23351	KO:K23351	2563361251	Acetyl/propionyl-CoA carboxylase, alpha subunit	2562617199	
ko_K23351	KO:K23351	640785404	biotin/lipoyl attachment domain-containing protein	640753002	
ko_K23351	KO:K23351	2579601189	Biotin-requiring enzyme	2576861787	
ko_K23351	KO:K23351	2855584538	biotin carboxyl carrier protein	2855583053	
ko_K23351	KO:K23351	2838087401	biotin carboxyl carrier protein	2838086310	
ko_K23351	KO:K23351	2615893129	Biotin-requiring enzyme	2615840512	
ko_K23351	KO:K23351	2911460751	biotin carboxyl carrier protein	2911457595	
ko_K23351	KO:K23351	2587004676	Biotin-requiring enzyme	2585427859	
ko_K23351	KO:K23351	2618728360	Biotin-requiring enzyme	2617271081	
ko_K23351	KO:K23351	2924883836	biotin carboxyl carrier protein	2924880783	
ko_K23351	KO:K23351	2579252317	Biotin-requiring enzyme	2576861697	
ko_K23351	KO:K23351	2870416892	biotin carboxyl carrier protein	2870415955	
ko_K23351	KO:K23351	2829464718	biotin carboxyl carrier protein	2829464080	
ko_K23351	KO:K23351	2265100739	Biotin-requiring enzyme	2264867240	
ko_K23351	KO:K23351	2574189967	Biotin-requiring enzyme	2574179702	
ko_K23351	KO:K23351	2574190387	Biotin-requiring enzyme	2574179702	
ko_K23351	KO:K23351	2787575546	biotin-dependent enzyme	2786546576	
ko_K23351	KO:K23351	2851473565	biotin carboxyl carrier protein	2851473288	
ko_K23351	KO:K23351	2744520236	biotin-dependent enzyme	2744054502	
ko_K23351	KO:K23351	2849840303	biotin carboxyl carrier protein	2849839919	
ko_K23351	KO:K23351	2928326928	glutaconyl-CoA decarboxylase	2928325203	
ko_K23351	KO:K23351	650581264	Acetyl/propionyl-CoA carboxylase, alpha subunit	650377967	
ko_K23351	KO:K23351	2521742240	Acetyl/propionyl-CoA carboxylase, alpha subunit	2521172638	
ko_K23351	KO:K23351	2745791415	biotin-dependent enzyme	2744054824	
ko_K23351	KO:K23351	2800201527	biotin-dependent enzyme	2799112621	
ko_K23351	KO:K23351	2615890568	Biotin-requiring enzyme	2615840511	
ko_K23351	KO:K23351	2875201285	biotin carboxyl carrier protein	2875199372	
ko_K23351	KO:K23351	2834671423	biotin carboxyl carrier protein	2834669335	
ko_K23351	KO:K23351	2587172029	Biotin-requiring enzyme	2585427910	
ko_K23351	KO:K23351	2683932530	Biotin carboxyl carrier protein	2681813361	
ko_K23351	KO:K23351	2518697659	Biotin carboxyl carrier protein	2518645516	
ko_K23351	KO:K23351	2924085454	biotin carboxyl carrier protein	2924083256	
ko_K23351	KO:K23351	2795726760	biotin-dependent enzyme	2795385454	
ko_K23351	KO:K23351	2752752500	biotin carboxyl carrier protein	2751185653	
ko_K23351	KO:K23351	2546843205	Biotin carboxyl carrier protein	2546825506	
ko_K23351	KO:K23351	2683328027	Biotin-requiring enzyme	2681813213	
ko_K23351	KO:K23351	2882060897	biotin carboxyl carrier protein	2882059851	
ko_K23351	KO:K23351	2752718306	biotin-dependent enzyme	2751185638	
ko_K23351	KO:K23351	2595405228	Biotin carboxyl carrier protein	2593339226	
ko_K23351	KO:K23351	2832540619	biotin carboxyl carrier protein	2832538108	
ko_K23351	KO:K23351	2799783268	biotin-dependent enzyme	2799112422	
ko_K23351	KO:K23351	2891414124	glutaconyl-CoA decarboxylase	2891407665	
ko_K23351	KO:K23351	2850263124	biotin carboxyl carrier protein	2850260673	
ko_K23351	KO:K23351	2712375063	Biotin carboxyl carrier protein	2711768128	
ko_K23351	KO:K23351	647928621	methylmalonyl-CoA decarboxylase, gamma subunit	647533195	
ko_K23351	KO:K23351	2833309025	biotin carboxyl carrier protein	2833306800	
ko_K23351	KO:K23351	2923238693	biotin carboxyl carrier protein	2923237565	
ko_K23351	KO:K23351	2889376859	biotin carboxyl carrier protein	2889374082	
ko_K23351	KO:K23351	2808219550	biotin carboxyl carrier protein	2806310959	
ko_K23351	KO:K23351	2582380573	Biotin carboxyl carrier protein	2579779120	
ko_K23351	KO:K23351	2579646093	glutaconyl-CoA decarboxylase	2576861799	
ko_K23351	KO:K23351	2800392652	biotin-dependent enzyme	2799112703	
ko_K23351	KO:K23351	2596798949	glutaconyl-CoA decarboxylase	2596583540	
ko_K23351	KO:K23351	2578904132	Biotin carboxyl carrier protein	2576861592	
ko_K23351	KO:K23351	2835185540	biotin carboxyl carrier protein	2835185141	
ko_K23351	KO:K23351	2662979259	Biotin-requiring enzyme	2660238585	
ko_K23351	KO:K23351	2832954931	biotin carboxyl carrier protein	2832953387	
ko_K23351	KO:K23351	2878528782	biotin carboxyl carrier protein	2878528002	
ko_K23351	KO:K23351	2531882018	Biotin-requiring enzyme	2531839008	
ko_K23351	KO:K23351	641374101	biotin/lipoyl attachment domain-containing protein	641228485	
ko_K23351	KO:K23351	2882647744	biotin carboxyl carrier protein	2882645202	
ko_K23351	KO:K23351	2894299638	biotin carboxyl carrier protein	2894299465	
ko_K23351	KO:K23351	2513126591	Biotin carboxyl carrier protein	2513020023	
ko_K23351	KO:K23351	2563242236	Biotin carboxyl carrier protein	2562617159	
ko_K23351	KO:K23351	647744220	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	647533137	
ko_K23351	KO:K23351	643157108	Acetyl/propionyl-CoA carboxylase, alpha subunit	642979358	
ko_K23351	KO:K23351	2596388071	Biotin carboxyl carrier protein	2595698242	
ko_K23351	KO:K23351	2800664445	biotin carboxyl carrier protein	2799112815	
ko_K23351	KO:K23351	2708595287	Biotin carboxyl carrier protein	2706795018	
ko_K23351	KO:K23351	2576844235	Biotin-requiring enzyme	2574180449	
ko_K23351	KO:K23351	2561380244	methylmalonyl-CoA decarboxylase gamma subunit	2558860944	
ko_K23351	KO:K23351	2623404609	Biotin-requiring enzyme	2622736582	
ko_K23351	KO:K23351	2876110693	biotin carboxyl carrier protein	2876110513	
ko_K23351	KO:K23351	2787893699	biotin-dependent enzyme	2786546718	
ko_K23351	KO:K23351	2800659112	biotin carboxyl carrier protein	2799112812	
ko_K23351	KO:K23351	2561987046	Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes	2561511072	
ko_K23351	KO:K23351	2883539221	biotin carboxyl carrier protein	2883536940	
ko_K23351	KO:K23351	2537846889	Biotin-requiring enzyme	2537561577	
ko_K23351	KO:K23351	2811879248	biotin-dependent enzyme	2808606989	
ko_K23351	KO:K23351	2663233247	Biotin carboxyl carrier protein	2660238650	
ko_K23351	KO:K23351	2731880329	biotin-dependent enzyme	2731639222	
ko_K23351	KO:K23351	2806222961	glutaconyl-CoA decarboxylase	2802429685	
ko_K23351	KO:K23351	2895403429	biotin carboxyl carrier protein	2895402339	
ko_K23351	KO:K23351	2558227178	Acetyl/propionyl-CoA carboxylase, alpha subunit	2556921656	
ko_K23351	KO:K23351	2857904150	biotin carboxyl carrier protein	2857903310	
ko_K23351	KO:K23351	2911382009	biotin carboxyl carrier protein	2911381200	
ko_K23351	KO:K23351	2878472158	biotin carboxyl carrier protein	2878469390	
ko_K23351	KO:K23351	637524048	acetyl-CoA carboxylase	637000293	
ko_K23351	KO:K23351	2834138535	biotin carboxyl carrier protein	2834136368	
ko_K23351	KO:K23351	2652650707	Biotin carboxyl carrier protein	2651869741	
ko_K23351	KO:K23351	2526135286	Acetyl/propionyl-CoA carboxylase, alpha subunit	2524614878	
ko_K23351	KO:K23351	2540834365	Biotin carboxyl carrier protein	2540341174	
ko_K23351	KO:K23351	2837263438	biotin carboxyl carrier protein	2837262407	
ko_K23351	KO:K23351	2635318621	Biotin-requiring enzyme	2634166349	
ko_K23351	KO:K23351	2752577444	biotin-dependent enzyme	2751185579	
ko_K23351	KO:K23351	2914740068	glutaconyl-CoA decarboxylase	2914738839	
ko_K23351	KO:K23351	2833074280	biotin carboxyl carrier protein	2833073084	
ko_K23351	KO:K23351	2721922908	Biotin-requiring enzyme	2721755167	
ko_K23351	KO:K23351	2721923189	glutaconyl-CoA decarboxylase	2721755167	
ko_K23351	KO:K23351	2902675469	biotin carboxyl carrier protein	2902674664	
ko_K23351	KO:K23351	2894068285	biotin carboxyl carrier protein	2894066835	
ko_K23351	KO:K23351	2887606011	biotin carboxyl carrier protein	2887605516	
ko_K23351	KO:K23351	2801064766	biotin-dependent enzyme	2799112991	
ko_K23351	KO:K23351	643565249	biotin/lipoyl attachment domain-containing protein	643348527	
ko_K23351	KO:K23351	2560558099	Biotin carboxyl carrier protein	2558860661	
ko_K23351	KO:K23351	2596814839	glutaconyl-CoA decarboxylase	2596583544	
ko_K23351	KO:K23351	2788463304	biotin-dependent enzyme	2786546952	
ko_K23351	KO:K23351	2905202338	biotin carboxyl carrier protein	2905201719	
ko_K23351	KO:K23351	637524042	Biotin carboxyl carrier protein of oxaloacetate decarboxylase	637000293	
ko_K23351	KO:K23351	2657152728	Biotin carboxyl carrier protein	2654588174	
ko_K23351	KO:K23351	2713132182	Biotin-requiring enzyme	2711768464	
ko_K23351	KO:K23351	2814204166	biotin-dependent enzyme	2814122925	
ko_K23351	KO:K23351	2601475542	Biotin-requiring enzyme	2600255237	
ko_K23351	KO:K23351	645961178	glutaconyl-CoA decarboxylase gamma subunit (EC 4.1.1.70)	645951866	
ko_K23351	KO:K23351	2820488470	glutaconyl-CoA decarboxylase	2820487239	
ko_K23351	KO:K23351	2792054196	biotin carboxyl carrier protein	2791354938	
ko_K23351	KO:K23351	2515674899	Acetyl/propionyl-CoA carboxylase, alpha subunit	2515154120	
ko_K23351	KO:K23351	2702058459	Biotin-requiring enzyme	2700989293	
ko_K23351	KO:K23351	2829486605	biotin carboxyl carrier protein	2829486079	
ko_K23351	KO:K23351	2800705289	biotin carboxyl carrier protein	2799112832	
ko_K23351	KO:K23351	2913820279	biotin carboxyl carrier protein	2913815623	
ko_K23351	KO:K23351	2911363577	biotin carboxyl carrier protein	2911362610	
ko_K23351	KO:K23351	2543312363	Biotin-requiring enzyme	2541047517	
ko_K23351	KO:K23351	2920375373	biotin carboxyl carrier protein	2920374471	
ko_K23351	KO:K23351	2790293770	glutaconyl-CoA decarboxylase	2788500328	
ko_K23351	KO:K23351	2665505832	Biotin carboxyl carrier protein	2663763066	
ko_K23351	KO:K23351	2913988369	biotin carboxyl carrier protein	2913987674	
ko_K23351	KO:K23351	2861338159	glutaconyl-CoA decarboxylase	2861335840	
ko_K23351	KO:K23351	2891047311	biotin carboxyl carrier protein	2891045655	
ko_K23351	KO:K23351	643637229	Biotin/lipoyl attachment domain-containing protein	643348584	
ko_K23351	KO:K23351	2578976845	Biotin carboxyl carrier protein	2576861614	
ko_K23351	KO:K23351	2752908900	biotin-dependent enzyme	2751185689	
ko_K23351	KO:K23351	2848938860	glutaconyl-CoA decarboxylase	2848938603	
ko_K23351	KO:K23351	2580592456	Biotin carboxyl carrier protein	2579778695	
ko_K23351	KO:K23351	2788447248	biotin-dependent enzyme	2786546943	
ko_K23351	KO:K23351	2560739299	Biotin carboxyl carrier protein	2558860718	
ko_K23351	KO:K23351	2752663624	biotin-dependent enzyme	2751185617	
ko_K23351	KO:K23351	2525504666	Acetyl/propionyl-CoA carboxylase, alpha subunit	2524614714	
ko_K23351	KO:K23351	2858545078	biotin carboxyl carrier protein	2858542025	
ko_K23351	KO:K23351	2926467027	biotin carboxyl carrier protein	2926464969	
ko_K23351	KO:K23351	2887776164	biotin carboxyl carrier protein	2887773926	
ko_K23351	KO:K23351	2800054797	biotin carboxyl carrier protein	2799112549	
ko_K23351	KO:K23351	2571235810	Biotin-requiring enzyme	2571042049	
ko_K23351	KO:K23351	2817468783	biotin-dependent enzyme	2816332290	
ko_K23351	KO:K23351	2820364468	biotin carboxyl carrier protein	2820362221	
ko_K23351	KO:K23351	646089427	biotin carboxyl carrier protein (BCCP)	645951817	
