job	filter	gene_id	description	genome_id
ko_K13922_pduP	KO:K13922	2969433950	propionaldehyde dehydrogenase	2969431754	
ko_K13922_pduP	KO:K13922	2969438989	propionaldehyde dehydrogenase	2969436815	
ko_K13922_pduP	KO:K13922	2693035277	 propionaldehyde dehydrogenase	2690316286	
ko_K13922_pduP	KO:K13922	2610434914	propionaldehyde dehydrogenase	2609459887	
ko_K13922_pduP	KO:K13922	2969024329	propionaldehyde dehydrogenase	2969023432	
ko_K13922_pduP	KO:K13922	2969030222	propionaldehyde dehydrogenase	2969029281	
ko_K13922_pduP	KO:K13922	2969075038	propionaldehyde dehydrogenase	2969074219	
ko_K13922_pduP	KO:K13922	2969080550	propionaldehyde dehydrogenase	2969079654	
ko_K13922_pduP	KO:K13922	2969414370	propionaldehyde dehydrogenase	2969412290	
ko_K13922_pduP	KO:K13922	2969484202	propionaldehyde dehydrogenase	2969482084	
ko_K13922_pduP	KO:K13922	2898777062	propionaldehyde dehydrogenase	2898775653	
ko_K13922_pduP	KO:K13922	2917873591	propionaldehyde dehydrogenase	2917870735	
ko_K13922_pduP	KO:K13922	2780889129	propionaldehyde dehydrogenase 	2778261651	
ko_K13922_pduP	KO:K13922	2694314997	 propionaldehyde dehydrogenase	2693429710	
ko_K13922_pduP	KO:K13922	2540809159	propionaldehyde dehydrogenase	2540341165	
ko_K13922_pduP	KO:K13922	2601124648	propionaldehyde dehydrogenase	2600255159	
ko_K13922_pduP	KO:K13922	2915864745	propionaldehyde dehydrogenase	2915864241	
ko_K13922_pduP	KO:K13922	2661201229	 propionaldehyde dehydrogenase	2660238145	
ko_K13922_pduP	KO:K13922	2632812536	 propionaldehyde dehydrogenase	2630968682	
ko_K13922_pduP	KO:K13922	2685249527	 propionaldehyde dehydrogenase	2684622655	
ko_K13922_pduP	KO:K13922	2714805715	 propionaldehyde dehydrogenase	2713896903	
ko_K13922_pduP	KO:K13922	2564356757	propionaldehyde dehydrogenase	2563366856	
ko_K13922_pduP	KO:K13922	2749111051	 propionaldehyde dehydrogenase	2747842755	
ko_K13922_pduP	KO:K13922	2749593396	 propionaldehyde dehydrogenase	2747842856	
ko_K13922_pduP	KO:K13922	2751946832	 propionaldehyde dehydrogenase	2751185356	
ko_K13922_pduP	KO:K13922	2703398688	 propionaldehyde dehydrogenase	2700989591	
ko_K13922_pduP	KO:K13922	2530598853	propionaldehyde dehydrogenase	2529292938	
ko_K13922_pduP	KO:K13922	2559768690	propionaldehyde dehydrogenase	2558860418	
ko_K13922_pduP	KO:K13922	2676541069	propionaldehyde dehydrogenase	2675903067	
ko_K13922_pduP	KO:K13922	2847215010	propionaldehyde dehydrogenase	2847213633	
ko_K13922_pduP	KO:K13922	2875794369	propionaldehyde dehydrogenase	2875793470	
ko_K13922_pduP	KO:K13922	2641223271	propionaldehyde dehydrogenase	2639762909	
ko_K13922_pduP	KO:K13922	2599097048	propionaldehyde dehydrogenase	2597490355	
ko_K13922_pduP	KO:K13922	2809089979	propionaldehyde dehydrogenase	2808606406	
ko_K13922_pduP	KO:K13922	2876301700	propionaldehyde dehydrogenase	2876299533	
ko_K13922_pduP	KO:K13922	2562562264	propionaldehyde dehydrogenase	2561511230	
ko_K13922_pduP	KO:K13922	2569319515	propionaldehyde dehydrogenase	2568526230	
ko_K13922_pduP	KO:K13922	2666693838	 propionaldehyde dehydrogenase	2663763353	
ko_K13922_pduP	KO:K13922	2748808065	 propionaldehyde dehydrogenase	2747842693	
