job	filter	gene_id	description	genome_id
pct_genomes	EC:2.8.3.1	637697843	propionate CoA-transferase (EC 2.8.3.1)	637000284	
pct_genomes	EC:2.8.3.1	637150997	propionate CoA-transferase (EC 2.8.3.1)	637000273	
pct_genomes	EC:2.8.3.1	637385560	propionate CoA-transferase (EC 2.8.3.1)	637000080	
pct_genomes	EC:2.8.3.1	637678899	propionate CoA-transferase (EC 2.8.3.1)	637000088	
pct_genomes	EC:2.8.3.1	637815133	propionate CoA-transferase (EC 2.8.3.1)	637000272	
pct_genomes	EC:2.8.3.1	637977985	propionate CoA-transferase (EC 2.8.3.1)	637000230	
pct_genomes	EC:2.8.3.1	638667780	COG4670: Acyl CoA:acetate/3-ketoacid CoA transferase	638341087	
pct_genomes	EC:2.8.3.1	640483114	propionate CoA-transferase (EC 2.8.3.1)	640427138	
pct_genomes	EC:2.8.3.1	640965123	propionate CoA-transferase (EC 2.8.3.1)	640963059	
pct_genomes	EC:2.8.3.1	641728501	propionate CoA-transferase (EC 2.8.3.1)	641522650	
pct_genomes	EC:2.8.3.1	642101733	propionate CoA-transferase (EC 2.8.3.1)	641736146	
pct_genomes	EC:2.8.3.1	642407773	propionate CoA-transferase (EC 2.8.3.1)	641736163	
pct_genomes	EC:2.8.3.1	642425267	coenzyme A transferase	641736151	
pct_genomes	EC:2.8.3.1	642650755	coenzyme A transferase	642555139	
pct_genomes	EC:2.8.3.1	643771914	propionate CoA-transferase (EC 2.8.3.1)	643692027	
pct_genomes	EC:2.8.3.1	644885593	coenzyme A transferase	644736361	
pct_genomes	EC:2.8.3.1	645009672	propionate CoA-transferase (EC 2.8.3.1)	644736333	
pct_genomes	EC:2.8.3.1	646519004	propionate CoA-transferase (EC 2.8.3.1)	646311931	
pct_genomes	EC:2.8.3.1	646716332	propionate CoA-transferase (EC 2.8.3.1)	646564516	
pct_genomes	EC:2.8.3.1	643600402	coenzyme A transferase	643348564	
pct_genomes	EC:2.8.3.1	643642981	propionate CoA-transferase (EC 2.8.3.1)	643348504	
pct_genomes	EC:2.8.3.1	643660784	propionate CoA-transferase (EC 2.8.3.1)	643348578	
pct_genomes	EC:2.8.3.1	644396800	acetyl-CoA-transferase subunit	643886153	
pct_genomes	EC:2.8.3.1	645374718	hypothetical protein	645058865	
pct_genomes	EC:2.8.3.1	645380902	coenzyme A transferase	645058863	
pct_genomes	EC:2.8.3.1	646067742	propionate CoA-transferase (EC 2.8.3.1)	645951843	
pct_genomes	EC:2.8.3.1	646805813	coenzyme A transferase	646564587	
pct_genomes	EC:2.8.3.1	646965042	propionate CoA-transferase (EC 2.8.3.1)	646862326	
pct_genomes	EC:2.8.3.1	650536505	propionate CoA-transferase	650377925	
pct_genomes	EC:2.8.3.1	647616860	coenzyme A transferase	647533203	
pct_genomes	EC:2.8.3.1	647631757	coenzyme A transferase	647533200	
pct_genomes	EC:2.8.3.1	647798597	propionate CoA-transferase (EC 2.8.3.1)	647533221	
pct_genomes	EC:2.8.3.1	647905194	propionate CoA-transferase (EC 2.8.3.1)	647533219	
pct_genomes	EC:2.8.3.1	647905483	propionate CoA-transferase (EC 2.8.3.1)	647533220	
pct_genomes	EC:2.8.3.1	650594328	propionate CoA-transferase	650377990	
pct_genomes	EC:2.8.3.1	651245752	bifunctional putative acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit/beta subunit	651053036	
pct_genomes	EC:2.8.3.1	648274301	propionate CoA-transferase (EC 2.8.3.1)	648231706	
pct_genomes	EC:2.8.3.1	648551698	propionate CoA-transferase (EC 2.8.3.1)	648276663	
pct_genomes	EC:2.8.3.1	648645540	coenzyme A transferase	648276653	
pct_genomes	EC:2.8.3.1	648651576	coenzyme A transferase	648276652	
pct_genomes	EC:2.8.3.1	648657463	coenzyme A transferase	648276649	
pct_genomes	EC:2.8.3.1	650308103	propionate CoA-transferase (EC 2.8.3.1)	649989950	
pct_genomes	EC:2.8.3.1	650464556	acetyl-coA:acetoacetyl-coA transferase alpha subunit	650377984	
pct_genomes	EC:2.8.3.1	650486102	propionate CoA-transferase	650377974	
pct_genomes	EC:2.8.3.1	650582005	propionate CoA-transferase (EC 2.8.3.1)	650377967	
