"","X1","species"
"1","Butyricimonas-virosa-DSM-23226-MAF-2","Butyricimonas virosa"
"2","Bacteroides-plebeius-DSM-17135-MAF-2","Bacteroides plebeius"
"3","Eubacterium_eligens","Eubacterium eligens"
"4","Bacteroides_thetaiotaomicron","Bacteroides thetaiotaomicron"
"5","Parabacteroides-merdae-ATCC-43184-MAF-2","Parabacteroides merdae"
"6","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2","Bacteroides xylanisolvens"
"7","Alistipes-senegalensis-JC50-MAF-2","Alistipes senegalensis"
"8","Anaerotruncus-colihominis-DSM-17241-MAF-2","Anaerotruncus colihominis"
"9","Veillonella-sp-6-1-27-MAF-2","Veillonella species"
"10","Blautia-hansenii-DSM-20583-MAF-2","Blautia hansenii"
"11","Collinsella_aerofaciens","Collinsella aerofaciens"
"12","Bacteroides-sp-D2-MAF-2","Bacteroides species"
"13","Granulicatella-adiacens-ATCC-49175-MAF-2","Granulicatella adiacens"
"14","Lachnospira-eligens-ATCC-27750-MAF-2","Lachnospira eligens"
"15","Streptococcus-thermophilus-LMD-9-MAF-2","Streptococcus thermophilus"
"16","Dorea-formicigenerans-ATCC-27755-MAF-2","Dorea formicigenerans"
"17","Bacteroides-eggerthii-DSM-20697-MAF-2","Bacteroides eggerthii"
"18","Clostridium-scindens-ATCC-35704-MAF-2","Clostridium scindens"
"19","Ruminococcus-torques-ATCC-27756-MAF-2","Ruminococcus torques"
"20","Collinsella-stercoris-DSM-13279-MAF-2","Collinsella stercoris"
"21","Bacteroides-thetaiotaomicron-1-1-6-MAF-2","Bacteroides thetaiotaomicron"
"22","Roseburia-intestinalis-L1-82-MAF-2","Roseburia intestinalis"
"23","Mitsuokella-multacida-DSM-20544-MAF-2","Mitsuokella multacida"
"24","Bifidobacterium-adolescentis-L2-32-MAF-2","Bifidobacterium adolescentis"
"25","Alistipes-putredinis-DSM-17216-MAF-2","Alistipes putredinis"
