"","IMG_genome_ID","genome_name","scpA","scpB","scpC","argK","n_genes_present"
"1","637000129","Haloquadratum walsbyi HBSQ001, DSM 16790",1,0,0,1,2
"2","637000187","Natronomonas pharaonis Gabara, DSM 2160",1,0,0,1,2
"3","638154518","Saccharolobus solfataricus P2",1,0,0,1,2
"4","638154519","Sulfurisphaera tokodaii 7",1,0,0,1,2
"5","638154520","Thermococcus kodakarensis KOD1",1,0,0,1,2
"6","638154521","Thermoplasma acidophilum DSM 1728",1,0,0,1,2
"7","638154522","Thermoplasma volcanium GSS1",1,0,0,1,2
"8","638154502","Archaeoglobus fulgidus VC-16, DSM 4304",1,0,0,1,2
"9","638154503","Haloarcula marismortui ATCC 43049",1,0,0,1,2
"10","638154504","Halobacterium salinarum NRC-1",1,0,0,1,2
"11","638154512","Picrophilus torridus DSM 9790",1,0,0,1,2
"12","638154514","Pyrococcus abyssi GE5",1,0,0,1,2
"13","638154515","Pyrococcus furiosus DSM 3638",1,0,0,1,2
"14","638154517","Sulfolobus acidocaldarius 98-3, DSM 639",1,0,0,1,2
"15","638341092","Ferroplasma acidarmanus Fer1",1,0,0,0,1
"16","640427120","Metallosphaera sedula DSM 5348",1,0,0,1,2
"17","641228499","Nitrosopumilus maritimus SCM1",1,0,0,1,2
"18","641522613","Cenarchaeum symbiosum A",1,0,0,1,2
"19","641522631","Halobacterium salinarum R1, DSM 671",1,0,0,1,2
"20","643348580","Thermococcus onnurineus NA1",1,0,0,1,2
"21","643692025","Halorubrum lacusprofundi ATCC 49239",1,0,0,1,2
"22","643692044","Sulfolobus islandicus L.S.2.15",1,0,0,1,2
"23","643692045","Sulfolobus islandicus M.14.25",1,0,0,1,2
"24","643692046","Sulfolobus islandicus M.16.27",1,0,0,1,2
"25","643692047","Sulfolobus islandicus M.16.4",1,0,0,1,2
"26","643692048","Sulfolobus islandicus Y.G.57.14",1,0,0,1,2
"27","643692049","Sulfolobus islandicus Y.N.15.51",1,0,0,1,2
"28","644736372","Halomicrobium mukohataei arg-2, DSM 12286",1,0,0,1,2
"29","644736411","Thermococcus gammatolerans EJ3",1,0,0,1,2
"30","644736412","Thermococcus sibiricus MM 739",1,0,0,1,2
"31","646311934","Haloterrigena turkmenica VKM B-1734, DSM 5511",1,0,0,1,2
"32","646311959","Sulfolobus islandicus L.D.8.5",1,0,0,1,2
"33","646564501","Aciduliprofundum boonei T469",1,0,0,1,2
"34","646564534","Ferroglobus placidus AEDII12DO, DSM 10642",1,0,0,1,2
"35","646564536","Haloferax volcanii DS2, ATCC 29605",1,0,0,1,2
"36","646564555","Natrialba magadii ATCC 43099",1,0,0,1,2
