"","IMG_genome_ID","genome_name","met_mutase","met_epimerase","12S_carboxyltransferase","5S_carboxyltransferase","1_3S_carboxyltransferase","met_carboxyltransferase_complex","succ_transferase","n_genes_present","carboxyltransferase_any"
"1","637000129","Haloquadratum walsbyi HBSQ001, DSM 16790",1,1,0,0,0,0,0,2,0
"2","637000187","Natronomonas pharaonis Gabara, DSM 2160",1,1,0,0,0,0,0,2,0
"3","638154503","Haloarcula marismortui ATCC 43049",1,1,0,0,0,0,0,2,0
"4","638154504","Halobacterium salinarum NRC-1",1,1,0,0,0,0,0,2,0
"5","638154514","Pyrococcus abyssi GE5",1,1,0,0,0,0,0,2,0
"6","638154517","Sulfolobus acidocaldarius 98-3, DSM 639",1,1,0,0,0,0,0,2,0
"7","638154518","Saccharolobus solfataricus P2",1,1,0,0,0,0,0,2,0
"8","638154519","Sulfurisphaera tokodaii 7",1,1,0,0,0,0,0,2,0
"9","638154520","Thermococcus kodakarensis KOD1",1,1,0,0,0,0,0,2,0
"10","640427120","Metallosphaera sedula DSM 5348",1,1,0,0,0,0,0,2,0
"11","641228483","Caldivirga maquilingensis IC-167",1,0,0,0,0,0,0,1,0
"12","641228499","Nitrosopumilus maritimus SCM1",1,1,0,0,0,0,0,2,0
"13","641522613","Cenarchaeum symbiosum A",1,1,0,0,0,0,0,2,0
"14","641522631","Halobacterium salinarum R1, DSM 671",1,1,0,0,0,0,0,2,0
"15","643348580","Thermococcus onnurineus NA1",1,1,0,0,0,0,0,2,0
"16","643692025","Halorubrum lacusprofundi ATCC 49239",1,1,0,0,0,0,0,2,0
"17","643692044","Sulfolobus islandicus L.S.2.15",1,1,0,0,0,0,0,2,0
"18","643692045","Sulfolobus islandicus M.14.25",1,1,0,0,0,0,0,2,0
"19","643692046","Sulfolobus islandicus M.16.27",1,1,0,0,0,0,0,2,0
"20","643692047","Sulfolobus islandicus M.16.4",1,1,0,0,0,0,0,2,0
"21","643692048","Sulfolobus islandicus Y.G.57.14",1,1,0,0,0,0,0,2,0
"22","643692049","Sulfolobus islandicus Y.N.15.51",1,1,0,0,0,0,0,2,0
"23","644736372","Halomicrobium mukohataei arg-2, DSM 12286",1,1,0,0,0,0,0,2,0
"24","644736411","Thermococcus gammatolerans EJ3",1,1,0,0,0,0,0,2,0
"25","644736412","Thermococcus sibiricus MM 739",1,1,0,0,0,0,0,2,0
"26","646311934","Haloterrigena turkmenica VKM B-1734, DSM 5511",1,1,0,0,0,0,0,2,0
"27","646311959","Sulfolobus islandicus L.D.8.5",1,1,0,0,0,0,0,2,0
"28","646564501","Aciduliprofundum boonei T469",1,1,0,0,0,0,0,2,0
"29","646564534","Ferroglobus placidus AEDII12DO, DSM 10642",1,1,0,0,0,0,0,2,0
"30","646564536","Haloferax volcanii DS2, ATCC 29605",1,1,0,0,0,0,0,2,0
"31","646564555","Natrialba magadii ATCC 43099",1,1,0,0,0,0,0,2,0
"32","646862347","Saccharolobus solfataricus 98/2",1,1,0,0,0,0,0,2,0
"33","648028029","Halalkalicoccus jeotgali B3, DSM 18796",1,1,0,0,0,0,0,2,0
"34","648028035","Ignisphaera aggregans AQ1.S1, DSM 17230",1,0,0,0,0,0,0,1,0
"35","649633053","Halogeometricum borinquense PR3, DSM 11551",1,1,0,0,0,0,0,2,0
"36","649989953","Haladaptatus paucihalophilus DX253",1,1,0,0,0,0,0,2,0
"37","649990020","Saccharolobus solfataricus 98/2",1,1,0,0,0,0,0,2,0
"38","650377981","Sulfolobus islandicus HVE10/4",1,1,0,0,0,0,0,2,0
"39","650377982","Sulfolobus islandicus REY15A",1,1,0,0,0,0,0,2,0
"40","650716001","Acidianus hospitalis W1",1,1,0,0,0,0,0,2,0
"41","650716051","Metallosphaera cuprina Ar-4",1,1,0,0,0,0,0,2,0
"42","650716079","Pyrococcus sp. NA2",1,1,0,0,0,0,0,2,0
"43","650716080","Pyrococcus yayanosii CH1",1,0,0,0,0,0,0,1,0
"44","650716096","Thermococcus barophilus MP, DSM 11836",1,1,0,0,0,0,0,2,0
