job	filter	gene_id	description	genome_id
ko_K13923_pduL	KO:K13923	2969459364	phosphate propanoyltransferase	2969457202	
ko_K13923_pduL	KO:K13923	2543923543	phosphate propanoyltransferase	2541047676	
ko_K13923_pduL	KO:K13923	2603843969	phosphate propanoyltransferase	2602042104	
ko_K13923_pduL	KO:K13923	2969420148	phosphate propanoyltransferase	2969416854	
ko_K13923_pduL	KO:K13923	2637185129	phosphate propanoyltransferase	2636415590	
ko_K13923_pduL	KO:K13923	2751394363	phosphate propanoyltransferase	2751185243	
ko_K13923_pduL	KO:K13923	2906136288	phosphate propanoyltransferase	2906134359	
ko_K13923_pduL	KO:K13923	2702234870	phosphate propanoyltransferase	2700989341	
ko_K13923_pduL	KO:K13923	2748319489	phosphate propanoyltransferase	2747842590	
ko_K13923_pduL	KO:K13923	2637481114	phosphate propanoyltransferase	2636415662	
ko_K13923_pduL	KO:K13923	2877167436	phosphate propanoyltransferase	2877166201	
ko_K13923_pduL	KO:K13923	2877904926	phosphate propanoyltransferase	2877902702	
ko_K13923_pduL	KO:K13923	2543911411	phosphate propanoyltransferase	2541047673	
ko_K13923_pduL	KO:K13923	2601213289	phosphate propanoyltransferase	2600255179	
ko_K13923_pduL	KO:K13923	2779486833	phosphate propanoyltransferase	2778261262	
ko_K13923_pduL	KO:K13923	2650158785	phosphate propanoyltransferase	2648501498	
ko_K13923_pduL	KO:K13923	2917873587	phosphate propanoyltransferase	2917870735	
ko_K13923_pduL	KO:K13923	2917401457	phosphate propanoyltransferase	2917398303	
ko_K13923_pduL	KO:K13923	2559880119	phosphate propanoyltransferase	2558860445	
ko_K13923_pduL	KO:K13923	2749741614	phosphate propanoyltransferase	2747842887	
ko_K13923_pduL	KO:K13923	2663174789	phosphate propanoyltransferase	2660238634	
ko_K13923_pduL	KO:K13923	2749669876	phosphate propanoyltransferase	2747842872	
ko_K13923_pduL	KO:K13923	2908545688	phosphate propanoyltransferase	2908543018	
ko_K13923_pduL	KO:K13923	2633466264	phosphate propanoyltransferase	2630968844	
ko_K13923_pduL	KO:K13923	2875229803	phosphate propanoyltransferase	2875227933	
ko_K13923_pduL	KO:K13923	2601211328	phosphate propanoyltransferase	2600255178	
ko_K13923_pduL	KO:K13923	2703968080	phosphate propanoyltransferase	2703718680	
ko_K13923_pduL	KO:K13923	2667054764	phosphate propanoyltransferase	2663763444	
ko_K13923_pduL	KO:K13923	2749593393	phosphate propanoyltransferase	2747842856	
ko_K13923_pduL	KO:K13923	2736875756	phosphate propanoyltransferase	2734482582	
ko_K13923_pduL	KO:K13923	2677448411	phosphate propanoyltransferase	2675903310	
ko_K13923_pduL	KO:K13923	2877173785	phosphate propanoyltransferase	2877172499	
ko_K13923_pduL	KO:K13923	2629928091	phosphate propanoyltransferase	2627854028	
ko_K13923_pduL	KO:K13923	2751560340	phosphate propanoyltransferase	2751185278	
ko_K13923_pduL	KO:K13923	2750424070	phosphate propanoyltransferase	2747843030	
ko_K13923_pduL	KO:K13923	2886110994	phosphate propanoyltransferase	2886107907	
ko_K13923_pduL	KO:K13923	2747309143	phosphate propanoyltransferase	2744055180	
ko_K13923_pduL	KO:K13923	2692099102	phosphate propanoyltransferase	2690316063	
ko_K13923_pduL	KO:K13923	2750194980	phosphate propanoyltransferase	2747842982	
ko_K13923_pduL	KO:K13923	2780112669	phosphate propanoyltransferase	2778261438	
ko_K13923_pduL	KO:K13923	2565313263	Phosphate propanoyltransferase	2563367061	
ko_K13923_pduL	KO:K13923	2571715793	phosphate propanoyltransferase	2571042196	
ko_K13923_pduL	KO:K13923	2637485915	phosphate propanoyltransferase	2636415663	
ko_K13923_pduL	KO:K13923	2804710757	phosphate propanoyltransferase	2802429253	
ko_K13923_pduL	KO:K13923	2569105300	phosphate propanoyltransferase	2568526166	
ko_K13923_pduL	KO:K13923	2682744621	phosphate propanoyltransferase	2681813067	
ko_K13923_pduL	KO:K13923	2860613265	phosphate propanoyltransferase	2860612276	
ko_K13923_pduL	KO:K13923	2664586363	phosphate propanoyltransferase	2663762835	
ko_K13923_pduL	KO:K13923	2750805379	phosphate propanoyltransferase	2747843110	
ko_K13923_pduL	KO:K13923	2747082161	phosphate propanoyltransferase	2744055132	
ko_K13923_pduL	KO:K13923	2541630343	phosphate propanoyltransferase	2541047058	
ko_K13923_pduL	KO:K13923	2917890876	phosphate propanoyltransferase	2917886563	
ko_K13923_pduL	KO:K13923	2697033077	phosphate propanoyltransferase	2695420679	
ko_K13923_pduL	KO:K13923	2567037415	phosphate propanoyltransferase	2565956773	
ko_K13923_pduL	KO:K13923	2750108386	phosphate propanoyltransferase	2747842964	
ko_K13923_pduL	KO:K13923	2857048231	phosphate propanoyltransferase	2857047276	
ko_K13923_pduL	KO:K13923	2675754462	phosphate propanoyltransferase	2671181159	
ko_K13923_pduL	KO:K13923	2652892091	phosphate propanoyltransferase	2651869799	
ko_K13923_pduL	KO:K13923	2665645687	phosphate propanoyltransferase	2663763102	
ko_K13923_pduL	KO:K13923	2714380090	phosphate propanoyltransferase	2713896813	
ko_K13923_pduL	KO:K13923	2666120937	phosphate propanoyltransferase	2663763215	
ko_K13923_pduL	KO:K13923	2637525148	phosphate propanoyltransferase	2636415674	
ko_K13923_pduL	KO:K13923	2726571652	phosphate propanoyltransferase	2724679369	
ko_K13923_pduL	KO:K13923	2659891914	phosphate propanoyltransferase	2657245668	
ko_K13923_pduL	KO:K13923	2534809008	phosphate propanoyltransferase	2534681632	
ko_K13923_pduL	KO:K13923	2605149324	phosphate propanoyltransferase	2603879885	
ko_K13923_pduL	KO:K13923	2694461442	phosphate propanoyltransferase	2693429742	
ko_K13923_pduL	KO:K13923	2694352124	phosphate propanoyltransferase	2693429718	
ko_K13923_pduL	KO:K13923	2533336411	phosphate propanoyltransferase	2531839384	
ko_K13923_pduL	KO:K13923	2647665149	phosphate propanoyltransferase	2645727945	
ko_K13923_pduL	KO:K13923	2749449937	phosphate propanoyltransferase	2747842826	
ko_K13923_pduL	KO:K13923	2859620317	phosphate propanoyltransferase	2859619082	
ko_K13923_pduL	KO:K13923	2736831288	phosphate propanoyltransferase	2734482573	
ko_K13923_pduL	KO:K13923	2793886944	phosphate propanoyltransferase	2791355392	
ko_K13923_pduL	KO:K13923	2720881124	phosphate propanoyltransferase	2718218299	
ko_K13923_pduL	KO:K13923	2877151857	phosphate propanoyltransferase	2877150646	
ko_K13923_pduL	KO:K13923	2804596786	phosphate propanoyltransferase	2802429228	
ko_K13923_pduL	KO:K13923	2900802644	phosphate propanoyltransferase	2900801381	
ko_K13923_pduL	KO:K13923	2912565437	phosphate propanoyltransferase	2912564516	
ko_K13923_pduL	KO:K13923	2642115364	phosphate propanoyltransferase	2639763131	
ko_K13923_pduL	KO:K13923	2640900627	phosphate propanoyltransferase	2639762833	
ko_K13923_pduL	KO:K13923	2747733636	phosphate propanoyltransferase	2744055269	
ko_K13923_pduL	KO:K13923	2749712815	phosphate propanoyltransferase	2747842881	
ko_K13923_pduL	KO:K13923	2520427192	phosphate propanoyltransferase	2519899630	
ko_K13923_pduL	KO:K13923	2752014172	phosphate propanoyltransferase	2751185370	
ko_K13923_pduL	KO:K13923	2586596142	phosphate propanoyltransferase	2585427767	
ko_K13923_pduL	KO:K13923	2647472111	phosphate propanoyltransferase	2645727901	
ko_K13923_pduL	KO:K13923	2726732384	phosphate propanoyltransferase	2724679416	
ko_K13923_pduL	KO:K13923	2686936105	phosphate propanoyltransferase	2684623138	
ko_K13923_pduL	KO:K13923	2673010336	phosphate propanoyltransferase	2671180494	
ko_K13923_pduL	KO:K13923	2570602209	phosphate propanoyltransferase	2568526625	
ko_K13923_pduL	KO:K13923	2633845827	phosphate propanoyltransferase	2630968936	
ko_K13923_pduL	KO:K13923	2659841847	phosphate propanoyltransferase	2657245655	
ko_K13923_pduL	KO:K13923	2778667863	phosphate propanoyltransferase	2778261035	
ko_K13923_pduL	KO:K13923	2699829134	phosphate propanoyltransferase	2698536622	
ko_K13923_pduL	KO:K13923	2859636316	phosphate propanoyltransferase	2859634512	
ko_K13923_pduL	KO:K13923	2662141445	phosphate propanoyltransferase	2660238373	
ko_K13923_pduL	KO:K13923	2748503277	phosphate propanoyltransferase	2747842629	
ko_K13923_pduL	KO:K13923	2666370142	phosphate propanoyltransferase	2663763276	
ko_K13923_pduL	KO:K13923	2683522046	phosphate propanoyltransferase	2681813256	
ko_K13923_pduL	KO:K13923	2650097605	phosphate propanoyltransferase	2648501483	
ko_K13923_pduL	KO:K13923	2749813055	phosphate propanoyltransferase	2747842902	
ko_K13923_pduL	KO:K13923	2720334476	phosphate propanoyltransferase	2718218157	
ko_K13923_pduL	KO:K13923	2905078289	phosphate propanoyltransferase	2905077515	
ko_K13923_pduL	KO:K13923	2752032350	phosphate propanoyltransferase	2751185374	
ko_K13923_pduL	KO:K13923	2916622828	phosphate propanoyltransferase	2916621918	
ko_K13923_pduL	KO:K13923	2506437717	phosphate propanoyltransferase	2506381016	
ko_K13923_pduL	KO:K13923	2610390784	phosphate propanoyltransferase	2609459878	
ko_K13923_pduL	KO:K13923	2654899931	phosphate propanoyltransferase	2654587568	
ko_K13923_pduL	KO:K13923	2814709511	phosphate propanoyltransferase	2814123071	
ko_K13923_pduL	KO:K13923	2514412565	phosphate propanoyltransferase	2513237303	
ko_K13923_pduL	KO:K13923	2561497471	phosphate propanoyltransferase	2558860991	
ko_K13923_pduL	KO:K13923	2704049829	phosphate propanoyltransferase	2703718694	
ko_K13923_pduL	KO:K13923	2726146309	phosphate propanoyltransferase	2724679267	
ko_K13923_pduL	KO:K13923	2701718253	phosphate propanoyltransferase	2700989208	
ko_K13923_pduL	KO:K13923	2748760058	phosphate propanoyltransferase	2747842683	
ko_K13923_pduL	KO:K13923	2921553161	phosphate propanoyltransferase	2921552484	
ko_K13923_pduL	KO:K13923	2564717686	phosphate propanoyltransferase	2563366930	
ko_K13923_pduL	KO:K13923	2661589738	phosphate propanoyltransferase	2660238242	
ko_K13923_pduL	KO:K13923	2732824879	phosphate propanoyltransferase	2731957710	
ko_K13923_pduL	KO:K13923	2698897696	phosphate propanoyltransferase	2698536392	
ko_K13923_pduL	KO:K13923	2742788522	phosphate propanoyltransferase	2740892275	
ko_K13923_pduL	KO:K13923	2532396545	phosphate propanoyltransferase	2531839145	
ko_K13923_pduL	KO:K13923	2749755857	phosphate propanoyltransferase	2747842890	
ko_K13923_pduL	KO:K13923	2657877782	phosphate propanoyltransferase	2657245048	
ko_K13923_pduL	KO:K13923	2718946873	phosphate propanoyltransferase	2718217824	
ko_K13923_pduL	KO:K13923	2655319140	phosphate propanoyltransferase	2654587671	
ko_K13923_pduL	KO:K13923	2666414237	phosphate propanoyltransferase	2663763285	
ko_K13923_pduL	KO:K13923	2699009899	phosphate propanoyltransferase	2698536415	
ko_K13923_pduL	KO:K13923	2721551246	phosphate propanoyltransferase	2718218458	
ko_K13923_pduL	KO:K13923	2667280482	phosphate propanoyltransferase	2663763497	
ko_K13923_pduL	KO:K13923	2664877169	phosphate propanoyltransferase	2663762902	
ko_K13923_pduL	KO:K13923	2711773003	Propanediol utilization protein	2711768001	
ko_K13923_pduL	KO:K13923	2780449371	phosphate propanoyltransferase	2778261528	
ko_K13923_pduL	KO:K13923	2659831841	phosphate propanoyltransferase	2657245652	
