job	filter	gene_id	description	genome_id
ko_K13920_pduE	KO:K13920	2969018065	propanediol dehydratase small subunit	2969017016	
ko_K13920_pduE	KO:K13920	2969052471	propanediol dehydratase small subunit	2969051566	
ko_K13920_pduE	KO:K13920	2969444049	propanediol dehydratase small subunit	2969441999	
ko_K13920_pduE	KO:K13920	2969479284	propanediol dehydratase small subunit	2969476853	
ko_K13920_pduE	KO:K13920	2657546976	 propanediol dehydratase, small subunit	2657244963	
ko_K13920_pduE	KO:K13920	2742875913	 propanediol dehydratase small subunit	2740892292	
ko_K13920_pduE	KO:K13920	2781019932	propanediol dehydratase small subunit 	2778261688	
ko_K13920_pduE	KO:K13920	2774003845	propanediol dehydratase small subunit 	2773857638	
ko_K13920_pduE	KO:K13920	2969030231	propanediol dehydratase small subunit	2969029281	
ko_K13920_pduE	KO:K13920	2969075047	propanediol dehydratase small subunit	2969074219	
ko_K13920_pduE	KO:K13920	2748301347	 propanediol dehydratase small subunit	2747842587	
ko_K13920_pduE	KO:K13920	2682813183	 propanediol dehydratase, small subunit	2681813088	
ko_K13920_pduE	KO:K13920	2610633097	propanediol dehydratase, small subunit	2609459923	
ko_K13920_pduE	KO:K13920	2683957579	 propanediol dehydratase, small subunit	2681813368	
ko_K13920_pduE	KO:K13920	2718630136	 propanediol dehydratase, small subunit	2718217724	
ko_K13920_pduE	KO:K13920	2659697455	 propanediol dehydratase, small subunit	2657245622	
ko_K13920_pduE	KO:K13920	2712313708	 propanediol dehydratase, small subunit	2711768112	
ko_K13920_pduE	KO:K13920	2917330213	propanediol dehydratase small subunit	2917328164	
ko_K13920_pduE	KO:K13920	2915864754	propanediol dehydratase small subunit	2915864241	
ko_K13920_pduE	KO:K13920	2917893618	propanediol dehydratase small subunit	2917891409	
ko_K13920_pduE	KO:K13920	2749111059	 propanediol dehydratase small subunit	2747842755	
ko_K13920_pduE	KO:K13920	2877158043	propanediol dehydratase small subunit	2877156839	
ko_K13920_pduE	KO:K13920	2580031521	propanediol dehydratase, small subunit	2579778562	
ko_K13920_pduE	KO:K13920	2533639253	propanediol dehydratase, small subunit	2531839468	
ko_K13920_pduE	KO:K13920	2749593388	 propanediol dehydratase small subunit	2747842856	
ko_K13920_pduE	KO:K13920	2872674985	propanediol dehydratase small subunit	2872672955	
ko_K13920_pduE	KO:K13920	2804673717	propanediol dehydratase small subunit 	2802429245	
ko_K13920_pduE	KO:K13920	2775347702	propanediol dehydratase small subunit 	2773858050	
ko_K13920_pduE	KO:K13920	2900792964	propanediol dehydratase small subunit	2900791764	
ko_K13920_pduE	KO:K13920	2886110989	propanediol dehydratase small subunit	2886107907	
ko_K13920_pduE	KO:K13920	2720121976	 propanediol dehydratase, small subunit	2718218108	
ko_K13920_pduE	KO:K13920	2658997115	 propanediol dehydratase, small subunit	2657245444	
ko_K13920_pduE	KO:K13920	2643592613	propanediol dehydratase small subunit	2643221504	
ko_K13920_pduE	KO:K13920	639809034	propanediol utilization: dehydratase, small subunit	639633044	
ko_K13920_pduE	KO:K13920	2808183376	propanediol dehydratase small subunit	2806310951	
ko_K13920_pduE	KO:K13920	2684676503	 propanediol dehydratase, small subunit	2684622512	
ko_K13920_pduE	KO:K13920	2871653599	propanediol dehydratase small subunit	2871649967	
ko_K13920_pduE	KO:K13920	2545011188	propanediol dehydratase, small subunit	2541047895	
ko_K13920_pduE	KO:K13920	2748330114	 propanediol dehydratase small subunit	2747842593	
ko_K13920_pduE	KO:K13920	2747303679	 propanediol dehydratase small subunit	2744055179	
ko_K13920_pduE	KO:K13920	2752056620	 propanediol dehydratase small subunit	2751185379	
ko_K13920_pduE	KO:K13920	2784246609	propanediol dehydratase small subunit 	2784132060	
ko_K13920_pduE	KO:K13920	2751257839	 propanediol dehydratase small subunit	2751185215	
ko_K13920_pduE	KO:K13920	2637306929	 propanediol dehydratase, small subunit	2636415619	
ko_K13920_pduE	KO:K13920	2573417605	propanediol dehydratase, small subunit	2571042700	
ko_K13920_pduE	KO:K13920	2688754072	 propanediol dehydratase, small subunit	2687453430	
ko_K13920_pduE	KO:K13920	2752046902	 propanediol dehydratase small subunit	2751185377	
ko_K13920_pduE	KO:K13920	2750977874	 propanediol dehydratase small subunit	2747843145	
ko_K13920_pduE	KO:K13920	2750805384	 propanediol dehydratase small subunit	2747843110	
ko_K13920_pduE	KO:K13920	2641504636	 propanediol dehydratase, small subunit	2639762980	
ko_K13920_pduE	KO:K13920	2559881344	propanediol dehydratase, small subunit	2558860445	
ko_K13920_pduE	KO:K13920	2825637838	hypothetical protein	2825636412	
ko_K13920_pduE	KO:K13920	640455446	propanediol utilization: dehydratase, small subunit	640427122	
ko_K13920_pduE	KO:K13920	2586875394	propanediol dehydratase small subunit	2585427824	
ko_K13920_pduE	KO:K13920	2690798669	 propanediol dehydratase, small subunit	2690315706	
ko_K13920_pduE	KO:K13920	2804580595	propanediol dehydratase small subunit 	2802429224	
ko_K13920_pduE	KO:K13920	2694345489	 propanediol dehydratase, small subunit	2693429716	
ko_K13920_pduE	KO:K13920	2648718525	 propanediol dehydratase, small subunit	2648501150	
ko_K13920_pduE	KO:K13920	2545316092	propanediol dehydratase, small subunit	2541047957	
ko_K13920_pduE	KO:K13920	2666120943	 propanediol dehydratase, small subunit	2663763215	
ko_K13920_pduE	KO:K13920	2632654513	propanediol dehydratase small subunit	2630968644	
ko_K13920_pduE	KO:K13920	2632656012	propanediol dehydratase small subunit	2630968644	
ko_K13920_pduE	KO:K13920	2858314488	propanediol dehydratase small subunit	2858310608	
ko_K13920_pduE	KO:K13920	2809904504	propanediol dehydratase small subunit	2808606585	
ko_K13920_pduE	KO:K13920	2699818254	 propanediol dehydratase, small subunit	2698536620	
ko_K13920_pduE	KO:K13920	2662628759	 propanediol dehydratase, small subunit	2660238497	
ko_K13920_pduE	KO:K13920	2749191873	 propanediol dehydratase small subunit	2747842772	
ko_K13920_pduE	KO:K13920	2749149258	 propanediol dehydratase small subunit	2747842763	
ko_K13920_pduE	KO:K13920	2570635306	propanediol dehydratase, small subunit	2568526634	
ko_K13920_pduE	KO:K13920	2750667027	 propanediol dehydratase small subunit	2747843081	
ko_K13920_pduE	KO:K13920	2924922474	propanediol dehydratase small subunit	2924918576	
ko_K13920_pduE	KO:K13920	2742892650	 propanediol dehydratase small subunit	2740892295	
ko_K13920_pduE	KO:K13920	2600689334	propanediol dehydratase, small subunit	2600255037	
ko_K13920_pduE	KO:K13920	2520367092	propanediol dehydratase, small subunit	2519899618	
ko_K13920_pduE	KO:K13920	2825476312	propanediol dehydratase small subunit	2825473869	
ko_K13920_pduE	KO:K13920	2610606592	propanediol dehydratase, small subunit	2609459918	
ko_K13920_pduE	KO:K13920	2693277823	 propanediol dehydratase, small subunit	2690316343	
ko_K13920_pduE	KO:K13920	2748161448	 propanediol dehydratase small subunit	2747842558	
ko_K13920_pduE	KO:K13920	2694121410	 propanediol dehydratase, small subunit	2693429663	
ko_K13920_pduE	KO:K13920	2570602204	propanediol dehydratase, small subunit	2568526625	
ko_K13920_pduE	KO:K13920	2809930684	propanediol dehydratase small subunit	2808606590	
ko_K13920_pduE	KO:K13920	2639463629	 propanediol dehydratase, small subunit	2636416133	
ko_K13920_pduE	KO:K13920	2880009294	propanediol dehydratase small subunit	2880004798	
ko_K13920_pduE	KO:K13920	2673795015	 propanediol dehydratase, small subunit	2671180688	
ko_K13920_pduE	KO:K13920	2694352129	 propanediol dehydratase, small subunit	2693429718	
ko_K13920_pduE	KO:K13920	2726732379	 propanediol dehydratase, small subunit	2724679416	
ko_K13920_pduE	KO:K13920	2631685302	 propanediol dehydratase, small subunit	2630968407	
ko_K13920_pduE	KO:K13920	2749449932	 propanediol dehydratase small subunit	2747842826	
ko_K13920_pduE	KO:K13920	2670311911	 propanediol dehydratase, small subunit	2667527985	
ko_K13920_pduE	KO:K13920	2655336295	 propanediol dehydratase, small subunit	2654587675	
ko_K13920_pduE	KO:K13920	2748984629	 propanediol dehydratase small subunit	2747842729	
ko_K13920_pduE	KO:K13920	2670431695	 propanediol dehydratase, small subunit	2667528012	
ko_K13920_pduE	KO:K13920	2726551987	 propanediol dehydratase, small subunit	2724679364	
ko_K13920_pduE	KO:K13920	2780097229	propanediol dehydratase small subunit 	2778261432	
ko_K13920_pduE	KO:K13920	2646734712	 propanediol dehydratase, small subunit	2645727732	
ko_K13920_pduE	KO:K13920	2834465700	propanediol dehydratase small subunit	2834462815	
ko_K13920_pduE	KO:K13920	2620972330	propanediol dehydratase small subunit	2619619212	
ko_K13920_pduE	KO:K13920	2620973371	propanediol dehydratase small subunit	2619619212	
ko_K13920_pduE	KO:K13920	2669423480	 propanediol dehydratase, small subunit	2667527773	
ko_K13920_pduE	KO:K13920	2891946171	propanediol dehydratase small subunit	2891945515	
ko_K13920_pduE	KO:K13920	2563228949	propanediol dehydratase small subunit	2562617154	
ko_K13920_pduE	KO:K13920	2750912974	 propanediol dehydratase small subunit	2747843132	
ko_K13920_pduE	KO:K13920	2745065037	 propanediol dehydratase small subunit	2744054631	
ko_K13920_pduE	KO:K13920	2748503282	 propanediol dehydratase small subunit	2747842629	
ko_K13920_pduE	KO:K13920	2748416886	 propanediol dehydratase small subunit	2747842611	
ko_K13920_pduE	KO:K13920	2718345698	propanediol dehydratase small subunit	2718217647	
ko_K13920_pduE	KO:K13920	2749134925	 propanediol dehydratase small subunit	2747842760	
ko_K13920_pduE	KO:K13920	2543119759	propanediol dehydratase, small subunit	2541047468	
ko_K13920_pduE	KO:K13920	2925515624	propanediol dehydratase small subunit	2925514151	
ko_K13920_pduE	KO:K13920	2697183830	propanediol dehydratase small subunit	2695420716	
ko_K13920_pduE	KO:K13920	2751628512	 propanediol dehydratase small subunit	2751185292	
ko_K13920_pduE	KO:K13920	2632171068	 propanediol dehydratase, small subunit	2630968529	
ko_K13920_pduE	KO:K13920	2888253402	propanediol dehydratase small subunit	2888250102	
ko_K13920_pduE	KO:K13920	2687281931	propanediol dehydratase small subunit	2684623232	
ko_K13920_pduE	KO:K13920	645646793	dehydratase small subunit	645058760	
ko_K13920_pduE	KO:K13920	2598546793	propanediol dehydratase, small subunit	2597490161	
ko_K13920_pduE	KO:K13920	2857052135	propanediol dehydratase small subunit	2857050383	
ko_K13920_pduE	KO:K13920	2564717681	propanediol dehydratase, small subunit	2563366930	
ko_K13920_pduE	KO:K13920	2707909456	 propanediol dehydratase, small subunit	2706794674	
ko_K13920_pduE	KO:K13920	2726577370	 propanediol dehydratase, small subunit	2724679370	
ko_K13920_pduE	KO:K13920	2726659971	 propanediol dehydratase, small subunit	2724679392	
ko_K13920_pduE	KO:K13920	2657489712	 propanediol dehydratase, small subunit	2657244948	
ko_K13920_pduE	KO:K13920	2912052893	propanediol dehydratase small subunit	2912051188	
ko_K13920_pduE	KO:K13920	2736796651	 propanediol dehydratase, small subunit	2734482566	
ko_K13920_pduE	KO:K13920	2581867407	propanediol dehydratase, small subunit	2579778996	
ko_K13920_pduE	KO:K13920	2916196548	propanediol dehydratase small subunit	2916194483	
ko_K13920_pduE	KO:K13920	2874937753	propanediol dehydratase small subunit	2874933748	
ko_K13920_pduE	KO:K13920	2810215437	propanediol dehydratase small subunit	2808606659	
ko_K13920_pduE	KO:K13920	2920519081	propanediol dehydratase small subunit	2920517992	
ko_K13920_pduE	KO:K13920	2691572891	 propanediol dehydratase, small subunit	2690315922	
ko_K13920_pduE	KO:K13920	2804594363	propanediol dehydratase small subunit 	2802429227	
ko_K13920_pduE	KO:K13920	2715889281	propanediol dehydratase small subunit	2713897176	
ko_K13920_pduE	KO:K13920	2540000404	propanediol dehydratase, small subunit	2537562162	
ko_K13920_pduE	KO:K13920	2874794587	propanediol dehydratase small subunit	2874793360	
ko_K13920_pduE	KO:K13920	2743007243	 propanediol dehydratase small subunit	2740892316	
ko_K13920_pduE	KO:K13920	2746977692	 propanediol dehydratase small subunit	2744055111	
ko_K13920_pduE	KO:K13920	2726692691	 propanediol dehydratase, small subunit	2724679403	
ko_K13920_pduE	KO:K13920	2848919062	propanediol dehydratase small subunit	2848918223	
ko_K13920_pduE	KO:K13920	2726651181	 propanediol dehydratase, small subunit	2724679389	
ko_K13920_pduE	KO:K13920	2572462749	propanediol dehydratase, small subunit	2571042416	
ko_K13920_pduE	KO:K13920	2663906958	 propanediol dehydratase, small subunit	2663762638	
ko_K13920_pduE	KO:K13920	2877574935	propanediol dehydratase small subunit	2877571747	
ko_K13920_pduE	KO:K13920	2655954951	 propanediol dehydratase, small subunit	2654587837	
ko_K13920_pduE	KO:K13920	2888229325	propanediol dehydratase small subunit	2888226484	
ko_K13920_pduE	KO:K13920	2815895131	propanediol dehydratase small subunit	2814123400	
ko_K13920_pduE	KO:K13920	2869429302	propanediol dehydratase small subunit	2869428216	
ko_K13920_pduE	KO:K13920	2686632820	 propanediol dehydratase, small subunit	2684623059	
ko_K13920_pduE	KO:K13920	2674847899	 propanediol dehydratase, small subunit	2671180944	
ko_K13920_pduE	KO:K13920	2907865447	propanediol dehydratase small subunit	2907864409	
ko_K13920_pduE	KO:K13920	2779585847	propanediol dehydratase small subunit 	2778261288	
ko_K13920_pduE	KO:K13920	2736719535	 propanediol dehydratase, small subunit	2734482550	
ko_K13920_pduE	KO:K13920	2540388414	propanediol dehydratase, small subunit	2540341017	
ko_K13920_pduE	KO:K13920	2674218393	 propanediol dehydratase, small subunit	2671180797	
ko_K13920_pduE	KO:K13920	2723551132	 propanediol dehydratase, small subunit	2721755682	
ko_K13920_pduE	KO:K13920	2674877298	 propanediol dehydratase, small subunit	2671180952	
ko_K13920_pduE	KO:K13920	2601751570	propanediol dehydratase small subunit 	2600255309	
ko_K13920_pduE	KO:K13920	2911960505	hypothetical protein	2911957378	
ko_K13920_pduE	KO:K13920	2742764351	 propanediol dehydratase small subunit	2740892270	
ko_K13920_pduE	KO:K13920	2549890451	propanediol dehydratase small subunit	2548876798	
ko_K13920_pduE	KO:K13920	2549890839	propanediol dehydratase small subunit	2548876798	
ko_K13920_pduE	KO:K13920	2658134145	 propanediol dehydratase, small subunit	2657245113	
ko_K13920_pduE	KO:K13920	2747628283	 propanediol dehydratase small subunit	2744055247	
ko_K13920_pduE	KO:K13920	2520314822	propanediol dehydratase, small subunit	2519899607	
ko_K13920_pduE	KO:K13920	2666731451	 propanediol dehydratase, small subunit	2663763363	
ko_K13920_pduE	KO:K13920	2631477654	 propanediol dehydratase, small subunit	2630968357	
ko_K13920_pduE	KO:K13920	2563133241	propanediol dehydratase, small subunit	2562617126	
ko_K13920_pduE	KO:K13920	2697394837	 propanediol dehydratase, small subunit	2695420766	
ko_K13920_pduE	KO:K13920	2657599739	 propanediol dehydratase, small subunit	2657244976	
ko_K13920_pduE	KO:K13920	2610373908	propanediol dehydratase, small subunit	2609459875	
ko_K13920_pduE	KO:K13920	2914926505	propanediol dehydratase small subunit	2914923772	
ko_K13920_pduE	KO:K13920	2655981782	 propanediol dehydratase, small subunit	2654587844	
ko_K13920_pduE	KO:K13920	2906961122	propanediol dehydratase small subunit	2906957945	
ko_K13920_pduE	KO:K13920	2751287828	 propanediol dehydratase small subunit	2751185221	
ko_K13920_pduE	KO:K13920	2904312408	propanediol dehydratase small subunit	2904311186	
ko_K13920_pduE	KO:K13920	2725984447	 propanediol dehydratase, small subunit	2724679238	
ko_K13920_pduE	KO:K13920	2746944829	 propanediol dehydratase small subunit	2744055104	
ko_K13920_pduE	KO:K13920	2909193647	propanediol dehydratase small subunit	2909191668	
ko_K13920_pduE	KO:K13920	2659942414	 propanediol dehydratase, small subunit	2657245681	
ko_K13920_pduE	KO:K13920	2917325713	propanediol dehydratase small subunit	2917323220	
ko_K13920_pduE	KO:K13920	2569719550	propanediol dehydratase, small subunit	2568526353	
ko_K13920_pduE	KO:K13920	2682295291	propanediol dehydratase small subunit	2681812963	
ko_K13920_pduE	KO:K13920	2884643864	propanediol dehydratase small subunit	2884642564	
ko_K13920_pduE	KO:K13920	2748384043	 propanediol dehydratase small subunit	2747842604	
ko_K13920_pduE	KO:K13920	2750868509	 propanediol dehydratase small subunit	2747843123	
ko_K13920_pduE	KO:K13920	2707889586	 propanediol dehydratase, small subunit	2706794670	
