job	filter	gene_id	description	genome_id
lcdC_genomes	KO:K23876	2850427047	predicted CoA-substrate-specific enzyme activase	2850426561	
lcdC_genomes	KO:K23876	2727248083	CoA-substrate-specific enzyme activase, putative	2724679554	
lcdC_genomes	KO:K23876	2833455853	predicted CoA-substrate-specific enzyme activase	2833455180	
lcdC_genomes	KO:K23876	2561332074	CoA-substrate-specific enzyme activase, putative	2558860923	
lcdC_genomes	KO:K23876	643563834	CoA-substrate-specific enzyme activase	643348537	
lcdC_genomes	KO:K23876	2756815286	predicted CoA-substrate-specific enzyme activase	2756170280	
lcdC_genomes	KO:K23876	2905375613	predicted CoA-substrate-specific enzyme activase	2905373006	
lcdC_genomes	KO:K23876	2875953089	predicted CoA-substrate-specific enzyme activase	2875953008	
lcdC_genomes	KO:K23876	2784966016	predicted CoA-substrate-specific enzyme activase	2784746679	
lcdC_genomes	KO:K23876	2854062862	predicted CoA-substrate-specific enzyme activase	2854059993	
lcdC_genomes	KO:K23876	2834194596	predicted CoA-substrate-specific enzyme activase	2834194177	
lcdC_genomes	KO:K23876	2905347524	predicted CoA-substrate-specific enzyme activase	2905346989	
lcdC_genomes	KO:K23876	2799764817	bcr-type benzoyl-CoA reductase subunit D	2799112414	
lcdC_genomes	KO:K23876	2727322656	CoA-substrate-specific enzyme activase, putative	2724679573	
lcdC_genomes	KO:K23876	2542331786	(R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2541047267	
lcdC_genomes	KO:K23876	2539062630	CoA-substrate-specific enzyme activase, putative	2537561888	
lcdC_genomes	KO:K23876	2539062659	benzoyl-CoA reductase, bcr type, subunit D	2537561888	
lcdC_genomes	KO:K23876	2902107963	predicted CoA-substrate-specific enzyme activase	2902107578	
lcdC_genomes	KO:K23876	2772463018	predicted CoA-substrate-specific enzyme activase	2772190670	
lcdC_genomes	KO:K23876	2812602733	predicted CoA-substrate-specific enzyme activase	2811994952	
lcdC_genomes	KO:K23876	2808217365	predicted CoA-substrate-specific enzyme activase	2806310958	
lcdC_genomes	KO:K23876	2687630435	CoA-substrate-specific enzyme activase, putative	2687453140	
lcdC_genomes	KO:K23876	2853074302	predicted CoA-substrate-specific enzyme activase	2853072447	
lcdC_genomes	KO:K23876	2583977242	CoA-substrate-specific enzyme activase, putative	2582580929	
lcdC_genomes	KO:K23876	2883714813	predicted CoA-substrate-specific enzyme activase	2883713342	
lcdC_genomes	KO:K23876	2672228100	CoA-substrate-specific enzyme activase, putative	2671180305	
lcdC_genomes	KO:K23876	2743128180	 (R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2740892353	
lcdC_genomes	KO:K23876	2540487914	2-hydroxyglutaryl-CoA dehydratase activator protein	2540341044	
lcdC_genomes	KO:K23876	2913509394	predicted CoA-substrate-specific enzyme activase	2913508488	
lcdC_genomes	KO:K23876	2843923293	predicted CoA-substrate-specific enzyme activase	2843922153	
lcdC_genomes	KO:K23876	2566521156	CoA-substrate-specific enzyme activase, putative	2565956637	
lcdC_genomes	KO:K23876	2869697972	predicted CoA-substrate-specific enzyme activase	2869697517	
lcdC_genomes	KO:K23876	2914942253	predicted CoA-substrate-specific enzyme activase	2914941818	
lcdC_genomes	KO:K23876	2559107164	CoA-substrate-specific enzyme activase, putative	2558860188	
lcdC_genomes	KO:K23876	2675029604	CoA-substrate-specific enzyme activase, putative	2671180990	
lcdC_genomes	KO:K23876	2740154195	predicted CoA-substrate-specific enzyme activase	2739367895	
lcdC_genomes	KO:K23876	2814883625	bcr-type benzoyl-CoA reductase subunit A	2814123125	
lcdC_genomes	KO:K23876	2914021866	predicted CoA-substrate-specific enzyme activase	2914020768	
lcdC_genomes	KO:K23876	2800209992	predicted CoA-substrate-specific enzyme activase	2799112624	
lcdC_genomes	KO:K23876	2787963426	predicted CoA-substrate-specific enzyme activase	2786546748	
lcdC_genomes	KO:K23876	2853324490	predicted CoA-substrate-specific enzyme activase	2853321029	
lcdC_genomes	KO:K23876	2854050998	predicted CoA-substrate-specific enzyme activase	2854050027	
lcdC_genomes	KO:K23876	2787883045	predicted CoA-substrate-specific enzyme activase	2786546714	
lcdC_genomes	KO:K23876	2756746773	(R)-2-hydroxyisocaproyl-CoA dehydratase activator protein 	2756170264	
lcdC_genomes	KO:K23876	2585120945	benzoyl-CoA reductase, bcr type, subunit D	2582581271	
lcdC_genomes	KO:K23876	2905359907	predicted CoA-substrate-specific enzyme activase	2905357892	
lcdC_genomes	KO:K23876	2698604318	CoA-substrate-specific enzyme activase, putative	2698536316	
lcdC_genomes	KO:K23876	642086240	2-hydroxyglutaryl-CoA dehydratase component A	641736148	
lcdC_genomes	KO:K23876	2603586024	CoA-substrate-specific enzyme activase, putative	2602042027	
lcdC_genomes	KO:K23876	2616665509	CoA-substrate-specific enzyme activase, putative	2616644807	
lcdC_genomes	KO:K23876	2673823131	benzoyl-CoA reductase, bcr type, subunit A/benzoyl-CoA reductase, bcr type, subunit D,TIGR02261	2671180694	
lcdC_genomes	KO:K23876	2632892987	CoA-substrate-specific enzyme activase, putative	2630968701	
lcdC_genomes	KO:K23876	2829093371	predicted CoA-substrate-specific enzyme activase	2829093102	
lcdC_genomes	KO:K23876	2691060204	CoA-substrate-specific enzyme activase, putative	2690315780	
lcdC_genomes	KO:K23876	2709614672	benzoyl-CoA reductase, bcr type, subunit A/benzoyl-CoA reductase, bcr type, subunit D,TIGR02261	2708742750	
lcdC_genomes	KO:K23876	2709614673	benzoyl-CoA reductase, bcr type, subunit D	2708742750	
lcdC_genomes	KO:K23876	2727273768	CoA-substrate-specific enzyme activase, putative	2724679561	
lcdC_genomes	KO:K23876	2829120665	predicted CoA-substrate-specific enzyme activase	2829120143	
lcdC_genomes	KO:K23876	2857958136	predicted CoA-substrate-specific enzyme activase	2857954691	
lcdC_genomes	KO:K23876	2709812345	CoA-substrate-specific enzyme activase, putative	2708742840	
lcdC_genomes	KO:K23876	2756986863	predicted CoA-substrate-specific enzyme activase	2756170348	
lcdC_genomes	KO:K23876	2727258790	CoA-substrate-specific enzyme activase, putative	2724679557	
lcdC_genomes	KO:K23876	2565345274	CoA-substrate-specific enzyme activase, putative	2563367072	
lcdC_genomes	KO:K23876	2920518540	predicted CoA-substrate-specific enzyme activase	2920517992	
lcdC_genomes	KO:K23876	2677594698	CoA-substrate-specific enzyme activase, putative	2675903347	
lcdC_genomes	KO:K23876	2538443247	CoA-substrate-specific enzyme activase, putative	2537561731	
lcdC_genomes	KO:K23876	2907266679	predicted CoA-substrate-specific enzyme activase	2907266599	
lcdC_genomes	KO:K23876	2829500032	predicted CoA-substrate-specific enzyme activase	2829499775	
lcdC_genomes	KO:K23876	2666462857	 phenyllactyl-CoA dehydratase activator protein fldI	2663763297	
lcdC_genomes	KO:K23876	640547987	putative CoA-substrate-specific enzyme activase	640427115	
lcdC_genomes	KO:K23876	2730398300	CoA-substrate-specific enzyme activase, putative	2728369436	
lcdC_genomes	KO:K23876	2812437643	bcr-type benzoyl-CoA reductase subunit D	2811994905	
lcdC_genomes	KO:K23876	2788438054	predicted CoA-substrate-specific enzyme activase	2786546941	
lcdC_genomes	KO:K23876	650889982	CoA-substrate-specific enzyme activase	650716033	
lcdC_genomes	KO:K23876	650891826	CoA-substrate-specific enzyme activase	650716033	
lcdC_genomes	KO:K23876	2721087206	CoA-substrate-specific enzyme activase, putative	2718218349	
lcdC_genomes	KO:K23876	2600302029	CoA-substrate-specific enzyme activase, putative	2600254914	
lcdC_genomes	KO:K23876	2578384290	CoA-substrate-specific enzyme activase, putative	2576861445	
lcdC_genomes	KO:K23876	2760229823	predicted CoA-substrate-specific enzyme activase	2758568496	
lcdC_genomes	KO:K23876	2541444803	benzoyl-CoA reductase, bcr type, subunit A	2541047012	
lcdC_genomes	KO:K23876	2903386737	predicted CoA-substrate-specific enzyme activase	2903382415	
lcdC_genomes	KO:K23876	2652748251	CoA-substrate-specific enzyme activase, putative	2651869763	
lcdC_genomes	KO:K23876	2501763663	CoA-substrate-specific enzyme activase, putative	2501651219	
lcdC_genomes	KO:K23876	2542539344	(R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2541047320	
lcdC_genomes	KO:K23876	2757519976	predicted CoA-substrate-specific enzyme activase	2757320380	
lcdC_genomes	KO:K23876	2716005330	CoA-substrate-specific enzyme activase, putative	2713897199	
lcdC_genomes	KO:K23876	2883365617	predicted CoA-substrate-specific enzyme activase	2883365333	
lcdC_genomes	KO:K23876	2812383150	predicted CoA-substrate-specific enzyme activase	2811994886	
lcdC_genomes	KO:K23876	2885039649	predicted CoA-substrate-specific enzyme activase	2885037635	
lcdC_genomes	KO:K23876	2835042662	predicted CoA-substrate-specific enzyme activase	2835042471	
lcdC_genomes	KO:K23876	2853263114	predicted CoA-substrate-specific enzyme activase	2853259742	
lcdC_genomes	KO:K23876	651016069	2-hydroxyglutaryl-CoA dehydratase activator protein	650716034	
lcdC_genomes	KO:K23876	2800162044	predicted CoA-substrate-specific enzyme activase	2799112601	
lcdC_genomes	KO:K23876	2623441541	CoA-substrate-specific enzyme activase, putative	2622736590	
lcdC_genomes	KO:K23876	2663292208	CoA-substrate-specific enzyme activase, putative	2660238665	
lcdC_genomes	KO:K23876	2514405831	CoA-substrate-specific enzyme activase, putative	2513237300	
lcdC_genomes	KO:K23876	2795697275	predicted CoA-substrate-specific enzyme activase	2795385446	
lcdC_genomes	KO:K23876	2910593587	predicted CoA-substrate-specific enzyme activase	2910593132	
lcdC_genomes	KO:K23876	2787720940	predicted CoA-substrate-specific enzyme activase	2786546648	
lcdC_genomes	KO:K23876	2853423086	predicted CoA-substrate-specific enzyme activase	2853421707	
lcdC_genomes	KO:K23876	2641141593	benzoyl-CoA reductase, bcr type, subunit D	2639762888	
lcdC_genomes	KO:K23876	2665148316	 2-hydroxyglutaryl-CoA dehydratase activator protein	2663762974	
lcdC_genomes	KO:K23876	2635528727	CoA-substrate-specific enzyme activase, putative	2634166401	
lcdC_genomes	KO:K23876	2559586974	CoA-substrate-specific enzyme activase, putative	2558860350	
lcdC_genomes	KO:K23876	2559592147	CoA-substrate-specific enzyme activase, putative	2558860350	
lcdC_genomes	KO:K23876	2559593084	CoA-substrate-specific enzyme activase, putative	2558860350	
lcdC_genomes	KO:K23876	2620689011	benzoyl-CoA reductase, bcr type, subunit A	2619619100	
lcdC_genomes	KO:K23876	2920454292	predicted CoA-substrate-specific enzyme activase	2920451953	
lcdC_genomes	KO:K23876	2791726698	predicted CoA-substrate-specific enzyme activase	2791354854	
lcdC_genomes	KO:K23876	2838832729	predicted CoA-substrate-specific enzyme activase	2838832518	
lcdC_genomes	KO:K23876	2722257044	benzoyl-CoA reductase, bcr type, subunit A/benzoyl-CoA reductase, bcr type, subunit D,TIGR02261	2721755292	
lcdC_genomes	KO:K23876	2722258046	benzoyl-CoA reductase, bcr type, subunit D	2721755292	
lcdC_genomes	KO:K23876	2674575736	 (R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2671180879	
lcdC_genomes	KO:K23876	2503005947	benzoyl-CoA reductase, bcr type, subunit D	2502957028	
lcdC_genomes	KO:K23876	2503008794	CoA-substrate-specific enzyme activase, putative	2502957028	
lcdC_genomes	KO:K23876	2503008951	CoA-substrate-specific enzyme activase, putative	2502957028	
lcdC_genomes	KO:K23876	642839115	(R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	642791606	
lcdC_genomes	KO:K23876	2856982071	predicted CoA-substrate-specific enzyme activase	2856979339	
lcdC_genomes	KO:K23876	2629819393	benzoyl-CoA reductase, bcr type, subunit D	2627853997	
lcdC_genomes	KO:K23876	2910833430	predicted CoA-substrate-specific enzyme activase	2910832237	
lcdC_genomes	KO:K23876	2509035197	CoA-substrate-specific enzyme activase, putative	2508501103	
lcdC_genomes	KO:K23876	2727269935	 phenyllactyl-CoA dehydratase activator protein fldI	2724679560	
lcdC_genomes	KO:K23876	642890265	CoA-substrate-specific enzyme activase	642791610	
lcdC_genomes	KO:K23876	2853015250	predicted CoA-substrate-specific enzyme activase	2853012493	
lcdC_genomes	KO:K23876	2683330308	 (R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2681813213	
lcdC_genomes	KO:K23876	2727575945	CoA-substrate-specific enzyme activase, putative	2724679615	
lcdC_genomes	KO:K23876	2791394284	predicted CoA-substrate-specific enzyme activase	2791354763	
lcdC_genomes	KO:K23876	2626876852	phenyllactyl-CoA dehydratase activator protein fldI	2626541633	
lcdC_genomes	KO:K23876	2921474811	predicted CoA-substrate-specific enzyme activase	2921473944	
lcdC_genomes	KO:K23876	2588296431	predicted CoA-substrate-specific enzyme activase	2588253511	
lcdC_genomes	KO:K23876	2778243203	predicted CoA-substrate-specific enzyme activase	2775507283	
lcdC_genomes	KO:K23876	2565646538	(R)-2-hydroxyisocaproyl-CoA dehydratase activator protein	2563367157	
lcdC_genomes	KO:K23876	2844280666	predicted CoA-substrate-specific enzyme activase	2844275920	
lcdC_genomes	KO:K23876	2891409385	predicted CoA-substrate-specific enzyme activase	2891407665	
lcdC_genomes	KO:K23876	2694712041	CoA-substrate-specific enzyme activase, putative	2693429802	
lcdC_genomes	KO:K23876	2877439100	predicted CoA-substrate-specific enzyme activase	2877435729	
lcdC_genomes	KO:K23876	2713096187	benzoyl-CoA reductase, bcr type, subunit A	2711768435	
lcdC_genomes	KO:K23876	2859123821	predicted CoA-substrate-specific enzyme activase	2859123070	
lcdC_genomes	KO:K23876	2716606495	CoA-substrate-specific enzyme activase, putative	2713897360	
lcdC_genomes	KO:K23876	2899766582	predicted CoA-substrate-specific enzyme activase	2899763168	
lcdC_genomes	KO:K23876	2632040110	CoA-substrate-specific enzyme activase, putative	2630968499	
