job	filter	gene_id	description	genome_id
lcdA_genomes	KO:K20626	2588078962	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2585428150	
lcdA_genomes	KO:K20626	2511485854	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2511231048	
lcdA_genomes	KO:K20626	2692757196	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2690316223	
lcdA_genomes	KO:K20626	2847455593	benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit BcrC/BadD/HgdB	2847453853	
lcdA_genomes	KO:K20626	2672961530	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2671180483	
lcdA_genomes	KO:K20626	2628046107	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2627853554	
lcdA_genomes	KO:K20626	2725933335	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2724679228	
lcdA_genomes	KO:K20626	2823505335	benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit BcrC/BadD/HgdB	2823504971	
lcdA_genomes	KO:K20626	2517591011	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2517572005	
lcdA_genomes	KO:K20626	2588243840	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2585428190	
lcdA_genomes	KO:K20626	2914416475	benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit BcrC/BadD/HgdB	2914415831	
lcdA_genomes	KO:K20626	2823466134	benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit BcrC/BadD/HgdB	2823466112	
lcdA_genomes	KO:K20626	2579274588	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2576861702	
lcdA_genomes	KO:K20626	2533931959	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	2531839544	
