"","strain","hit_score.pduW","hit_score.pduP","hit_score.fucO","hit_score.pduL","hit_score.pduC","hit_score.pduD","hit_score.pduE","hit_score.Roseburia-inulivorans-pduCDE"
"84","Blautia-wexlerae-DSM-19850-MAF-2",457.9,536.3,599.3,207,NA,NA,NA,1691.9
"113","Enterocloster-asparagiformis-DSM-15981-MAF-2",452.8,495,595.8,208,NA,NA,NA,1209.9
"117","Enterocloster-bolteae-ATCC-BAA-613-MAF-2",497.8,592.4,598.8,215.8,NA,NA,NA,1538.4
"162","Roseburia-inulinivorans-strain-AF28-15",464.6,528.6,609.2,200.9,NA,NA,NA,1911
"173","Salmonella-enterica-subsp-enterica-serovar-Typhimurium-str-LT2",870.7,993.1,817.7,437.8,1306.5,492.9,372.4,1296.6
