job	filter	gene_id	description	genome_id
ec_1_1_1_77	EC:1.1.1.77	637218097	1,2-propanediol oxidoreductase (lactaldehyde reductase)	637000254	
ec_1_1_1_77	EC:1.1.1.77	638658031	COG1454: Alcohol dehydrogenase, class IV	638341085	
ec_1_1_1_77	EC:1.1.1.77	638660452	COG1454: Alcohol dehydrogenase, class IV	638341089	
ec_1_1_1_77	EC:1.1.1.77	638868889	COG1454: Alcohol dehydrogenase, class IV	638341082	
ec_1_1_1_77	EC:1.1.1.77	640435290	L-1,2-propanediol oxidoreductase	640427142	
ec_1_1_1_77	EC:1.1.1.77	641003564	lactaldehyde reductase	640963023	
ec_1_1_1_77	EC:1.1.1.77	641038998	lactaldehyde reductase	640963046	
ec_1_1_1_77	EC:1.1.1.77	641873528	L-1,2-propanediol oxidoreductase	641736230	
ec_1_1_1_77	EC:1.1.1.77	641896115	lactaldehyde reductase	641736227	
ec_1_1_1_77	EC:1.1.1.77	642103024	lactaldehyde reductase	641736145	
ec_1_1_1_77	EC:1.1.1.77	642156939	L-1,2-propanediol oxidoreductase	641736111	
ec_1_1_1_77	EC:1.1.1.77	642189049	lactaldehyde reductase	641736198	
ec_1_1_1_77	EC:1.1.1.77	642196677	lactaldehyde reductase	641736196	
ec_1_1_1_77	EC:1.1.1.77	642312472	L-1,2-propanediol oxidoreductase	641736224	
ec_1_1_1_77	EC:1.1.1.77	643099708	lactaldehyde reductase	642979337	
ec_1_1_1_77	EC:1.1.1.77	646542930	lactaldehyde reductase	646311937	
ec_1_1_1_77	EC:1.1.1.77	644755335	L-1,2-propanediol oxidoreductase	644736364	
ec_1_1_1_77	EC:1.1.1.77	645328871	Lactaldehyde reductase	645058790	
ec_1_1_1_77	EC:1.1.1.77	645542631	L-1,2-propanediol oxidoreductase	645058770	
ec_1_1_1_77	EC:1.1.1.77	646046194	L-1,2-propanediol oxidoreductase	645951848	
ec_1_1_1_77	EC:1.1.1.77	646148999	lactaldehyde reductase	645951860	
ec_1_1_1_77	EC:1.1.1.77	646666547	Lactaldehyde reductase	646564533	
ec_1_1_1_77	EC:1.1.1.77	647251552	lactaldehyde reductase	647000277	
ec_1_1_1_77	EC:1.1.1.77	647698166	iron-containing alcohol dehydrogenase	647533153	
ec_1_1_1_77	EC:1.1.1.77	647986756	lactaldehyde reductase	647533241	
ec_1_1_1_77	EC:1.1.1.77	648132787	lactaldehyde reductase FucO	648028012	
ec_1_1_1_77	EC:1.1.1.77	648347745	L-1,2-propanediol oxidoreductase	648276647	
ec_1_1_1_77	EC:1.1.1.77	648357769	L-1,2-propanediol oxidoreductase	648276669	
ec_1_1_1_77	EC:1.1.1.77	648501794	Lactaldehyde reductase	648276605	
ec_1_1_1_77	EC:1.1.1.77	648506097	Lactaldehyde reductase	648276612	
ec_1_1_1_77	EC:1.1.1.77	648508466	Lactaldehyde reductase	648276614	
ec_1_1_1_77	EC:1.1.1.77	648512866	Lactaldehyde reductase	648276606	
ec_1_1_1_77	EC:1.1.1.77	648582628	lactaldehyde reductase	648276655	
ec_1_1_1_77	EC:1.1.1.77	649720533	lactaldehyde reductase	649633046	
ec_1_1_1_77	EC:1.1.1.77	649941179	oxidoreductase	649633017	
ec_1_1_1_77	EC:1.1.1.77	650043852	lactaldehyde reductase	649989912	
ec_1_1_1_77	EC:1.1.1.77	650491434	L-1,2-propanediol oxidoreductase	650377971	
ec_1_1_1_77	EC:1.1.1.77	650527936	lactaldehyde reductase	650377912	
ec_1_1_1_77	EC:1.1.1.77	650554853	lactaldehyde reductase	650377941	
ec_1_1_1_77	EC:1.1.1.77	651069569	lactaldehyde reductase	651053020	
ec_1_1_1_77	EC:1.1.1.77	651204421	dhat	651053008	
ec_1_1_1_77	EC:1.1.1.77	651375338	lactaldehyde reductase	651324052	
ec_1_1_1_77	EC:1.1.1.77	2503832906	lactaldehyde reductase	2503754030	
ec_1_1_1_77	EC:1.1.1.77	2503834143	lactaldehyde reductase	2503754031	
ec_1_1_1_77	EC:1.1.1.77	2503854800	lactaldehyde reductase	2503754041	
ec_1_1_1_77	EC:1.1.1.77	2509600384	lactaldehyde reductase	2509276067	
ec_1_1_1_77	EC:1.1.1.77	2510123574	lactaldehyde reductase	2510065017	
ec_1_1_1_77	EC:1.1.1.77	2510127920	lactaldehyde reductase	2510065018	
ec_1_1_1_77	EC:1.1.1.77	2511473090	lactaldehyde reductase	2511231046	
ec_1_1_1_77	EC:1.1.1.77	2511852258	lactaldehyde reductase	2511231164	
ec_1_1_1_77	EC:1.1.1.77	2513126306	lactaldehyde reductase	2513020023	
ec_1_1_1_77	EC:1.1.1.77	2513167887	lactaldehyde reductase	2513020032	
ec_1_1_1_77	EC:1.1.1.77	2514056661	lactaldehyde reductase	2513237167	
ec_1_1_1_77	EC:1.1.1.77	2514058158	lactaldehyde reductase	2513237168	
ec_1_1_1_77	EC:1.1.1.77	2514060991	lactaldehyde reductase	2513237169	
ec_1_1_1_77	EC:1.1.1.77	2514623413	lactaldehyde reductase	2513237361	
ec_1_1_1_77	EC:1.1.1.77	2514794866	lactaldehyde reductase	2514752024	
ec_1_1_1_77	EC:1.1.1.77	2515392294	lactaldehyde reductase	2515154064	
ec_1_1_1_77	EC:1.1.1.77	2515409662	lactaldehyde reductase	2515154067	
ec_1_1_1_77	EC:1.1.1.77	2515484369	lactaldehyde reductase	2515154086	
ec_1_1_1_77	EC:1.1.1.77	2517583188	lactaldehyde reductase	2517572002	
ec_1_1_1_77	EC:1.1.1.77	2518094670	lactaldehyde reductase	2517572195	
ec_1_1_1_77	EC:1.1.1.77	2518112179	lactaldehyde reductase	2517572202	
ec_1_1_1_77	EC:1.1.1.77	2520124259	lactaldehyde reductase	2519899560	
ec_1_1_1_77	EC:1.1.1.77	2520272210	lactaldehyde reductase	2519899596	
ec_1_1_1_77	EC:1.1.1.77	2520315665	lactaldehyde reductase	2519899607	
ec_1_1_1_77	EC:1.1.1.77	2520418747	lactaldehyde reductase	2519899628	
ec_1_1_1_77	EC:1.1.1.77	2520751311	lactaldehyde reductase	2519899722	
ec_1_1_1_77	EC:1.1.1.77	2520776475	lactaldehyde reductase	2519899728	
ec_1_1_1_77	EC:1.1.1.77	2521526066	lactaldehyde reductase	2521172579	
ec_1_1_1_77	EC:1.1.1.77	2522673402	lactaldehyde reductase	2522572023	
ec_1_1_1_77	EC:1.1.1.77	2525410894	lactaldehyde reductase	2524614688	
ec_1_1_1_77	EC:1.1.1.77	2525416649	lactaldehyde reductase	2524614690	
ec_1_1_1_77	EC:1.1.1.77	2525481646	lactaldehyde reductase	2524614707	
ec_1_1_1_77	EC:1.1.1.77	2526877050	lactaldehyde reductase	2526164668	
ec_1_1_1_77	EC:1.1.1.77	2526247362	lactaldehyde reductase	2526164524	
ec_1_1_1_77	EC:1.1.1.77	2526537455	lactaldehyde reductase	2526164596	
ec_1_1_1_77	EC:1.1.1.77	2526570741	lactaldehyde reductase	2526164602	
ec_1_1_1_77	EC:1.1.1.77	2526780537	lactaldehyde reductase	2526164650	
ec_1_1_1_77	EC:1.1.1.77	2526842078	lactaldehyde reductase	2526164662	
ec_1_1_1_77	EC:1.1.1.77	2526871619	lactaldehyde reductase	2526164667	
ec_1_1_1_77	EC:1.1.1.77	2526994774	lactaldehyde reductase	2526164692	
