job	filter	gene_id	description	genome_id
ko_K01699_pduC	KO:K01699	2969069074	propanediol dehydratase large subunit	2969068065	
ko_K01699_pduC	KO:K01699	2969453908	propanediol dehydratase large subunit	2969452061	
ko_K01699_pduC	KO:K01699	2969473730	propanediol dehydratase large subunit	2969471931	
ko_K01699_pduC	KO:K01699	2847215021	propanediol dehydratase large subunit	2847213633	
ko_K01699_pduC	KO:K01699	2903315409	propanediol dehydratase large subunit	2903312461	
ko_K01699_pduC	KO:K01699	2749955707	 propanediol dehydratase large subunit	2747842932	
ko_K01699_pduC	KO:K01699	2749903591	 propanediol dehydratase large subunit	2747842921	
ko_K01699_pduC	KO:K01699	2846278139	propanediol dehydratase large subunit	2846275400	
ko_K01699_pduC	KO:K01699	2611867971	propanediol dehydratase, large subunit	2609460191	
ko_K01699_pduC	KO:K01699	2603843976	propanediol dehydratase, large subunit	2602042104	
ko_K01699_pduC	KO:K01699	2570026858	propanediol dehydratase, large subunit	2568526447	
ko_K01699_pduC	KO:K01699	2601309778	propanediol dehydratase, large subunit	2600255199	
ko_K01699_pduC	KO:K01699	2692029875	 propanediol dehydratase, large subunit	2690316046	
ko_K01699_pduC	KO:K01699	2620596024	propanediol dehydratase, large subunit	2619619077	
ko_K01699_pduC	KO:K01699	2748680038	 propanediol dehydratase large subunit	2747842666	
ko_K01699_pduC	KO:K01699	2721074637	 propanediol dehydratase, large subunit	2718218345	
ko_K01699_pduC	KO:K01699	2888652960	propanediol dehydratase large subunit	2888651755	
ko_K01699_pduC	KO:K01699	2750233095	 propanediol dehydratase large subunit	2747842990	
ko_K01699_pduC	KO:K01699	2703968073	propanediol dehydratase large subunit	2703718680	
ko_K01699_pduC	KO:K01699	2723676154	 propanediol dehydratase, large subunit	2721755709	
ko_K01699_pduC	KO:K01699	2629444018	propanediol dehydratase large subunit	2627853902	
ko_K01699_pduC	KO:K01699	2587073733	propanediol dehydratase large subunit	2585427876	
ko_K01699_pduC	KO:K01699	2751536140	 propanediol dehydratase large subunit	2751185273	
ko_K01699_pduC	KO:K01699	2750180808	 propanediol dehydratase large subunit	2747842979	
ko_K01699_pduC	KO:K01699	2562976314	propanediol dehydratase large subunit	2562617095	
ko_K01699_pduC	KO:K01699	2752056622	 propanediol dehydratase large subunit	2751185379	
ko_K01699_pduC	KO:K01699	2747309150	 propanediol dehydratase large subunit	2744055180	
ko_K01699_pduC	KO:K01699	644759897	propanediol dehydratase, large subunit (EC 4.2.1.28)	644736365	
ko_K01699_pduC	KO:K01699	2632654567	propanediol dehydratase large subunit	2630968644	
ko_K01699_pduC	KO:K01699	2725981101	 propanediol dehydratase, large subunit	2724679237	
ko_K01699_pduC	KO:K01699	2669122748	 propanediol dehydratase, large subunit	2667527700	
ko_K01699_pduC	KO:K01699	2692099109	 propanediol dehydratase, large subunit	2690316063	
ko_K01699_pduC	KO:K01699	2750194987	 propanediol dehydratase large subunit	2747842982	
ko_K01699_pduC	KO:K01699	2872018809	propanediol dehydratase large subunit	2872017576	
ko_K01699_pduC	KO:K01699	2748340027	 propanediol dehydratase large subunit	2747842595	
ko_K01699_pduC	KO:K01699	2720121978	 propanediol dehydratase, large subunit	2718218108	
ko_K01699_pduC	KO:K01699	2658997117	 propanediol dehydratase, large subunit	2657245444	
ko_K01699_pduC	KO:K01699	2747082154	 propanediol dehydratase large subunit	2744055132	
ko_K01699_pduC	KO:K01699	2690798671	 propanediol dehydratase, large subunit	2690315706	
ko_K01699_pduC	KO:K01699	2804580597	propanediol dehydratase large subunit 	2802429224	
ko_K01699_pduC	KO:K01699	2825533439	propanediol dehydratase large subunit	2825532219	
ko_K01699_pduC	KO:K01699	2694345487	 propanediol dehydratase, large subunit	2693429716	
ko_K01699_pduC	KO:K01699	2874318719	propanediol dehydratase large subunit	2874313706	
ko_K01699_pduC	KO:K01699	2780275565	propanediol dehydratase large subunit 	2778261485	
ko_K01699_pduC	KO:K01699	2672035576	 propanediol dehydratase, large subunit	2671180260	
ko_K01699_pduC	KO:K01699	2650919088	 propanediol dehydratase, large subunit	2648501700	
ko_K01699_pduC	KO:K01699	2668544203	propanediol dehydratase large subunit	2667527550	
ko_K01699_pduC	KO:K01699	2793884969	propanediol dehydratase large subunit 	2791355392	
ko_K01699_pduC	KO:K01699	2666677849	 propanediol dehydratase, large subunit	2663763350	
ko_K01699_pduC	KO:K01699	2662628757	 propanediol dehydratase, large subunit	2660238497	
ko_K01699_pduC	KO:K01699	2748522262	 propanediol dehydratase large subunit	2747842633	
ko_K01699_pduC	KO:K01699	2749149256	 propanediol dehydratase large subunit	2747842763	
ko_K01699_pduC	KO:K01699	2688538945	 propanediol dehydratase, large subunit	2687453379	
ko_K01699_pduC	KO:K01699	2969433939	propanediol dehydratase large subunit	2969431754	
ko_K01699_pduC	KO:K01699	2618384419	propanediol dehydratase, large subunit	2617271002	
ko_K01699_pduC	KO:K01699	2693035265	 propanediol dehydratase, large subunit	2690316286	
ko_K01699_pduC	KO:K01699	2675598481	 propanediol dehydratase, large subunit	2671181122	
ko_K01699_pduC	KO:K01699	2663174782	 propanediol dehydratase, large subunit	2660238634	
ko_K01699_pduC	KO:K01699	2554874220	propanediol dehydratase, large subunit	2554235144	
ko_K01699_pduC	KO:K01699	2525873822	propanediol dehydratase large subunit	2524614803	
ko_K01699_pduC	KO:K01699	2677448404	 propanediol dehydratase, large subunit	2675903310	
ko_K01699_pduC	KO:K01699	2715076499	 propanediol dehydratase, large subunit	2713896974	
ko_K01699_pduC	KO:K01699	2810466022	propanediol dehydratase large subunit 	2808606731	
ko_K01699_pduC	KO:K01699	2678302704	 propanediol dehydratase, large subunit	2675903525	
ko_K01699_pduC	KO:K01699	2673044479	 propanediol dehydratase, large subunit	2671180503	
ko_K01699_pduC	KO:K01699	2924910026	propanediol dehydratase large subunit	2924907901	
ko_K01699_pduC	KO:K01699	2926584924	propanediol dehydratase large subunit	2926581363	
ko_K01699_pduC	KO:K01699	2520822668	propanediol dehydratase, large subunit	2519899739	
ko_K01699_pduC	KO:K01699	2610777916	propanediol dehydratase, large subunit	2609459949	
ko_K01699_pduC	KO:K01699	2737959052	 propanediol dehydratase, large subunit	2737471835	
ko_K01699_pduC	KO:K01699	2647472104	 propanediol dehydratase, large subunit	2645727901	
ko_K01699_pduC	KO:K01699	2742892648	 propanediol dehydratase large subunit	2740892295	
ko_K01699_pduC	KO:K01699	2670933604	 propanediol dehydratase, large subunit	2667528133	
ko_K01699_pduC	KO:K01699	2715846823	 propanediol dehydratase, large subunit	2713897166	
ko_K01699_pduC	KO:K01699	648362237	propanediol dehydratase, large subunit (EC 4.2.1.28)	648276668	
ko_K01699_pduC	KO:K01699	2620972249	propanediol dehydratase large subunit	2619619212	
ko_K01699_pduC	KO:K01699	2610936578	propanediol dehydratase, large subunit	2609459978	
ko_K01699_pduC	KO:K01699	2778667856	propanediol dehydratase large subunit 	2778261035	
ko_K01699_pduC	KO:K01699	2782356693	propanediol dehydratase large subunit 	2781126054	
ko_K01699_pduC	KO:K01699	639653784	Propanediol dehydratase, large subunit	639633027	
ko_K01699_pduC	KO:K01699	2647665142	Propanediol dehydratase, large subunit	2645727945	
ko_K01699_pduC	KO:K01699	2723909976	 propanediol dehydratase, large subunit	2721755771	
ko_K01699_pduC	KO:K01699	2631685300	 propanediol dehydratase, large subunit	2630968407	
ko_K01699_pduC	KO:K01699	2749497742	 propanediol dehydratase large subunit	2747842836	
ko_K01699_pduC	KO:K01699	2868207910	propanediol dehydratase large subunit	2868207868	
ko_K01699_pduC	KO:K01699	2540288060	propanediol dehydratase, large subunit	2537562236	
ko_K01699_pduC	KO:K01699	2520427185	propanediol dehydratase, large subunit	2519899630	
ko_K01699_pduC	KO:K01699	2747384789	 propanediol dehydratase large subunit	2744055196	
ko_K01699_pduC	KO:K01699	2616631138	propanediol dehydratase large subunit	2615840722	
ko_K01699_pduC	KO:K01699	2570602202	propanediol dehydratase, large subunit	2568526625	
ko_K01699_pduC	KO:K01699	2891946169	propanediol dehydratase large subunit	2891945515	
ko_K01699_pduC	KO:K01699	2552941676	propanediol dehydratase, large subunit	2551306401	
ko_K01699_pduC	KO:K01699	2657767678	 propanediol dehydratase, large subunit	2657245019	
ko_K01699_pduC	KO:K01699	2844410996	propanediol dehydratase large subunit	2844409753	
ko_K01699_pduC	KO:K01699	2747767608	 propanediol dehydratase large subunit	2744055276	
ko_K01699_pduC	KO:K01699	2687849980	 propanediol dehydratase, large subunit	2687453201	
ko_K01699_pduC	KO:K01699	2833354769	propanediol dehydratase large subunit	2833354111	
ko_K01699_pduC	KO:K01699	2905078296	propanediol dehydratase large subunit	2905077515	
ko_K01699_pduC	KO:K01699	2588882363	propanediol dehydratase, large subunit	2588253824	
ko_K01699_pduC	KO:K01699	2669272458	 propanediol dehydratase, large subunit	2667527737	
ko_K01699_pduC	KO:K01699	2670510508	 propanediol dehydratase, large subunit	2667528032	
ko_K01699_pduC	KO:K01699	2867414033	propanediol dehydratase large subunit	2867413033	
ko_K01699_pduC	KO:K01699	2656046307	 propanediol dehydratase, large subunit	2654587860	
ko_K01699_pduC	KO:K01699	2557416136	propanediol dehydratase large subunit	2556921099	
ko_K01699_pduC	KO:K01699	2808168253	propanediol dehydratase large subunit	2806310946	
ko_K01699_pduC	KO:K01699	2620643779	propanediol dehydratase, large subunit	2619619089	
ko_K01699_pduC	KO:K01699	2780898024	propanediol dehydratase large subunit 	2778261654	
ko_K01699_pduC	KO:K01699	2553041064	propanediol dehydratase large subunit	2551306423	
ko_K01699_pduC	KO:K01699	2540921869	propanediol dehydratase large subunit	2540341205	
ko_K01699_pduC	KO:K01699	2746901083	 propanediol dehydratase large subunit	2744055095	
ko_K01699_pduC	KO:K01699	2751233346	 propanediol dehydratase large subunit	2751185210	
ko_K01699_pduC	KO:K01699	2815832753	propanediol dehydratase large subunit	2814123382	
ko_K01699_pduC	KO:K01699	2804594365	propanediol dehydratase large subunit 	2802429227	
ko_K01699_pduC	KO:K01699	2718946880	 propanediol dehydratase, large subunit	2718217824	
ko_K01699_pduC	KO:K01699	2572786568	propanediol dehydratase, large subunit	2571042515	
ko_K01699_pduC	KO:K01699	2877555738	propanediol dehydratase large subunit	2877555103	
ko_K01699_pduC	KO:K01699	2877574937	propanediol dehydratase large subunit	2877571747	
ko_K01699_pduC	KO:K01699	2719301557	 propanediol dehydratase, large subunit	2718217910	
ko_K01699_pduC	KO:K01699	2611013378	propanediol dehydratase, large subunit	2609459997	
ko_K01699_pduC	KO:K01699	2620973372	propanediol dehydratase large subunit	2619619212	
ko_K01699_pduC	KO:K01699	2825476310	propanediol dehydratase large subunit	2825473869	
ko_K01699_pduC	KO:K01699	2638708085	propanediol dehydratase large subunit	2636415954	
ko_K01699_pduC	KO:K01699	2923243337	propanediol dehydratase large subunit	2923239602	
ko_K01699_pduC	KO:K01699	2749989134	 propanediol dehydratase large subunit	2747842939	
ko_K01699_pduC	KO:K01699	2660510491	 propanediol dehydratase, large subunit	2660237968	
ko_K01699_pduC	KO:K01699	2743022510	 propanediol dehydratase large subunit	2740892318	
ko_K01699_pduC	KO:K01699	2726651183	 propanediol dehydratase, large subunit	2724679389	
ko_K01699_pduC	KO:K01699	2566413689	propanediol dehydratase, large subunit	2565956617	
ko_K01699_pduC	KO:K01699	2749912910	 propanediol dehydratase large subunit	2747842923	
ko_K01699_pduC	KO:K01699	2714986391	 propanediol dehydratase, large subunit	2713896951	
ko_K01699_pduC	KO:K01699	2655852687	 propanediol dehydratase, large subunit	2654587806	
ko_K01699_pduC	KO:K01699	2674218395	 propanediol dehydratase, large subunit	2671180797	
ko_K01699_pduC	KO:K01699	651063903	propanediol dehydratase, large subunit (EC 4.2.1.28)	651053064	
ko_K01699_pduC	KO:K01699	2747083987	 propanediol dehydratase large subunit	2744055133	
ko_K01699_pduC	KO:K01699	2673626924	 propanediol dehydratase, large subunit	2671180648	
ko_K01699_pduC	KO:K01699	2778747863	propanediol dehydratase large subunit 	2778261063	
ko_K01699_pduC	KO:K01699	2555767557	propanediol dehydratase, large subunit	2554235372	
ko_K01699_pduC	KO:K01699	2563133243	propanediol dehydratase, large subunit	2562617126	
ko_K01699_pduC	KO:K01699	2661482206	 propanediol dehydratase, large subunit	2660238217	
ko_K01699_pduC	KO:K01699	2868211991	propanediol dehydratase large subunit	2868211830	
ko_K01699_pduC	KO:K01699	2696679719	 propanediol dehydratase, large subunit	2695420597	
ko_K01699_pduC	KO:K01699	2563116573	propanediol dehydratase, large subunit	2562617122	
ko_K01699_pduC	KO:K01699	2726347643	 propanediol dehydratase, large subunit	2724679311	
ko_K01699_pduC	KO:K01699	2672489046	 propanediol dehydratase, large subunit	2671180367	
ko_K01699_pduC	KO:K01699	2544624797	propanediol dehydratase, large subunit	2541047816	
ko_K01699_pduC	KO:K01699	2719220704	 propanediol dehydratase, large subunit	2718217893	
ko_K01699_pduC	KO:K01699	2876540514	propanediol dehydratase large subunit	2876538359	
ko_K01699_pduC	KO:K01699	2750079311	 propanediol dehydratase large subunit	2747842958	
ko_K01699_pduC	KO:K01699	2780949841	propanediol dehydratase large subunit 	2778261668	
ko_K01699_pduC	KO:K01699	2645791779	 propanediol dehydratase, large subunit	2645727514	
ko_K01699_pduC	KO:K01699	2685628724	 propanediol dehydratase, large subunit	2684622770	
ko_K01699_pduC	KO:K01699	640591592	Glycerol dehydratase	640427118	
ko_K01699_pduC	KO:K01699	2674048265	 propanediol dehydratase, large subunit	2671180751	
ko_K01699_pduC	KO:K01699	2655215047	 propanediol dehydratase, large subunit	2654587647	
ko_K01699_pduC	KO:K01699	2655867293	 propanediol dehydratase, large subunit	2654587811	
ko_K01699_pduC	KO:K01699	2645908724	 propanediol dehydratase, large subunit	2645727542	
ko_K01699_pduC	KO:K01699	2687981246	 propanediol dehydratase, large subunit	2687453234	
ko_K01699_pduC	KO:K01699	2906187824	propanediol dehydratase large subunit	2906183088	
ko_K01699_pduC	KO:K01699	2747685480	 propanediol dehydratase large subunit	2744055259	
ko_K01699_pduC	KO:K01699	2742554228	 propanediol dehydratase large subunit	2740892222	
ko_K01699_pduC	KO:K01699	2810738366	propanediol dehydratase large subunit	2808606789	
ko_K01699_pduC	KO:K01699	2637509172	 propanediol dehydratase, large subunit	2636415670	
ko_K01699_pduC	KO:K01699	2663119957	 propanediol dehydratase, large subunit	2660238620	
ko_K01699_pduC	KO:K01699	2723622860	 propanediol dehydratase, large subunit	2721755698	
ko_K01699_pduC	KO:K01699	2895774622	propanediol dehydratase large subunit	2895772159	
ko_K01699_pduC	KO:K01699	2668471754	 propanediol dehydratase, large subunit	2667527523	
ko_K01699_pduC	KO:K01699	2736816297	 propanediol dehydratase, large subunit	2734482570	
ko_K01699_pduC	KO:K01699	2821252732	propanediol dehydratase large subunit	2821251827	
ko_K01699_pduC	KO:K01699	2750738502	 propanediol dehydratase large subunit	2747843096	
ko_K01699_pduC	KO:K01699	2751799190	 propanediol dehydratase large subunit	2751185326	
ko_K01699_pduC	KO:K01699	2563985767	propanediol dehydratase, large subunit	2563366764	
ko_K01699_pduC	KO:K01699	2699768089	 propanediol dehydratase, large subunit	2698536605	
ko_K01699_pduC	KO:K01699	2889020998	propanediol dehydratase large subunit	2889016732	
ko_K01699_pduC	KO:K01699	2912536606	propanediol dehydratase large subunit	2912534206	
ko_K01699_pduC	KO:K01699	2923269961	propanediol dehydratase large subunit	2923267833	
ko_K01699_pduC	KO:K01699	2814239588	propanediol dehydratase large subunit	2814122938	
ko_K01699_pduC	KO:K01699	2840897640	propanediol dehydratase large subunit	2840895330	
ko_K01699_pduC	KO:K01699	2693730562	 propanediol dehydratase, large subunit	2693429572	
ko_K01699_pduC	KO:K01699	2610763329	propanediol dehydratase, large subunit	2609459947	
ko_K01699_pduC	KO:K01699	2927798931	propanediol dehydratase large subunit	2927798018	
ko_K01699_pduC	KO:K01699	2543892565	propanediol dehydratase, large subunit	2541047669	
ko_K01699_pduC	KO:K01699	2677603377	 propanediol dehydratase, large subunit	2675903349	
ko_K01699_pduC	KO:K01699	2552266485	propanediol dehydratase, large subunit	2551306195	
ko_K01699_pduC	KO:K01699	2569018057	propanediol dehydratase, large subunit	2568526140	
ko_K01699_pduC	KO:K01699	2549421632	propanediol dehydratase, large subunit	2548876692	
