,strain,gene,hit_score
0,Abiotrophia_defectiva,lcdC,18.0
1,Abiotrophia_defectiva,pct,24.4
2,Acetanaerobacterium_elongatum,lcdC,265.1
3,Acetanaerobacterium_elongatum,pct,27.7
4,Achromobacter_denitrificans,acrC,353.1
5,Achromobacter_denitrificans,lcdC,19.6
6,Achromobacter_denitrificans,pct,77.9
7,Achromobacter_insuavis,acrC,353.4
8,Achromobacter_insuavis,pct,77.3
9,Achromobacter_spanius,acrC,353.2
10,Achromobacter_spanius,pct,78.1
11,Achromobacter_xylosoxidans,acrC,354.2
12,Achromobacter_xylosoxidans,pct,77.4
13,Acidaminococcus-intestini-D21-MAF-2,acrC,404.6
14,Acidaminococcus-intestini-D21-MAF-2,lcdA,366.5
15,Acidaminococcus-intestini-D21-MAF-2,lcdB,333.1
16,Acidaminococcus-intestini-D21-MAF-2,lcdC,367.3
17,Acidaminococcus-intestini-D21-MAF-2,pct,23.3
18,Acidaminococcus_fermentans,acrC,406.8
19,Acidaminococcus_fermentans,lcdA,367.3
20,Acidaminococcus_fermentans,lcdB,339.4
21,Acidaminococcus_fermentans,lcdC,361.4
22,Acidaminococcus_fermentans,pct,19.6
23,Acidovorax_facilis,acrC,342.5
24,Acidovorax_facilis,lcdC,14.2
25,Acidovorax_facilis,pct,758.8
26,Acidovorax_wautersii,acrC,349.6
27,Acidovorax_wautersii,lcdC,24.9
28,Acidovorax_wautersii,pct,709.1
29,Acinetobacter_baumannii,acrC,372.5
30,Acinetobacter_baumannii,lcdC,15.8
31,Acinetobacter_baumannii,pct,70.9
32,Acinetobacter_calcoaceticus,acrC,373.2
33,Acinetobacter_calcoaceticus,lcdC,17.0
34,Acinetobacter_calcoaceticus,pct,67.4
35,Acinetobacter_haemolyticus,acrC,370.6
36,Acinetobacter_haemolyticus,lcdC,15.3
37,Acinetobacter_haemolyticus,pct,70.1
38,Acinetobacter_johnsonii,acrC,380.3
39,Acinetobacter_johnsonii,lcdC,19.8
40,Acinetobacter_johnsonii,pct,76.8
41,Acinetobacter_junii,acrC,370.6
42,Acinetobacter_junii,lcdC,15.2
43,Acinetobacter_junii,pct,70.1
44,Acinetobacter_lwoffii,acrC,373.4
45,Acinetobacter_lwoffii,lcdC,16.3
46,Acinetobacter_lwoffii,pct,75.2
47,Acinetobacter_pittii,acrC,374.8
48,Acinetobacter_pittii,lcdC,15.8
49,Acinetobacter_pittii,pct,64.3
50,Acinetobacter_radioresistens,acrC,369.6
51,Acinetobacter_radioresistens,lcdC,17.8
52,Acinetobacter_radioresistens,pct,73.3
53,Acinetobacter_septicus,acrC,305.7
54,Acinetobacter_septicus,lcdC,16.9
55,Acinetobacter_septicus,pct,68.6
56,Actinobacillus_capsulatus,lcdC,26.4
57,Actinobacillus_capsulatus,pct,88.8
58,Actinobacillus_pleuropneumoniae,lcdC,31.7
59,Actinomyces_canis,acrC,111.6
60,Actinomyces_canis,lcdC,16.8
61,Actinomyces_cardiffensis,acrC,133.6
62,Actinomyces_cardiffensis,lcdC,245.1
63,Actinomyces_georgiae,acrC,122.0
64,Actinomyces_georgiae,lcdC,237.2
65,Actinomyces_graevenitzii,lcdC,14.4
66,Actinomyces_naeslundii,lcdC,224.0
67,Actinomyces_neuii,acrC,316.3
68,Actinomyces_neuii,lcdC,247.7
69,Actinomyces_turicensis,acrC,53.7
70,Actinomyces_turicensis,lcdC,23.0
71,Actinomyces_urogenitalis,lcdC,18.6
72,Actinomyces_viscosus,lcdC,229.5
73,Adlercreutzia_equolifaciens,acrC,260.3
74,Adlercreutzia_equolifaciens,lcdC,245.1
75,Aerococcus_viridans,acrC,114.2
76,Aerococcus_viridans,lcdC,16.8
77,Aerococcus_viridans,pct,559.9
78,Aeromicrobium_massiliense,acrC,303.4
79,Aeromicrobium_massiliense,pct,64.7
80,Aeromonas_allosaccharophila,acrC,296.0
81,Aeromonas_allosaccharophila,lcdA,20.0
82,Aeromonas_allosaccharophila,lcdB,86.0
83,Aeromonas_allosaccharophila,lcdC,255.4
84,Aeromonas_bestiarum,acrC,293.5
85,Aeromonas_bestiarum,lcdC,18.6
86,Aeromonas_caviae,acrC,300.8
87,Aeromonas_caviae,lcdC,18.2
88,Aeromonas_enteropelogenes,acrC,297.4
89,Aeromonas_enteropelogenes,lcdC,16.2
90,Aeromonas_hydrophila,acrC,303.0
91,Aeromonas_hydrophila,lcdA,20.0
92,Aeromonas_hydrophila,lcdB,80.7
93,Aeromonas_hydrophila,lcdC,257.3
94,Aeromonas_jandaei,acrC,305.8
95,Aeromonas_jandaei,lcdA,20.2
96,Aeromonas_jandaei,lcdB,86.1
97,Aeromonas_jandaei,lcdC,258.3
98,Aeromonas_media,acrC,288.1
99,Aeromonas_media,lcdC,18.2
100,Aeromonas_media,pct,62.4
101,Aeromonas_punctata,acrC,300.8
102,Aeromonas_punctata,lcdC,18.2
103,Aeromonas_tecta,acrC,296.0
104,Aeromonas_tecta,lcdC,15.6
105,Aeromonas_tecta,pct,60.5
106,Aeromonas_trota,acrC,297.4
107,Aeromonas_trota,lcdC,16.2
108,Aeromonas_veronii,acrC,302.9
109,Aeromonas_veronii,lcdA,20.1
110,Aeromonas_veronii,lcdB,83.8
111,Aeromonas_veronii,lcdC,260.4
112,Afipia_birgiae,acrC,289.9
113,Afipia_birgiae,lcdC,16.3
114,Afipia_birgiae,pct,74.5
115,Aggregatibacter_actinomycetemcomitans,lcdB,13.8
116,Aggregatibacter_actinomycetemcomitans,lcdC,27.7
