job	filter	gene_id	description	genome_id
ko_K23352	KO:K23352	2744042634	sodium pump decarboxylase gamma subunit	2740892607	
ko_K23352	KO:K23352	2595156809	sodium pump decarboxylases, gamma subunit	2593339149	
ko_K23352	KO:K23352	2882668815	sodium pump decarboxylase gamma subunit	2882665139	
ko_K23352	KO:K23352	2878509820	sodium pump decarboxylase gamma subunit	2878507790	
ko_K23352	KO:K23352	2509101520	Oxaloacetate decarboxylase, gamma chain	2508501120	
ko_K23352	KO:K23352	2840341986	glutaconyl-CoA decarboxylase	2840340764	
ko_K23352	KO:K23352	2882848944	sodium pump decarboxylase gamma subunit	2882847703	
ko_K23352	KO:K23352	2712431283	Oxaloacetate decarboxylase, gamma chain	2711768143	
ko_K23352	KO:K23352	2534025834	sodium pump decarboxylases, gamma subunit	2531839572	
ko_K23352	KO:K23352	2914961250	sodium pump decarboxylase gamma subunit	2914960780	
ko_K23352	KO:K23352	2726784075	sodium pump decarboxylases, gamma subunit	2724679432	
ko_K23352	KO:K23352	2847452519	sodium pump decarboxylase gamma subunit	2847451640	
ko_K23352	KO:K23352	2873729844	sodium pump decarboxylase gamma subunit	2873729518	
ko_K23352	KO:K23352	2565724726	hypothetical protein	2563367176	
ko_K23352	KO:K23352	2513796406	Oxaloacetate decarboxylase, gamma chain	2513237117	
ko_K23352	KO:K23352	2811912836	sodium pump decarboxylase gamma subunit	2808606998	
ko_K23352	KO:K23352	2837506760	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase gamma subunit	2837506649	
ko_K23352	KO:K23352	2900566594	hypothetical protein	2900564547	
ko_K23352	KO:K23352	2850208242	sodium pump decarboxylase gamma subunit	2850202591	
ko_K23352	KO:K23352	641541143	hypothetical protein	641522656	
ko_K23352	KO:K23352	2647952485	sodium pump decarboxylases, gamma subunit	2645728015	
ko_K23352	KO:K23352	2525399158	sodium pump decarboxylases, gamma subunit	2524614685	
ko_K23352	KO:K23352	2808249385	sodium pump decarboxylase gamma subunit	2806310967	
ko_K23352	KO:K23352	2554437617	sodium pump decarboxylases, gamma subunit	2554235041	
ko_K23352	KO:K23352	2541273713	Oxaloacetate decarboxylase, gamma chain	2541046957	
ko_K23352	KO:K23352	2743728978	sodium pump decarboxylase gamma subunit	2740892501	
ko_K23352	KO:K23352	2876039457	sodium pump decarboxylase gamma subunit	2876038466	
ko_K23352	KO:K23352	2789944362	sodium pump decarboxylase gamma subunit	2788500228	
ko_K23352	KO:K23352	2705756677	Oxaloacetate decarboxylase, gamma chain	2703719150	
ko_K23352	KO:K23352	2721500068	Oxaloacetate decarboxylase, gamma chain	2718218444	
ko_K23352	KO:K23352	2595196153	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit	2593339164	
ko_K23352	KO:K23352	2511662903	glutaconyl-CoA decarboxylase	2511231106	
ko_K23352	KO:K23352	2535592235	methylmalonyl-CoA decarboxylase, delta subunit	2534681824	
ko_K23352	KO:K23352	2510063718	oxaloacetate decarboxylase gamma subunit	2509887034	
ko_K23352	KO:K23352	2914989952	sodium pump decarboxylase gamma subunit	2914989346	
ko_K23352	KO:K23352	645646064	conserved hypothetical protein	645058760	
ko_K23352	KO:K23352	2608629977	sodium pump decarboxylases, gamma subunit	2606217811	
ko_K23352	KO:K23352	2725907939	sodium pump decarboxylases, gamma subunit	2724679217	
ko_K23352	KO:K23352	2636578615	Oxaloacetate decarboxylase, gamma chain	2636415438	
ko_K23352	KO:K23352	2901120019	sodium pump decarboxylase gamma subunit	2901118534	
ko_K23352	KO:K23352	2854397894	sodium pump decarboxylase gamma subunit	2854395284	
ko_K23352	KO:K23352	2631345874	sodium pump decarboxylases, gamma subunit	2630968326	
ko_K23352	KO:K23352	2915281400	sodium pump decarboxylase gamma subunit	2915279407	
ko_K23352	KO:K23352	2876107386	sodium pump decarboxylase gamma subunit	2876106606	
ko_K23352	KO:K23352	2695479241	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit	2695420316	
ko_K23352	KO:K23352	2855285548	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase gamma subunit	2855282144	
ko_K23352	KO:K23352	2910997600	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase gamma subunit	2910994549	
ko_K23352	KO:K23352	2561492556	oxaloacetate decarboxylase, gamma subunit	2558860989	
ko_K23352	KO:K23352	2800659113	sodium pump decarboxylase gamma subunit	2799112812	
ko_K23352	KO:K23352	2928326927	sodium pump decarboxylase gamma subunit	2928325203	
ko_K23352	KO:K23352	2902130750	sodium pump decarboxylase gamma subunit	2902130329	
ko_K23352	KO:K23352	2752677182	oxaloacetate decarboxylase gamma subunit	2751185624	
ko_K23352	KO:K23352	2800119107	sodium pump decarboxylase gamma subunit	2799112580	
ko_K23352	KO:K23352	2705720178	sodium pump decarboxylases, gamma subunit	2703719134	
ko_K23352	KO:K23352	2814741462	sodium pump decarboxylase gamma subunit	2814123080	
ko_K23352	KO:K23352	2725915486	Oxaloacetate decarboxylase, gamma chain	2724679220	
ko_K23352	KO:K23352	2669306650	sodium pump decarboxylases, gamma subunit	2667527745	
ko_K23352	KO:K23352	2920299708	sodium pump decarboxylase gamma subunit	2920298691	
ko_K23352	KO:K23352	2695063114	Oxaloacetate decarboxylase, gamma chain	2693429902	
ko_K23352	KO:K23352	2525516756	sodium pump decarboxylases, gamma subunit	2524614718	
ko_K23352	KO:K23352	2839502735	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase gamma subunit	2839499322	
ko_K23352	KO:K23352	2599586706	Oxaloacetate decarboxylase, gamma chain	2599185206	
ko_K23352	KO:K23352	2692611763	Oxaloacetate decarboxylase, gamma chain	2690316186	
ko_K23352	KO:K23352	2924097354	sodium pump decarboxylase gamma subunit	2924094146	
ko_K23352	KO:K23352	2636404417	Oxaloacetate decarboxylase, gamma chain	2634166901	
ko_K23352	KO:K23352	2531882017	sodium pump decarboxylases, gamma subunit	2531839008	
ko_K23352	KO:K23352	2533131362	sodium pump decarboxylases, gamma subunit	2531839338	
ko_K23352	KO:K23352	648095193	sodium pump decarboxylase subunit gamma	648028009	
ko_K23352	KO:K23352	2854059264	sodium pump decarboxylase gamma subunit	2854057090	
ko_K23352	KO:K23352	2799651847	glutaconyl-CoA decarboxylase	2799112360	
ko_K23352	KO:K23352	2789986145	sodium pump decarboxylase gamma subunit	2788500243	
ko_K23352	KO:K23352	650552833	sodium pump decarboxylases, gamma subunit	650377938	
ko_K23352	KO:K23352	2561380246	methylmalonyl-CoA decarboxylase, delta subunit	2558860944	
ko_K23352	KO:K23352	2849518023	sodium pump decarboxylase gamma subunit	2849516448	
