"","IMG_genome_ID","genome_name","fucO","pduC","pduD","pduE","pduL","pduP","pduW","n_genes_present","propanediol_dehydratase_any","propanediol_dehydratase_all"
"1","637000102","Pectobacterium atrosepticum SCRI1043",1,0,0,0,0,0,0,1,0,0
"2","637000104","Escherichia coli sv. O6:K15:H31 536",1,0,0,0,0,0,0,1,0,0
"3","638341080","Enterococcus faecium DO",1,0,0,0,0,0,0,1,0,0
"4","640427143","Shigella sonnei Ss046",1,1,1,1,1,1,0,6,1,1
"5","640963023","Bacteroides caccae ATCC 43185",1,0,0,0,0,0,0,1,0,0
"6","641736111","Salmonella enterica enterica sv. Newport SL317",1,1,1,1,1,0,1,6,1,1
"7","641736198","Erysipelatoclostridium ramosum DSM 1402",1,0,0,0,0,0,0,1,0,0
"8","641736221","Escherichia coli O157:H7 EC4113",1,0,0,0,0,0,0,1,0,0
"9","641736222","Escherichia coli O157:H7 EC4486",1,0,0,0,0,0,0,1,0,0
"10","643348548","Escherichia coli O127:H6 E2348/69 (EPEC)",1,1,1,1,1,1,0,6,1,1
"11","642979334","Bacteroides eggerthii DSM 20697",1,0,0,0,0,0,0,1,0,0
"12","643692035","Salmonella enterica sv. Paratyphi C RKS4594",1,1,1,1,1,1,1,7,1,1
"13","643886108","Mobiluncus mulieris ATCC 35243",1,0,0,0,0,0,0,1,0,0
"14","643886203","Anaerobutyricum hallii DSM 3353",1,1,1,1,0,1,0,5,1,1
"15","646311947","Pectobacterium wasabiae WPP163",1,0,0,0,0,1,0,2,0,0
"16","646206272","Bacteroides thetaiotaomicron 1_1_6",1,0,0,0,0,0,0,1,0,0
"17","646564512","Bifidobacterium longum longum JDM301",1,0,0,0,0,0,0,1,0,0
"18","646862322","Escherichia coli O44:H18 042 (EAEC)",1,0,0,0,0,0,0,1,0,0
"19","646862341","Shigella flexneri sv. Fxv 2002017",1,0,0,0,0,0,0,1,0,0
"20","647533111","Bacteroides sp. 2_1_22",1,0,0,0,0,0,0,1,0,0
"21","647533127","Enterococcus casseliflavus EC10",1,0,0,0,0,0,0,1,0,0
"22","647533129","Enterococcus casseliflavus EC30",1,0,0,0,0,0,0,1,0,0
