"","strain","hit_score.acrC","hit_score.lcdC","hit_score.pct","hit_score.lcdA","hit_score.lcdB"
"1","Acidaminococcus-intestini-D21-MAF-2",384.6,367.3,NA,NA,NA
"3","Acidaminococcus_fermentans",406.8,361.4,NA,NA,NA
"5","Actinomyces_neuii",316.3,NA,NA,NA,NA
"6","Alistipes-putredinis-DSM-17216-MAF-2",418.2,NA,NA,NA,NA
"7","Anaerobutyricum_hallii",404.9,298.3,NA,NA,NA
"9","Anaerococcus_prevotii",414,NA,NA,NA,NA
"10","Anaerostipes-caccae-DSM-14662-MAF-2",626,NA,867.4,NA,NA
"12","Anaerostipes_hadrus",411.5,319.2,841.3,NA,NA
"15","Anaerotignum_propionicum_DSM_1682_strain_X2",891.5,398.7,867.7,812.5,683.5
"20","Anaerotruncus-colihominis-DSM-17241-MAF-2",436.2,NA,NA,NA,NA
"21","Bacteroides-pectinophilus-ATCC-43243-MAF-2",NA,287.1,NA,NA,NA
"22","Bacteroides-thetaiotaomicron-1-1-6-MAF-2",NA,288.4,NA,NA,NA
"23","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2",NA,288.7,NA,NA,NA
"24","Bacteroides_faecis",NA,290.2,NA,NA,NA
"25","Bacteroides_thetaiotaomicron",NA,288.7,NA,NA,NA
"26","Bilophila_wadsworthia",NA,325,NA,NA,NA
"27","Blautia-obeum-ATCC-29174-MAF-2",NA,322.6,NA,NA,NA
"28","Blautia-sp-KLE-1732-MAF-2",NA,307.5,NA,NA,NA
"29","Blautia-wexlerae-DSM-19850-MAF-2",NA,320,NA,NA,NA
"30","Blautia_luti",NA,319.2,NA,NA,NA
"31","Blautia_producta",340.9,NA,NA,NA,NA
"32","Brachymonas_chironomi",347.5,NA,NA,NA,NA
"33","Butyricimonas-virosa-DSM-23226-MAF-2",427.8,NA,NA,NA,NA
"34","Butyrivibrio-crossotus-DSM-2876-MAF-2",399.9,NA,NA,NA,NA
"35","Clostridioides_difficile",611.5,372.5,NA,NA,515.9
"38","Clostridium-sp-M62-1-MAF-2",408,363.1,NA,NA,NA
"40","Coprococcus-comes-ATCC-27758-MAF-2",405.4,306.6,NA,NA,NA
"42","Coprococcus-eutactus-ATCC-27759-MAF-2",401.7,NA,NA,NA,NA
"43","Cutibacterium_acnes",315.1,NA,NA,NA,NA
"44","Desulfovibrio_piger",NA,287.4,NA,NA,NA
"45","Dorea-formicigenerans-ATCC-27755-MAF-2",NA,292.8,NA,NA,NA
"46","Dorea-longicatena-DSM-13814-MAF-2",NA,317.6,NA,NA,NA
"47","Eisenbergiella_tayi",407.3,NA,NA,NA,NA
"48","Enterocloster-asparagiformis-DSM-15981-MAF-2",346.2,364.5,NA,NA,NA
"50","Enterovibrio_nigricans",NA,NA,758,NA,NA
"51","Eubacterium-ventriosum-ATCC-27560-MAF-2",414,NA,NA,NA,NA
"52","Eubacterium_limosum",440.3,NA,862.6,NA,NA
"54","Eubacterium_ramulus",399.3,329.8,NA,NA,NA
"56","Eubacterium_rectale",394.3,306.9,NA,NA,NA
"58","Faecalibacterium_prausnitzii",383.3,NA,NA,NA,NA
"59","Faecalitalea_cylindroides",412.3,NA,809,NA,NA
"61","Flavobacterium_daejeonense",368.9,NA,NA,NA,NA
"62","Flavonifractor_plautii",431.8,298.7,NA,NA,NA
"64","Gemmiger_formicilis",374.7,NA,NA,NA,NA
"65","Intestinibacter-bartlettii-DSM-16795-MAF-2",NA,292.1,NA,NA,NA
"66","Intestinimonas_butyriciproducens",493.4,352.2,NA,NA,NA
"68","Marvinbryantia-formatexigens-DSM-14469-MAF-2",NA,307.7,NA,NA,NA
"69","Megasphaera-elsdenii-14-14-MAF-2",413.7,378.9,861.9,822.9,701.5
"74","Murimonas_intestini",331.7,NA,694.4,NA,NA
"76","Odoribacter_splanchnicus",416.9,NA,NA,NA,NA
"77","Peptoniphilus_harei",430.1,378.5,NA,NA,NA
"79","Porphyromonas_asaccharolytica",402.9,NA,NA,NA,NA
"80","Porphyromonas_uenonis",404.5,NA,NA,NA,NA
"81","Riemerella_columbina",367.2,NA,NA,NA,NA
"82","Roseburia-intestinalis-L1-82-MAF-2",403.1,NA,NA,NA,NA
"83","Roseburia-inulinivorans-strain-AF28-15",403.3,NA,NA,NA,NA
"84","Roseburia_faecis",400.5,333.2,NA,NA,NA
"86","Roseburia_inulinivorans",403.3,NA,NA,NA,NA
"87","Ruminococcus-gauvreauii-DSM-19829-MAF-2",436.4,NA,823.3,NA,NA
"89","Ruminococcus-lactaris-ATCC-29176-MAF-2",NA,303.7,NA,NA,NA
"90","Salmonella-enterica-subsp-enterica-serovar-Typhimurium-str-LT2",NA,NA,658.1,NA,NA
"91","Sellimonas_intestinalis",NA,289.9,NA,NA,NA
"92","Subdoligranulum-variabile-DSM-15176-MAF-2",373.4,321.1,NA,NA,NA
"94","Sutterella_wadsworthensis",NA,NA,648.3,NA,NA
"95","Tyzzerella-nexilis-DSM-1787-MAF-2",NA,293.6,NA,NA,NA
