"","strain","hit_score.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_id.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","description.methylmalonyl-CoA-decarboxylaseBeta-KOK20509","hit_score.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_id.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","description.methylmalonyl-CoA-decarboxylaseGamma-KOK23351","hit_score.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_id.methylmalonyl-CoA-epimerase-EC5-1-99-1","description.methylmalonyl-CoA-epimerase-EC5-1-99-1","hit_score.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_id.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","description.methylmalonyl-CoA-decarboxylaseAlpha-KOK01604","hit_score.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_id.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","description.methylmalonyl-CoA-decarboxylaseDelta-KOK23352","hit_score.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_id.methylmalonyl-CoA-mutase-EC5-4-99-2","description.methylmalonyl-CoA-mutase-EC5-4-99-2","hit_score.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_id.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","description.methylmalonyl-CoA-carboxyltransferase12S-KOK17489","hit_score.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_id.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","description.methylmalonyl-CoA-carboxyltransferase1-3S-KOK17490","hit_score.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","hit_id.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","description.methylmalonyl-CoA-carboxyltransferase5S-KOK03416","pathway","hit_score.acrC","hit_id.acrC","description.acrC","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","hit_score.pduW","hit_id.pduW","hit_score.pduP","hit_id.pduP","hit_score.fucO","hit_id.fucO","hit_score.pduL","hit_id.pduL","hit_score.pduC","hit_id.pduC","hit_score.pduD","hit_id.pduD","hit_score.pduE","hit_id.pduE"
"1","Alistipes-indistinctus-YIT-12060-MAF-2",588.8,"1_2100/16-391","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",185.6,"1_2101/1-145","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",230,"1_2104/1-138","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",926.3,"1_2103/3-520","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",100.9,"1_2102/197-322","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",824.6,"1_1390/21-709","Alistipes-indistinctus-YIT-12060-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alistipes-onderdonkii-DSM-19147-MAF-2",579.8,"1_2638/11-402","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",166.4,"1_2637/1-153","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.1,"1_2634/1-135","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",917.1,"1_2635/4-520","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",99.2,"1_2636/5-110","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",823.9,"1_382/26-709","Alistipes-onderdonkii-DSM-19147-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Alistipes-putredinis-DSM-17216-MAF-2",589,"1_1576/11-396","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",167.2,"1_1577/1-154","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",238.2,"1_1580/1-135","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",920.6,"1_1579/4-520","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",82.8,"1_1578/1-101","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",813.2,"1_619/25-709","Alistipes-putredinis-DSM-17216-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Alistipes-senegalensis-JC50-MAF-2",590.3,"1_2754/9-402","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",163.6,"1_2753/1-153","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.6,"1_2750/1-135","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",914.2,"1_2751/3-521","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",83.4,"1_2752/4-106","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",824.6,"1_446/28-708","Alistipes-senegalensis-JC50-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alistipes-shahii-WAL-8301-MAF-2",589.8,"1_2839/9-402","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",170.6,"1_2838/1-152","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",239.8,"1_2835/1-135","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",914.6,"1_2836/3-521","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",86.5,"1_2837/2-101","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",817.5,"1_650/29-709","Alistipes-shahii-WAL-8301-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Alistipes_finegoldii",583.6,"NZ_JADMWR010000004.1_189/12-390","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",172.6,"NZ_JADMWR010000004.1_188/1-150","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.3,"NZ_JADMWR010000004.1_185/1-135","Alistipes_finegoldii_methylmalonyl-CoA-epimerase-EC5-1-99-1",915,"NZ_JADMWR010000004.1_186/4-520","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",90.4,"NZ_JADMWR010000004.1_187/24-144","Alistipes_finegoldii_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",823.5,"NZ_JADMWR010000002.1_306/26-709","Alistipes_finegoldii_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Alistipes_obesi",579.9,"NZ_AP019735.1_2148/16-402","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",166.5,"NZ_AP019735.1_2149/1-153","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.2,"NZ_AP019735.1_2152/1-135","Alistipes_obesi_methylmalonyl-CoA-epimerase-EC5-1-99-1",916.4,"NZ_AP019735.1_2151/4-520","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",95.9,"NZ_AP019735.1_2150/1-114","Alistipes_obesi_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",821.1,"NZ_AP019735.1_1754/24-706","Alistipes_obesi_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Alistipes_timonensis",589.9,"NZ_FNRI01000005.1_38/11-402","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",163.4,"NZ_FNRI01000005.1_39/1-153","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",240.6,"NZ_FNRI01000005.1_42/1-135","Alistipes_timonensis_methylmalonyl-CoA-epimerase-EC5-1-99-1",911.6,"NZ_FNRI01000005.1_41/3-520","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",89.1,"NZ_FNRI01000005.1_40/4-106","Alistipes_timonensis_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",820.8,"NZ_FNRI01000002.1_276/28-708","Alistipes_timonensis_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bacteroides-caccae-ATCC-43185-MAF-2",617.7,"1_3281/8-385","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",203.2,"1_3280/1-144","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",241.4,"1_3277/1-134","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",937.7,"1_3278/3-517","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88,"1_3279/188-300","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",857.9,"1_3602/1-631","Bacteroides-caccae-ATCC-43185-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Bacteroides-cellulosilyticus-DSM-14838-MAF-2",614.4,"1_2620/9-385","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseBeta-KOK20509",201.5,"1_2621/1-141","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseGamma-KOK23351",244.7,"1_2624/1-136","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-epimerase-EC5-1-99-1",934.7,"1_2623/3-517","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha-KOK01604",88.9,"1_2622/189-305","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-decarboxylaseDelta-KOK23352",859.5,"1_4993/1-617","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_methylmalonyl-CoA-mutase-EC5-4-99-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sodium-pumping decarboxylase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
